http://dbpedia.org/ontology/FootballLeagueSeason,FootballLeagueSeason,http://dbpedia.org/ontology/squadNumber
http://dbpedia.org/resource/2008–09_Blackpool_F.C._season,2008–09 Blackpool F.C. season,37
http://dbpedia.org/resource/2012_Oregon_State_Beavers_men's_soccer_team,2012 Oregon State Beavers men's soccer team,18
http://dbpedia.org/resource/2006_SK_Brann_season,2006 SK Brann season,6
http://dbpedia.org/resource/2006_SK_Brann_season,2006 SK Brann season,1
http://dbpedia.org/resource/2010–11_Estudiantes_Tecos_season,2010–11 Estudiantes Tecos season,6
http://dbpedia.org/resource/2010–11_Querétaro_F.C._season,2010–11 Querétaro F.C. season,12
http://dbpedia.org/resource/2007_SK_Brann_season,2007 SK Brann season,6
http://dbpedia.org/resource/2012_Oregon_State_Beavers_men's_soccer_team,2012 Oregon State Beavers men's soccer team,3
http://dbpedia.org/resource/2006–07_Central_Coast_Mariners_FC_season,2006–07 Central Coast Mariners FC season,12
http://dbpedia.org/resource/2007_Santiago_Wanderers_season,2007 Santiago Wanderers season,32
http://dbpedia.org/resource/2000–01_Fulham_F.C._season,2000–01 Fulham F.C. season,12
http://dbpedia.org/resource/2013–14_Stationery_Stores_season,2013–14 Stationery Stores season,2
http://dbpedia.org/resource/2010–11_San_Luis_F.C._season,2010–11 San Luis F.C. season,21
http://dbpedia.org/resource/1999–2000_Blackpool_F.C._season,1999–2000 Blackpool F.C. season,35
http://dbpedia.org/resource/2010_Saint_Louis_Athletica_season,2010 Saint Louis Athletica season,20
http://dbpedia.org/resource/2010–11_Club_Universidad_Nacional_season,2010–11 Club Universidad Nacional season,73
http://dbpedia.org/resource/2013–14_SC_Eendracht_Aalst_season,2013–14 SC Eendracht Aalst season,19
http://dbpedia.org/resource/1999–2000_Blackpool_F.C._season,1999–2000 Blackpool F.C. season,31
http://dbpedia.org/resource/2010–11_Estudiantes_Tecos_season,2010–11 Estudiantes Tecos season,36
http://dbpedia.org/resource/2006_SK_Brann_season,2006 SK Brann season,12
http://dbpedia.org/resource/2010–11_San_Luis_F.C._season,2010–11 San Luis F.C. season,5
http://dbpedia.org/resource/2010–11_Atlante_F.C._season,2010–11 Atlante F.C. season,21
http://dbpedia.org/resource/2010–11_Tigres_UANL_season,2010–11 Tigres UANL season,7
http://dbpedia.org/resource/2009_Italia_Shooters_season,2009 Italia Shooters season,22
http://dbpedia.org/resource/2010–11_Deportivo_Toluca_season,2010–11 Deportivo Toluca season,18
http://dbpedia.org/resource/2010–11_Querétaro_F.C._season,2010–11 Querétaro F.C. season,13
http://dbpedia.org/resource/2010–11_Club_Necaxa_season,2010–11 Club Necaxa season,25
http://dbpedia.org/resource/2000–01_Fulham_F.C._season,2000–01 Fulham F.C. season,1
http://dbpedia.org/resource/2009_Italia_Shooters_season,2009 Italia Shooters season,23
http://dbpedia.org/resource/2000–01_Cardiff_City_F.C._season,2000–01 Cardiff City F.C. season,20
http://dbpedia.org/resource/2010–11_C.F._Pachuca_season,2010–11 C.F. Pachuca season,2
http://dbpedia.org/resource/2000–01_Manchester_City_F.C._season,2000–01 Manchester City F.C. season,21
http://dbpedia.org/resource/2010–11_Jaguares_de_Chiapas_season,2010–11 Jaguares de Chiapas season,11
http://dbpedia.org/resource/2015–16_Querétaro_F.C._season,2015–16 Querétaro F.C. season,4
http://dbpedia.org/resource/2007_Santiago_Wanderers_season,2007 Santiago Wanderers season,24
http://dbpedia.org/resource/2006_SK_Brann_season,2006 SK Brann season,9
http://dbpedia.org/resource/2000–01_Fulham_F.C._season,2000–01 Fulham F.C. season,20
http://dbpedia.org/resource/1999–2000_Blackpool_F.C._season,1999–2000 Blackpool F.C. season,27
http://dbpedia.org/resource/2010–11_C.F._Monterrey_season,2010–11 C.F. Monterrey season,23
http://dbpedia.org/resource/2013–14_Stationery_Stores_season,2013–14 Stationery Stores season,30
http://dbpedia.org/resource/2010–11_Club_Universidad_Nacional_season,2010–11 Club Universidad Nacional season,16
http://dbpedia.org/resource/2006–07_Central_Coast_Mariners_FC_season,2006–07 Central Coast Mariners FC season,20
http://dbpedia.org/resource/2010–11_Club_Necaxa_season,2010–11 Club Necaxa season,26
http://dbpedia.org/resource/2015–16_Querétaro_F.C._season,2015–16 Querétaro F.C. season,32
http://dbpedia.org/resource/2013–14_SC_Eendracht_Aalst_season,2013–14 SC Eendracht Aalst season,7
http://dbpedia.org/resource/2010–11_Club_América_season,2010–11 Club América season,36
http://dbpedia.org/resource/2010–11_Club_América_season,2010–11 Club América season,40
http://dbpedia.org/resource/2009_Italia_Shooters_season,2009 Italia Shooters season,22
http://dbpedia.org/resource/2007_SK_Brann_season,2007 SK Brann season,10
http://dbpedia.org/resource/2010_Saint_Louis_Athletica_season,2010 Saint Louis Athletica season,25
http://dbpedia.org/resource/2006_SK_Brann_season,2006 SK Brann season,21
http://dbpedia.org/resource/2010_Saint_Louis_Athletica_season,2010 Saint Louis Athletica season,8
http://dbpedia.org/resource/2000–01_Cardiff_City_F.C._season,2000–01 Cardiff City F.C. season,23
http://dbpedia.org/resource/2010–11_Club_América_season,2010–11 Club América season,31
http://dbpedia.org/resource/2000–01_Cardiff_City_F.C._season,2000–01 Cardiff City F.C. season,23
http://dbpedia.org/resource/2012_Oregon_State_Beavers_men's_soccer_team,2012 Oregon State Beavers men's soccer team,11
http://dbpedia.org/resource/2010–11_Club_Necaxa_season,2010–11 Club Necaxa season,17
http://dbpedia.org/resource/2000–01_Fulham_F.C._season,2000–01 Fulham F.C. season,3
http://dbpedia.org/resource/2010–11_Tigres_UANL_season,2010–11 Tigres UANL season,50
http://dbpedia.org/resource/2010–11_Deportivo_Toluca_season,2010–11 Deportivo Toluca season,15
http://dbpedia.org/resource/2010–11_C.F._Monterrey_season,2010–11 C.F. Monterrey season,24
http://dbpedia.org/resource/2000–01_Manchester_City_F.C._season,2000–01 Manchester City F.C. season,6
http://dbpedia.org/resource/2010–11_C.F._Monterrey_season,2010–11 C.F. Monterrey season,21
http://dbpedia.org/resource/2010_Saint_Louis_Athletica_season,2010 Saint Louis Athletica season,6
http://dbpedia.org/resource/2010–11_Querétaro_F.C._season,2010–11 Querétaro F.C. season,8
http://dbpedia.org/resource/2009_Italia_Shooters_season,2009 Italia Shooters season,5
http://dbpedia.org/resource/2010–11_Jaguares_de_Chiapas_season,2010–11 Jaguares de Chiapas season,8
http://dbpedia.org/resource/2010–11_Club_América_season,2010–11 Club América season,9
http://dbpedia.org/resource/2008–09_Blackpool_F.C._season,2008–09 Blackpool F.C. season,18
http://dbpedia.org/resource/2010–11_Atlante_F.C._season,2010–11 Atlante F.C. season,36
http://dbpedia.org/resource/2010–11_Club_América_season,2010–11 Club América season,26
http://dbpedia.org/resource/2010–11_Atlante_F.C._season,2010–11 Atlante F.C. season,15
http://dbpedia.org/resource/2006–07_Central_Coast_Mariners_FC_season,2006–07 Central Coast Mariners FC season,9
http://dbpedia.org/resource/2000–01_Cardiff_City_F.C._season,2000–01 Cardiff City F.C. season,6
http://dbpedia.org/resource/2000–01_Manchester_City_F.C._season,2000–01 Manchester City F.C. season,25
http://dbpedia.org/resource/2000–01_Fulham_F.C._season,2000–01 Fulham F.C. season,33
http://dbpedia.org/resource/2009_Italia_Shooters_season,2009 Italia Shooters season,12
http://dbpedia.org/resource/2015–16_Querétaro_F.C._season,2015–16 Querétaro F.C. season,23
http://dbpedia.org/resource/2010–11_Atlante_F.C._season,2010–11 Atlante F.C. season,44
http://dbpedia.org/resource/2010–11_San_Luis_F.C._season,2010–11 San Luis F.C. season,13
http://dbpedia.org/resource/2000–01_Fulham_F.C._season,2000–01 Fulham F.C. season,34
http://dbpedia.org/resource/1999–2000_Blackpool_F.C._season,1999–2000 Blackpool F.C. season,32
http://dbpedia.org/resource/2000–01_Cardiff_City_F.C._season,2000–01 Cardiff City F.C. season,14
http://dbpedia.org/resource/2010–11_Deportivo_Toluca_season,2010–11 Deportivo Toluca season,6
http://dbpedia.org/resource/2010–11_Atlante_F.C._season,2010–11 Atlante F.C. season,1
http://dbpedia.org/resource/Olympiacos_B.C._season_2008–09,Olympiacos B.C. season 2008–09,13
http://dbpedia.org/resource/Olympiacos_B.C._season_2008–09,Olympiacos B.C. season 2008–09,10
http://dbpedia.org/resource/2010–11_Club_Universidad_Nacional_season,2010–11 Club Universidad Nacional season,9
http://dbpedia.org/resource/2010–11_Club_América_season,2010–11 Club América season,8
http://dbpedia.org/resource/HNK_Hajduk_Split_statistics_and_records,HNK Hajduk Split statistics and records,8
http://dbpedia.org/resource/2010_Saint_Louis_Athletica_season,2010 Saint Louis Athletica season,3
http://dbpedia.org/resource/2010–11_Puebla_F.C._season,2010–11 Puebla F.C. season,11
http://dbpedia.org/resource/2015–16_Querétaro_F.C._season,2015–16 Querétaro F.C. season,17
http://dbpedia.org/resource/2000–01_Fulham_F.C._season,2000–01 Fulham F.C. season,31
http://dbpedia.org/resource/2010–11_Club_América_season,2010–11 Club América season,69
http://dbpedia.org/resource/2013–14_Stationery_Stores_season,2013–14 Stationery Stores season,23
http://dbpedia.org/resource/2010_Saint_Louis_Athletica_season,2010 Saint Louis Athletica season,10
http://dbpedia.org/resource/2000–01_Manchester_City_F.C._season,2000–01 Manchester City F.C. season,32
http://dbpedia.org/resource/2006_SK_Brann_season,2006 SK Brann season,12
http://dbpedia.org/resource/2010–11_Puebla_F.C._season,2010–11 Puebla F.C. season,16
http://dbpedia.org/resource/2008–09_Blackpool_F.C._season,2008–09 Blackpool F.C. season,31
http://dbpedia.org/resource/2008–09_Blackpool_F.C._season,2008–09 Blackpool F.C. season,28
http://dbpedia.org/resource/2006_SK_Brann_season,2006 SK Brann season,27
http://dbpedia.org/resource/2010–11_San_Luis_F.C._season,2010–11 San Luis F.C. season,17
http://dbpedia.org/resource/2013–14_Stationery_Stores_season,2013–14 Stationery Stores season,15
http://dbpedia.org/resource/2010–11_Atlante_F.C._season,2010–11 Atlante F.C. season,24
http://dbpedia.org/resource/2010–11_C.D._Guadalajara_season,2010–11 C.D. Guadalajara season,2
http://dbpedia.org/resource/2010–11_Puebla_F.C._season,2010–11 Puebla F.C. season,29
http://dbpedia.org/resource/2001–02_Fulham_F.C._season,2001–02 Fulham F.C. season,31
http://dbpedia.org/resource/2010–11_San_Luis_F.C._season,2010–11 San Luis F.C. season,1
http://dbpedia.org/resource/2010–11_C.F._Monterrey_season,2010–11 C.F. Monterrey season,11
http://dbpedia.org/resource/2001–02_Fulham_F.C._season,2001–02 Fulham F.C. season,2
http://dbpedia.org/resource/2007_SK_Brann_season,2007 SK Brann season,21
http://dbpedia.org/resource/2015–16_Querétaro_F.C._season,2015–16 Querétaro F.C. season,8
http://dbpedia.org/resource/2010–11_Club_Universidad_Nacional_season,2010–11 Club Universidad Nacional season,73
http://dbpedia.org/resource/2010–11_Deportivo_Toluca_season,2010–11 Deportivo Toluca season,26
http://dbpedia.org/resource/2010–11_Puebla_F.C._season,2010–11 Puebla F.C. season,4
http://dbpedia.org/resource/2013–14_SC_Eendracht_Aalst_season,2013–14 SC Eendracht Aalst season,10
http://dbpedia.org/resource/2010–11_C.F._Monterrey_season,2010–11 C.F. Monterrey season,4
http://dbpedia.org/resource/HNK_Hajduk_Split_statistics_and_records,HNK Hajduk Split statistics and records,5
http://dbpedia.org/resource/2010–11_Jaguares_de_Chiapas_season,2010–11 Jaguares de Chiapas season,18
http://dbpedia.org/resource/2010–11_San_Luis_F.C._season,2010–11 San Luis F.C. season,19
http://dbpedia.org/resource/2010_Saint_Louis_Athletica_season,2010 Saint Louis Athletica season,52
http://dbpedia.org/resource/2000–01_Manchester_City_F.C._season,2000–01 Manchester City F.C. season,5
http://dbpedia.org/resource/2010–11_Querétaro_F.C._season,2010–11 Querétaro F.C. season,8
http://dbpedia.org/resource/2010–11_Tigres_UANL_season,2010–11 Tigres UANL season,39
http://dbpedia.org/resource/2010–11_San_Luis_F.C._season,2010–11 San Luis F.C. season,25
http://dbpedia.org/resource/2001–02_Fulham_F.C._season,2001–02 Fulham F.C. season,33
http://dbpedia.org/resource/2010–11_Querétaro_F.C._season,2010–11 Querétaro F.C. season,18
http://dbpedia.org/resource/2010–11_Club_Necaxa_season,2010–11 Club Necaxa season,41
http://dbpedia.org/resource/HNK_Hajduk_Split_statistics_and_records,HNK Hajduk Split statistics and records,9
http://dbpedia.org/resource/2013–14_SC_Eendracht_Aalst_season,2013–14 SC Eendracht Aalst season,24
http://dbpedia.org/resource/2010–11_Tigres_UANL_season,2010–11 Tigres UANL season,47
http://dbpedia.org/resource/2010–11_C.F._Monterrey_season,2010–11 C.F. Monterrey season,18
http://dbpedia.org/resource/2010–11_C.F._Monterrey_season,2010–11 C.F. Monterrey season,19
http://dbpedia.org/resource/2000–01_Manchester_City_F.C._season,2000–01 Manchester City F.C. season,14
http://dbpedia.org/resource/2000–01_Cardiff_City_F.C._season,2000–01 Cardiff City F.C. season,33
http://dbpedia.org/resource/2006–07_Central_Coast_Mariners_FC_season,2006–07 Central Coast Mariners FC season,7
http://dbpedia.org/resource/2015–16_Querétaro_F.C._season,2015–16 Querétaro F.C. season,12
http://dbpedia.org/resource/2000–01_Cardiff_City_F.C._season,2000–01 Cardiff City F.C. season,45
http://dbpedia.org/resource/2010–11_Club_Atlas_season,2010–11 Club Atlas season,1
http://dbpedia.org/resource/2010–11_Club_Universidad_Nacional_season,2010–11 Club Universidad Nacional season,69
http://dbpedia.org/resource/2015–16_Querétaro_F.C._season,2015–16 Querétaro F.C. season,2
http://dbpedia.org/resource/2010–11_C.F._Monterrey_season,2010–11 C.F. Monterrey season,23
