http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/areaLand
Georgia (U.S. state),1.49976e+11
جورجيا (ولاية أمريكية),1.49976e+11
Georgia,1.49976e+11
Georgia (Estados Unidos),1.49976e+11
Géorgie (États-Unis),1.49976e+11
Georgia (Stati Uniti d'America),1.49976e+11
ジョージア州,1.49976e+11
Georgia (staat),1.49976e+11
Georgia,1.49976e+11
Geórgia (Estados Unidos),1.49976e+11
Джорджия,1.49976e+11
喬治亞州,1.49976e+11
Tennessee,1.06846e+11
تينيسي,1.06846e+11
Tennessee,1.06846e+11
Tennessee,1.06846e+11
Tennessee,1.06846e+11
Tennessee,1.06846e+11
テネシー州,1.06846e+11
Tennessee,1.06846e+11
Tennessee,1.06846e+11
Tennessee,1.06846e+11
Теннесси,1.06846e+11
田纳西州,1.06846e+11
Vermont,2.4923e+10
فيرمونت,2.4923e+10
Vermont,2.4923e+10
Vermont,2.4923e+10
Vermont,2.4923e+10
Vermont,2.4923e+10
バーモント州,2.4923e+10
Vermont,2.4923e+10
Vermont,2.4923e+10
Vermont,2.4923e+10
Вермонт,2.4923e+10
佛蒙特州,2.4923e+10
West Virginia,6.2361e+10
فيرجينيا الغربية,6.2361e+10
West Virginia,6.2361e+10
Virginia Occidental,6.2361e+10
Virginie-Occidentale,6.2361e+10
Virginia Occidentale,6.2361e+10
ウェストバージニア州,6.2361e+10
West Virginia,6.2361e+10
Wirginia Zachodnia,6.2361e+10
Virgínia Ocidental,6.2361e+10
Западная Виргиния,6.2361e+10
西維吉尼亞州,6.2361e+10
"Leira, Oppland",8.5e+08
Leira,8.5e+08
Nesseby,1.36689e+09
نيسبي,1.36689e+09
Nesseby,1.36689e+09
Nesseby,1.36689e+09
Nesseby,1.36689e+09
Nesseby,1.36689e+09
Nesseby,1.36689e+09
Nesseby,1.36689e+09
Nesseby,1.36689e+09
Нессебю,1.36689e+09
內瑟比,1.36689e+09
Pingtan,3.71e+08
Xian de Pingtan,3.71e+08
平潭県,3.71e+08
平潭县,3.71e+08
Pingtan County,3.71e+08
"Runnels County, Texas",2.72208e+09
مقاطعة رونلز (تكساس),2.72208e+09
Runnels County,2.72208e+09
Condado de Runnels,2.72208e+09
Comté de Runnels,2.72208e+09
Contea di Runnels,2.72208e+09
ラネルズ郡 (テキサス州),2.72208e+09
Runnels County,2.72208e+09
