http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/areaTotal
Schildkrötensee,34000.0
Lac Tortue,34000.0
Turtle Lake (Tbilisi),34000.0
Черепашье озеро,34000.0
Rock Islands,4.112e+07
Chelbacheb-Inseln,4.112e+07
Islas Chelbacheb,4.112e+07
Îles Chelbacheb,4.112e+07
ロックアイランド,4.112e+07
Chelbachebeilanden,4.112e+07
Ilhas Chelbacheb,4.112e+07
Челбахеб,4.112e+07
洛克群島 (帛琉),4.112e+07
Whitsunday Islands,2.8282e+08
Whitsunday Islands,2.8282e+08
Îles Whitsunday,2.8282e+08
Isole Whitsunday,2.8282e+08
Whitsundayeilanden,2.8282e+08
Ilhas Whitsunday,2.8282e+08
Уитсанди,2.8282e+08
聖靈群島,2.8282e+08
Linch,3.44e+06
Linch,3.44e+06
Linch,3.44e+06
Patoka River National Wildlife Refuge and Management Area,9.69708e+07
Irvine Ranch Natural Landmarks,2.02343e+08
Masafer Yatta,3.6e+10
Zhongsha Islands,0.0
جزر تشونغشا,0.0
Zhongsha-Inseln,0.0
Islas Zhongsha,0.0
中沙諸島,0.0
Zhongsha-eilanden,0.0
Zhongsha Qundao,0.0
中沙群島,0.0
Eileanan Chearabhaigh,490000.0
