http://dbpedia.org/ontology/Station,http://dbpedia.org/ontology/areaWater
"Cantwell, Alaska",900000.0
Cantwell (Alaska),900000.0
Cantwell (Alaska),900000.0
Cantwell (Alaska),900000.0
Cantwell,900000.0
Cantwell (Alasca),900000.0
"Evansville, Indiana",1.21729e+06
إيفانسفيل,1.21729e+06
Evansville (Indiana),1.21729e+06
Evansville (Indiana),1.21729e+06
Evansville,1.21729e+06
Evansville (Indiana),1.21729e+06
エバンズビル (インディアナ州),1.21729e+06
Evansville (Indiana),1.21729e+06
Evansville (Indiana),1.21729e+06
Evansville (Indiana),1.21729e+06
Эвансвилл,1.21729e+06
埃文斯維爾 (印第安納州),1.21729e+06
"Evansville, Indiana",1.22e+06
إيفانسفيل,1.22e+06
Evansville (Indiana),1.22e+06
Evansville (Indiana),1.22e+06
Evansville,1.22e+06
Evansville (Indiana),1.22e+06
エバンズビル (インディアナ州),1.22e+06
Evansville (Indiana),1.22e+06
Evansville (Indiana),1.22e+06
Evansville (Indiana),1.22e+06
Эвансвилл,1.22e+06
埃文斯維爾 (印第安納州),1.22e+06
