http://dbpedia.org/ontology/ProtectedArea,http://dbpedia.org/ontology/elevation
Pedlar Wildlife Management Area,312.115
Cranesville Swamp Preserve,776.326
Big Run State Park,452.018
Burlingame State Park,10.9728
Cedar Rock State Park,276.149
Chapel Point State Park,42.0624
Chestnut Hill Reservation,39.9288
Chestnut Hill Reservation,39.9288
Core Arboretum,303.886
Core Arboretum,303.886
Crescent Beach State Park,2.1336
D.A.R. State Forest (Massachusetts),480.06
Dillard Mill State Historic Site,276.149
Ellisville Harbor State Park,0.0
Finger Lakes State Park,220.066
Glendo State Park,1434.08
Glendo State Park,1434.08
Graham Cave State Park,220.98
Green Ridge State Forest,282.245
Greenbrier State Park,313.03
Hart-Miller Island State Park,0.9144
Hocking State Forest,256.032
Janes Island State Park,0.0
Jefferson Landing State Historic Site,163.068
Jonas Green State Park,0.9144
Knob Noster State Park,223.114
Kopachuck State Park,15.8496
Lake Wappapello State Park,128.016
Laurel Lake Wildlife Management Area,240.792
Lewis and Clark State Park (Missouri),238.049
Long Branch State Park,241.097
Mark Twain Birthplace State Historic Site,192.938
Mark Twain State Park,185.014
Martinak State Park,6.096
Monument Mountain (reservation),500.5
Natchaug State Forest,173.126
Natchaug State Forest,173.126
Nipmuck State Forest,288.036
Nipmuck State Forest,288.036
Notchview,609.0
Notchview,609.0
Odiorne Point State Park,3.048
Odiorne Point State Park,3.048
Palmer State Park,95.0976
Patuxent River State Park,124.054
Peaks-Kenny State Park,120.091
Pershing State Park,210.007
Plum Orchard Lake Wildlife Management Area,531.266
Pomme de Terre State Park,264.871
Potlatch State Park,22.86
Selva Priest,1036.32
Priest Wilderness,1036.32
Purse State Park,0.9144
Quehanna Wild Area,577.901
Ramsey's Draft Wilderness,1036.32
Rich Hole Wilderness,1036.32
Roaring River State Park,409.956
Rock Bridge Memorial State Park,212.141
Rosaryville State Park,49.0728
Rough Mountain Wilderness,1036.32
Saint Mary's Wilderness,1036.32
Sappington Cemetery State Historic Site,202.997
Seth Low Pierrepont State Park Reserve,291.998
Seth Low Pierrepont State Park Reserve,291.998
Shenipsit State Forest,270.053
Shenipsit State Forest,270.053
Smallwood State Park,0.9144
Spencer State Forest,206.959
Spice Run Wilderness,598.932
St. Francois State Park,235.001
St. Mary's River State Park,29.8704
Stockton State Park,288.95
Three Ridges Wilderness,1036.32
Bosque estatal de Toro Negro,1338.07
Toro Negro State Forest,1338.07
Towosahgy State Historic Site,91.1352
Union Covered Bridge State Historic Site,206.045
Union Covered Bridge State Historic Site,206.045
Wallace State Park,295.961
Waubonsie State Park,334.975
West Virginia State Wildlife Center,531.876
Weston Bend State Park,306.019
Kameng Elephant Reserve,3250.0
Каменг (слоновий заповедник),3250.0
Kangaroo Lake State Natural Area,182.88
Mahoney Lake,472.0
Castleman Run Lake Wildlife Management Area,286.512
The Peach Orchard,190.439
Сражение за персиковый сад,190.439
Turkey Run Wildlife Management Area,178.003
Parque nacional Las Victorias,1200.0
Las Victorias,1200.0
Parque nacional San José la Colonia,1345.0
San José la Colonia,1345.0
Parque nacional Sipacate-Naranjo,1.0
Сипакате-Наранхо (национальный парк),1.0
Sipacate-Naranjo National Park,1.0
Assateague State Park,0.0
Carnifex Ferry Battlefield State Park,516.941
Claireville Conservation Area,167.0
Fort Simcoe,427.025
Holly River State Park,751.942
J. A. Skinner State Park,135.026
Parc d'État J. A. Skinner,135.026
Pilgrim Memorial State Park,3.048
Thousand Hills State Park,248.107
Tobyhanna State Park,611.124
Wompatuck State Park,39.9288
Allegheny Islands State Park,224.028
Ashland State Park,70.104
Babcock State Park,765.048
Babcock State Park,765.048
Бэбкок (парк штата),765.048
Babler State Park,178.918
Bear River State Park,2072.34
Bear River State Park,2072.34
Beartown State Forest,524.866
Bennett Spring State Park,327.965
Big Oak Tree State Park,88.0872
Parc d'État de Big Oak Tree,88.0872
Parque Estatal Black Moshannon,584.911
Black Moshannon State Park,584.911
Parc d'État de Black Moshannon,584.911
Park stanowy Black Moshannon,584.911
Parque natural Blidinje,1.15
Blidinje,1.15
Blidinje,1.15
Bluestone National Scenic River,498.958
Bluestone State Park,530.962
Блюстоун (парк штата),530.962
Boysen State Park,1442.01
Boysen State Park,1442.01
Breakheart Reservation,39.9288
Breakheart Reservation,39.9288
Brimfield State Forest,298.094
Buffalo Bill State Park,1637.08
Buffalo Bill State Park,1637.08
C. M. Gardner State Park,134.112
Callahan State Park,124.968
Cathedral State Park,786.079
Charles River Reservation,3.9624
Charles River Reservation,3.9624
Cherry Springs State Park,701.04
Parc d'État de Cherry Springs,701.04
Chief Logan State Park,392.887
Чиф-Логан,392.887
Cochituate State Park,42.0624
Collis P. Huntington State Park,241.097
Collis P. Huntington State Park,241.097
Colton Point State Park,498.958
Parc d'État de Colton Point,498.958
Colton Point State Park,498.958
Curt Gowdy State Park,2315.87
Curt Gowdy State Park,2315.87
Dighton Rock State Park,20.1168
Dorchester Shores Reservation,3.048
Dorchester Shores Reservation,3.048
Douglas State Forest,213.97
Dunn State Park,341.071
Erie Bluffs State Park,193.853
Gambrill State Park,472.135
Park stanowy Gambrill,472.135
Green Valley State Park,396.85
Harry S Truman State Park,237.134
Hawn State Park,244.145
Hopkinton State Park,84.1248
Hopkinton State Park,84.1248
Jones Island State Park,32.9184
Kanawha State Forest,225.857
Kanopolis State Park,459.029
Lake Dennison Recreation Area,249.936
Lake Sylvia State Park,50.9016
Lake Waramaug State Park,213.97
Lake Waramaug State Park,213.97
Lake Wenatchee State Park,574.853
Lake Wenatchee State Park,574.853
Leominster State Forest,299.923
Lime Kiln Point State Park,56.9976
Little Beaver State Park,746.76
