http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/elevation
Piskomgebirge,4048.0
Massif de Pskem,4048.0
Piskom (góry),4048.0
Пскемский хребет,4048.0
Pskem Mountains,4048.0
Kodari,2300.0
Kodari,2300.0
科达里,2300.0
Kodari,2300.0
Little Gold Creek,1258.0
Little Gold Creek,1257.91
Plunketts Creek Bridge No. 3,237.744
Plunketts Creek Bridge No. 3,237.744
"Suam, Uganda",2160.0
Skafferhullet,29.0
Capon Lake Whipple Truss Bridge,267.005
Acueducto de Amoreira,20.0
Aqueduto da Amoreira,20.0
Amoreira Aqueduct,20.0
Irkeschtam,3005.0
Erkeshtam,3005.0
Эркеш-Там,3005.0
Felton Covered Bridge,87.1728
Storskog,22.0
Storskog,22.0
Стурскуг,22.0
Storskog,22.0
Storskog,22.0
Buttonwood Covered Bridge,395.935
Buttonwood Covered Bridge,395.935
Cogan House Covered Bridge,393.192
Puente cubierto de Cogan House,393.192
Pont couvert de Cogan House,393.192
Cogan House Covered Bridge,393.192
"Dunns Bridge, Indiana",200.863
Forksville Covered Bridge,307.848
Pont couvert d'Hillsgrove,268.224
ヒルズグローヴ・カヴァード・ブリッジ,268.224
Hillsgrove Covered Bridge,268.224
Pont couvert de Sonestown,284.378
Sonestown Covered Bridge,284.378
