http://dbpedia.org/ontology/Stream,http://dbpedia.org/ontology/elevation
St. Johns-Indian River Barge Canal,4.572
Plum Run (Rock Creek),117.958
Canal Ligovsky,24.0487
Лиговский канал,24.0487
Ligovsky Canal,24.0487
Schuylkill Canal,188.595
Canaveral Barge Canal,1.00584
Delaware and Hudson Canal,327.66
South Forty-Foot Drain,-0.3048
Erie Canal,174.041
قناة إيري,174.041
Eriekanal,174.041
Canal de Erie,174.041
Canal Érié,174.041
Canale Erie,174.041
エリー運河,174.041
Eriekanaal,174.041
Kanał Erie,174.041
Canal de Erie,174.041
Эри (канал),174.041
伊利運河,174.041
Saint Lawrence Seaway,173.736
Sankt-Lorenz-Seeweg,173.736
Vía marítima del San Lorenzo,173.736
Voie maritime du Saint-Laurent,173.736
セントローレンス海路,173.736
Saint Lawrencezeeweg,173.736
Droga Wodna Świętego Wawrzyńca,173.736
Canal de São Lourenço,173.736
Морской путь Святого Лаврентия,173.736
聖羅倫斯海道,173.736
Vils (Donau),425.5
Vils (Danube),425.5
Vils (Danube),425.5
Vils (dopływ Dunaju),425.5
Фильс (приток Дуная),425.5
菲爾斯河 (多瑙河支流),425.5
Angara River,456.0
نهر أنغارا,456.0
Angara,456.0
Río Angará,456.0
Angara,456.0
Angara,456.0
アンガラ川,456.0
Angara (rivier),456.0
Angara,456.0
Rio Angara,456.0
Ангара,456.0
安加拉河,456.0
Lachine Canal,19.812
Lachine-Kanal,19.812
Canal de Lachine,19.812
Canal de Lachine,19.812
Canal de Lachine,19.812
Canal de Lachine,19.812
Moskau-Wolga-Kanal,161.849
Moscow Canal,161.849
Canal de Moscú,161.849
Canale di Mosca,161.849
Canal de Moscou,161.849
Moskoukanaal,161.849
Kanał imienia Moskwy,161.849
Canal de Moscou,161.849
Канал имени Москвы,161.849
莫斯科運河,161.849
Black River Canal,211.226
Canal Age,174.041
Sahtaneh River,279.0
Montgomery Canal,80.772
Morris Canal,278.587
Kanał Morris,278.587
Bergse Maas,2.1336
بيرخسه ماس,2.1336
Bergsche Maas,2.1336
Bergsche Maas,2.1336
Bergsche Maas,2.1336
Bergsche Maas,2.1336
ベルフセ・マース川,2.1336
Bergse Maas,2.1336
Бергсе-Маас,2.1336
Bóbr,780.0
بوبر (نهر),780.0
Bober,780.0
Río Bóbr,780.0
Bóbr,780.0
Bóbr,780.0
Bóbr,780.0
Bóbr (dopływ Odry),780.0
Rio Bóbr,780.0
Бубр,780.0
布布爾河,780.0
Kennet and Avon Canal,137.16
Kennet-und-Avon-Kanal,137.16
Canal Kennet et Avon,137.16
Kennet and Avon Canal,137.16
Кеннет — Эйвон,137.16
Leeds and Liverpool Canal,148.438
Canal Leeds-Liverpool,148.438
Leeds and Liverpool Canal,148.438
リーズ・リヴァプール運河,148.438
Kanał Leeds-Liverpool,148.438
Лидс — Ливерпуль,148.438
Llangollen Canal,70.104
Llangollen-Kanal,70.104
Haddiscoe Cut,0.0
Manchester Bolton & Bury Canal,75.2856
Tsoont Kol,1589.53
Newry Canal,23.7744
Lecarrow Canal,73.152
Rock Creek (Owens River),2160.12
Conewago Canal,117.043
Main Line of Public Works,707.746
Beatrixkanal,14.9352
Canal Beatrix,14.9352
Beatrixkanaal,14.9352
Beatrix Canal,14.9352
Alamo Canal,38.1
Icknield Port Loop,138.074
Pensnett Canal,144.17
Soho Loop,138.074
