http://dbpedia.org/ontology/Weapon,http://dbpedia.org/ontology/length
AGM-114 Hellfire,1.6256
إيه جي إم-114 هيلفاير,1.6256
AGM-114 Hellfire,1.6256
AGM-114 Hellfire,1.6256
AGM-114 Hellfire,1.6256
AGM-114 Hellfire,1.6256
ヘルファイア (ミサイル),1.6256
AGM-114 Hellfire,1.6256
AGM-114 Hellfire,1.6256
AGM-114 Hellfire,1.6256
AGM-114 Hellfire,1.6256
AGM-114地獄火飛彈,1.6256
FIM-92 Stinger,1.51892
ستينغر,1.51892
FIM-92 Stinger,1.51892
FIM-92 Stinger,1.51892
FIM-92 Stinger,1.51892
FIM-92 Stinger,1.51892
スティンガーミサイル,1.51892
FIM-92 Stinger,1.51892
FIM-92 Stinger,1.51892
FIM-92 Stinger,1.51892
FIM-92 Stinger,1.51892
FIM-92刺針便攜式防空飛彈,1.51892
GAM-87 Skybolt,11.5824
AGM-48 Skybolt,11.5824
AGM-48 Skybolt,11.5824
AGM-48 Skybolt,11.5824
スカイボルト (ミサイル),11.5824
Heavy Equipment Transport System,7.7
Heavy Equipment Transport System,7.7
Heavy Expanded Mobility Tactical Truck,10.3886
Heavy Expanded Mobility Tactical Truck,10.3886
Oskhosh HEMTT,10.3886
Heavy Expanded Mobility Tactical Truck,10.3886
HEMTT,10.3886
Heavy Expanded Mobility Tactical Truck,10.3886
重型增程機動戰術卡車,10.3886
Hydra 70,1.05918
هيدرا 70,1.05918
Hydra (Rakete),1.05918
Hydra 70,1.05918
Hydra 70,1.05918
Hydra-70,1.05918
ハイドラ70ロケット弾,1.05918
Hydra 70,1.05918
Hydra 70,1.05918
Hydra 70,1.05918
火蛇70航空火箭彈,1.05918
LGM-30 Minuteman,17.9832
LGM-30 Minuteman,17.9832
LGM-30 Minuteman,17.9832
LGM-30 Minuteman,17.9832
Minuteman (missile balistique),17.9832
ミニットマン (ミサイル),17.9832
LGM-30 Minuteman,17.9832
LGM-30 Minuteman,17.9832
Минитмен,17.9832
LGM-30義勇兵洲際彈道飛彈,17.9832
M102 howitzer,5.18
M102 (Haubitze),5.18
105 mm M102,5.18
Howitzer 105 mm M102,5.18
M102 105mm榴弾砲,5.18
105 mm haubica M102,5.18
105-мм гаубица M102,5.18
M102 (obus),5.18
M109 howitzer,9.144
إم 109 هاوتزر,9.144
M109 (Panzerhaubitze),9.144
Obús autopropulsado M109,9.144
M109 (semovente),9.144
M108/M109,9.144
M109 155mm自走榴弾砲,9.144
M109-houwitser,9.144
M109 SPH,9.144
M109 (САУ),9.144
M109 (obuseiro autopropulsado),9.144
M109自走砲,9.144
M110 howitzer,10.8
M110 (Haubitze),10.8
Obús autopropulsado M110,10.8
M110 (semovente),10.8
M110 (automoteur),10.8
M110 203mm自走榴弾砲,10.8
M110 SPH,10.8
M110 (САУ),10.8
M110自走炮,10.8
M18 Claymore mine,0.216
