http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/length
Chevrolet Traverse,5.207
Todoterreno Lambda (General Motors),5.207
Chevrolet Traverse,5.207
Chevrolet Traverse,5.207
Chevrolet Traverse,5.207
シボレー・トラバース,5.207
Chevrolet Traverse,5.207
Chevrolet Traverse,5.207
Chevrolet Traverse,5.207
Hosur Road Elevated Expressway,9985.0
Strait Island,3200.0
Deerfoot Trail,50000.0
Bluenose,43.6
Bluenose,43.6
Bluenose,43.6
Bluenose,43.6
Bluenose,43.6
Arsenjewka,294000.0
Río Arsenyevka,294000.0
Arsen'evka,294000.0
Арсеньевка,294000.0
阿爾謝尼耶夫卡河,294000.0
Arsenyevka River,294000.0
Ruta Estatal de Nevada 535,5137.03
Nevada State Route 535,5137.03
Marginal Pinheiros,22500.0
Marginal Pinheiros,22500.0
"Lake Major, Nova Scotia",8000.0
Miracle Mile (Coral Gables),809.5
"Amini, India",2800.0
Amini,2800.0
Amini,2800.0
阿米尼,2800.0
High Plains (Vereinigte Staaten),1.28748e+06
High Plains (United States),1.28748e+06
High Plains,1.28748e+06
Высокие равнины,1.28748e+06
Ilm (Saale),129000.0
Ilm (Thuringia),129000.0
Ilm (fiume - Turingia),129000.0
Ilm (rivière),129000.0
Ilm,129000.0
Ilm (dopływ Soławy),129000.0
Ильм (приток Зале),129000.0
伊爾姆河 (圖林根州),129000.0
Lastovo,9800.0
لاستوفو,9800.0
Lastovo,9800.0
Lastovo,9800.0
Lastovo,9800.0
Lagosta (isola),9800.0
Lastovo,9800.0
Lastovo (wyspa),9800.0
Lastovo,9800.0
Ластово,9800.0
拉斯托沃島,9800.0
Central Artery,5117.71
John F. Fitzgerald Expressway,5117.71
Hochwüste (Oregon),209215.0
Haut désert de l'Oregon,209215.0
High Desert (Oregon),209215.0
High Desert (Oregon),209215.0
Oak Street Connector,1689.81
Driekloof Dam,500.0
هامشية التعادل,24500.0
Marginal Tietê,24500.0
Marginal Tietê,24500.0
Marginal Tietê,24500.0
Marginal Tietê,24500.0
Marginal Tietê,24500.0
Marginal Tietê,24500.0
"Bloomingburg, New York",1609.34
بلومينغبورغ (نيويورك),1609.34
Bloomingburg (Nueva York),1609.34
"Carmi, Illinois",4441.79
كرمي,4441.79
Carmi (Illinois),4441.79
Carmi (Illinois),4441.79
Carmi (Illinois),4441.79
Carmi,4441.79
Carmi,4441.79
Carmi (Illinois),4441.79
Carmi (Illinois),4441.79
"Fleischmanns, New York",1609.34
فليشمانس (نيويورك),1609.34
Fleischmanns,1609.34
"Woodridge, New York",1770.28
وودريدج (نيويورك),1770.28
Woodridge (Nueva York),1770.28
Black Rock Desert,160934.0
صحراء بلاك روك,160934.0
Black Rock Desert,160934.0
Desierto de Black Rock,160934.0
Deserto Black Rock,160934.0
Désert de Black Rock,160934.0
ブラックロック砂漠,160934.0
Black Rock Desert,160934.0
Блэк-Рок (пустыня),160934.0
Deserto de Black Rock,160934.0
Gotland,176000.0
غوتلاند,176000.0
Gotland,176000.0
Isla de Gotland,176000.0
Gotland,176000.0
Gotland,176000.0
ゴットランド島,176000.0
Gotland,176000.0
Gotlandia,176000.0
Gotlândia,176000.0
Готланд,176000.0
哥得蘭島,176000.0
"Montgomery (village), New York",3218.69
قرية مونتغومري (نيويورك),3218.69
Montgomery (villa),3218.69
Hanford Reach,72420.5
Hanford Reach,72420.5
Jarun,2250.0
Jarun-See,2250.0
Jarun,2250.0
Jarun,2250.0
Kavaratti,5000.0
Kavaratti,5000.0
Kavaratti,5000.0
Kavaratti,5000.0
Kavaratti,5000.0
カバラティ,5000.0
Kavaratti,5000.0
