http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/numberOfSeasons
College Bowl,12
Spider-Man and His Amazing Friends,3
Spider-Man und seine außergewöhnlichen Freunde,3
Spider-Man and His Amazing Friends,3
L'Uomo Ragno e i suoi fantastici amici,3
スパイダーマン&アメイジング・フレンズ,3
Spider-Man and His Amazing Friends,3
Człowiek-Pająk i jego niezwykli przyjaciele,3
Spider-Man and His Amazing Friends,3
新蜘蛛俠,3
The Powerpuff Girls,6
فتيات القوة,6
Powerpuff Girls,6
The Powerpuff Girls,6
"Les Supers Nanas (série télévisée d'animation, 1998)",6
Le Superchicche,6
パワーパフガールズ,6
The Powerpuff Girls,6
Atomówki,6
The Powerpuff Girls,6
Суперкрошки,6
飛天小女警,6
The Simpsons,28
عائلة سيمبسون,28
Die Simpsons,28
Los Simpson,28
I Simpson,28
Les Simpson,28
The Simpsons,28
ザ・シンプソンズ,28
Simpsonowie,28
Os Simpsons,28
Симпсоны,28
辛普森一家,28
Adventures of Sonic the Hedgehog,1
مغامرات سونيك القنفذ,1
Sonic der irre Igel,1
Las aventuras de Sonic el Erizo,1
Les Aventures de Sonic,1
Le avventure di Sonic,1
アドベンチャーズ・オブ・ソニック・ザ・ヘッジホッグ,1
Adventures of Sonic the Hedgehog,1
Adventures of Sonic the Hedgehog,1
Adventures of Sonic the Hedgehog,1
Adventures of Sonic the Hedgehog,1
刺猬索尼克历险记,1
Alvin and the Chipmunks (1983 TV series),8
"Alvin et les Chipmunks (série télévisée d'animation, 1983)",8
Alvin rock 'n' roll,8
Alvin i wiewiórki (serial animowany),8
Alvin e os Esquilos (Ruby-Spears),8
بوجاك هورسمان,3
BoJack Horseman,3
BoJack Horseman,3
BoJack Horseman,3
BoJack Horseman,3
BoJack Horseman,3
BoJack Horseman,3
BoJack Horseman,3
Конь БоДжек,3
马男波杰克,3
BoJack Horseman,3
عودة الديناصورات,1
Cadillacs and Dinosaurs (TV series),1
Cadillacs e dinosauri,1
Godzilla: The Series,2
"Godzilla, la série",2
ゴジラ ザ・シリーズ,2
Godzilla: The Series,2
Godzilla (serial animowany 1998),2
Godzilla (desenho animado),2
"Годзилла (мультсериал, 1998)",2
الحياة مع لوي,3
Life with Louie,3
Life With Louie,3
La vita con Louie,3
Leven met Louie,3
Świat według Ludwiczka,3
Жизнь с Луи,3
Lights Out (Fernsehserie),1
Fuori dal ring,1
Lights Out (serial telewizyjny),1
余光,1
Lights Out (2011 TV series),1
Sonic the Hedgehog (TV series),2
القنفذ سونيك ( سلسلة كرتون) 1993,2
Sonic the Hedgehog (Fernsehserie),2
Sonic el Erizo (serie de televisión),2
Sonic the Hedgehog (série télévisée d'animation),2
Sonic (serie animata),2
ソニック・ザ・ヘッジホッグ (アニメ),2
Sonic the Hedgehog (televisieserie),2
Sonic the Hedgehog (serial animowany),2
Sonic the Hedgehog (série animada),2
Sonic the Hedgehog (мультсериал),2
音速小子 (動畫),2
مدرسة الامبراطور الجديدة,2
Kuzco’s Königsklasse,2
The Emperor's New School,2
The Emperor's New School,2
"Kuzco, un empereur à l'école",2
A scuola con l'imperatore,2
ラマだった王様 学校へ行こう!,2
The Emperor's New School,2
