http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/ontology/populationTotal
Syria,17064854
سوريا,17064854
Syrien,17064854
Siria,17064854
Syrie,17064854
Siria,17064854
シリア,17064854
Syrië,17064854
Syria,17064854
Síria,17064854
Сирия,17064854
叙利亚,17064854
Египет,85783
Egypt,85783
مصر,85783
Ägypten,85783
Egipto,85783
Égypte,85783
Egitto,85783
エジプト,85783
Egypte (land),85783
Egipt,85783
Egito,85783
埃及,85783
Mian Nahr,49
Afghanistan,32564342
أفغانستان,32564342
Afghanistan,32564342
Afganistán,32564342
Afghanistan,32564342
Afghanistan,32564342
アフガニスタン,32564342
Afghanistan,32564342
Afganistan,32564342
Afeganistão,32564342
Афганистан,32564342
阿富汗,32564342
Albania,2886026
ألبانيا,2886026
Albanien,2886026
Albania,2886026
Albanie,2886026
Albania,2886026
アルバニア,2886026
Albanië,2886026
Albania,2886026
Albânia,2886026
Албания,2886026
阿尔巴尼亚,2886026
Antigua and Barbuda,91295
أنتيغوا وباربودا,91295
Antigua und Barbuda,91295
Antigua y Barbuda,91295
Antigua-et-Barbuda,91295
Antigua e Barbuda,91295
アンティグア・バーブーダ,91295
Antigua en Barbuda,91295
Antigua i Barbuda,91295
Antígua e Barbuda,91295
Антигуа и Барбуда,91295
安提瓜和巴布达,91295
Aruba,103400
أروبا,103400
Aruba,103400
Aruba,103400
Aruba,103400
Aruba,103400
アルバ,103400
Aruba,103400
Aruba,103400
Aruba,103400
Аруба,103400
阿魯巴,103400
Azerbaijan,9754830
أذربيجان,9754830
Aserbaidschan,9754830
Azerbaiyán,9754830
Azerbaïdjan,9754830
Azerbaigian,9754830
アゼルバイジャン,9754830
Azerbeidzjan,9754830
Azerbejdżan,9754830
Azerbaijão,9754830
Азербайджан,9754830
阿塞拜疆,9754830
Belarus,9498700
روسيا البيضاء,9498700
Weißrussland,9498700
Bielorrusia,9498700
Bielorussia,9498700
Biélorussie,9498700
ベラルーシ,9498700
Wit-Rusland,9498700
Białoruś,9498700
Bielorrússia,9498700
Белоруссия,9498700
白俄罗斯,9498700
Belize,368310
بليز,368310
Belize,368310
Belice,368310
Belize,368310
Belize,368310
ベリーズ,368310
Belize (land),368310
Belize,368310
Belize,368310
Белиз,368310
伯利兹,368310
Benin,10879829
بنين,10879829
Benin,10879829
Benín,10879829
Bénin,10879829
Benin,10879829
ベナン,10879829
Benin,10879829
Benin,10879829
Benim,10879829
Бенин,10879829
贝宁,10879829
Bolivia,11410651
بوليفيا,11410651
Bolivien,11410651
Bolivia,11410651
Bolivie,11410651
Bolivia,11410651
ボリビア,11410651
Bolivia,11410651
Boliwia,11410651
Bolívia,11410651
Боливия,11410651
玻利維亞,11410651
Burkina Faso,17322796
بوركينا فاسو,17322796
Burkina Faso,17322796
Burkina Faso,17322796
Burkina Faso,17322796
Burkina Faso,17322796
ブルキナファソ,17322796
Burkina Faso,17322796
Burkina Faso,17322796
Burkina Faso,17322796
Буркина-Фасо,17322796
布吉納法索,17322796
Cameroon,22534532
الكاميرون,22534532
Kamerun,22534532
Camerún,22534532
Cameroun,22534532
Camerun,22534532
カメルーン,22534532
Kameroen,22534532
Kamerun,22534532
Camarões,22534532
Камерун,22534532
喀麦隆,22534532
Central African Republic,4709000
جمهورية أفريقيا الوسطى,4709000
Zentralafrikanische Republik,4709000
República Centroafricana,4709000
République centrafricaine,4709000
Repubblica Centrafricana,4709000
中央アフリカ共和国,4709000
Centraal-Afrikaanse Republiek,4709000
Republika Środkowoafrykańska,4709000
República Centro-Africana,4709000
Центральноафриканская Республика,4709000
中非共和國,4709000
Chad,13670084
تشاد,13670084
Tschad,13670084
Chad,13670084
Tchad,13670084
Ciad,13670084
チャド,13670084
Tsjaad,13670084
Czad,13670084
Chade,13670084
Чад,13670084
乍得,13670084
Chile,18006407
Chile,18006407
تشيلي,18006407
Chile,18006407
Chili,18006407
Cile,18006407
チリ,18006407
Chili,18006407
Chile,18006407
Chile,18006407
Чили,18006407
智利,18006407
Colombia,48786100
كولومبيا,48786100
Kolumbien,48786100
Colombia,48786100
Colombie,48786100
Colombia,48786100
コロンビア,48786100
Colombia,48786100
Kolumbia,48786100
Colômbia,48786100
Колумбия,48786100
哥伦比亚,48786100
Cyprus,1141166
قبرص,1141166
Republik Zypern,1141166
Chipre,1141166
Cipro,1141166
Chypre (pays),1141166
キプロス,1141166
Cyprus,1141166
Cypr,1141166
Chipre,1141166
Республика Кипр,1141166
賽普勒斯,1141166
Czech Republic,10553443
التشيك,10553443
Tschechien,10553443
República Checa,10553443
République tchèque,10553443
Repubblica Ceca,10553443
チェコ,10553443
Tsjechië,10553443
Czechy,10553443
República Checa,10553443
Чехия,10553443
捷克,10553443
Equatorial Guinea,1222442
غينيا الاستوائية,1222442
Äquatorialguinea,1222442
Guinea Ecuatorial,1222442
Guinée équatoriale,1222442
Guinea Equatoriale,1222442
赤道ギニア,1222442
Equatoriaal-Guinea,1222442
Gwinea Równikowa,1222442
Guiné Equatorial,1222442
Экваториальная Гвинея,1222442
赤道几内亚,1222442
Fiji,909389
فيجي,909389
Fidschi,909389
Fiyi,909389
Fidji,909389
Figi,909389
フィジー,909389
Fiji,909389
Fidżi,909389
Fiji,909389
Фиджи,909389
斐濟,909389
Greece,10955000
اليونان,10955000
Griechenland,10955000
Grecia,10955000
Grèce,10955000
Grecia,10955000
ギリシャ,10955000
Griekenland,10955000
Grecja,10955000
Grécia,10955000
Греция,10955000
希腊,10955000
Greenland,56483
جرينلاند,56483
Grönland,56483
Groenlandia,56483
Groenland,56483
Groenlandia,56483
Groenland,56483
グリーンランド,56483
Grenlandia,56483
Gronelândia,56483
Гренландия,56483
格陵兰,56483
Guinea,8746128
غينيا,8746128
Guinea,8746128
Guinea,8746128
Guinée,8746128
Guinea,8746128
ギニア,8746128
Guinee,8746128
Gwinea,8746128
Guiné,8746128
Гвинея,8746128
几内亚,8746128
Guinea-Bissau,1693398
غينيا بيساو,1693398
Guinea-Bissau,1693398
Guinea-Bisáu,1693398
Guinée-Bissau,1693398
Guinea-Bissau,1693398
ギニアビサウ,1693398
Guinee-Bissau,1693398
Gwinea Bissau,1693398
Guiné-Bissau,1693398
Гвинея-Бисау,1693398
幾內亞比索,1693398
India,1293057000
الهند,1293057000
Indien,1293057000
India,1293057000
Inde,1293057000
India,1293057000
インド,1293057000
India,1293057000
Indie,1293057000
Índia,1293057000
Индия,1293057000
印度,1293057000
Indonesia,255461700
إندونيسيا,255461700
Indonesien,255461700
Indonesia,255461700
Indonésie,255461700
Indonesia,255461700
インドネシア,255461700
Indonesië,255461700
Indonezja,255461700
Indonésia,255461700
Индонезия,255461700
印度尼西亚,255461700
Jamaica,2950210
جامايكا,2950210
Jamaika,2950210
Jamaica,2950210
Giamaica,2950210
Jamaïque,2950210
ジャマイカ,2950210
Jamaica,2950210
Jamajka,2950210
Jamaica,2950210
Ямайка,2950210
牙买加,2950210
Kazakhstan,17693500
كازاخستان,17693500
Kasachstan,17693500
Kazajistán,17693500
Kazakhstan,17693500
Kazakistan,17693500
カザフスタン,17693500
Kazachstan,17693500
Kazachstan,17693500
Cazaquistão,17693500
Казахстан,17693500
哈萨克斯坦,17693500
Laos,6803699
لاوس,6803699
Laos,6803699
