http://dbpedia.org/ontology/MilitaryPerson,MilitaryPerson,http://dbpedia.org/ontology/serviceStartYear
http://dbpedia.org/resource/Harold_Ernest_Goettler,Harold Ernest Goettler,1893
http://dbpedia.org/resource/Stasys_Raštikis,Stasys Raštikis,1772
http://dbpedia.org/resource/Tammy_Smith,Tammy Smith,2287
http://dbpedia.org/resource/Alexander_Alderman_Semmes,Alexander Alderman Semmes,1762
"http://dbpedia.org/resource/Victor_E._Renuart,_Jr.","Victor E. Renuart, Jr.",1779
http://dbpedia.org/resource/Christine_Bruzek-Kohler,Christine Bruzek-Kohler,1806
http://dbpedia.org/resource/Anton_Berg,Anton Berg,2254
http://dbpedia.org/resource/Richard_Dacres_(British_Army_officer),Richard Dacres (British Army officer),1514
http://dbpedia.org/resource/Bruno_Müller,Bruno Müller,2051
http://dbpedia.org/resource/Adolf_Fischer_(officer),Adolf Fischer (officer),1752
http://dbpedia.org/resource/Raúl_Pellegrin,Raúl Pellegrin,1957
http://dbpedia.org/resource/Frederick_C._Blesse,Frederick C. Blesse,2059
http://dbpedia.org/resource/Ernesto_Cabruna,Ernesto Cabruna,1925
http://dbpedia.org/resource/Karl_Brassert,Karl Brassert,1763
http://dbpedia.org/resource/Henrik_af_Trolle,Henrik af Trolle,1892
http://dbpedia.org/resource/Staryl_C._Austin,Staryl C. Austin,2016
http://dbpedia.org/resource/Edward_J._Barrett,Edward J. Barrett,1991
http://dbpedia.org/resource/Leslie_Gordon_Phillips,Leslie Gordon Phillips,1637
http://dbpedia.org/resource/William_Patrick_Stuart-Houston,William Patrick Stuart-Houston,1837
http://dbpedia.org/resource/John_C._England,John C. England,2153
http://dbpedia.org/resource/Ori_Orr,Ori Orr,1574
http://dbpedia.org/resource/Henry_Biziou,Henry Biziou,2301
http://dbpedia.org/resource/Hans_von_Plessen,Hans von Plessen,1773
http://dbpedia.org/resource/Eugene_M._Landrum,Eugene M. Landrum,1862
http://dbpedia.org/resource/Vernon_Prichard,Vernon Prichard,2057
http://dbpedia.org/resource/Thomas_E._Atkinson,Thomas E. Atkinson,1823
http://dbpedia.org/resource/Joseph_Gallieni,Joseph Gallieni,2103
"http://dbpedia.org/resource/John_Hunt,_Baron_Hunt","John Hunt, Baron Hunt",2192
http://dbpedia.org/resource/Adam_Duncan_(sailor),Adam Duncan (sailor),1564
http://dbpedia.org/resource/Alexander_Wilmot_Schomberg,Alexander Wilmot Schomberg,1928
http://dbpedia.org/resource/Thomas_Ball_Sulivan,Thomas Ball Sulivan,1433
http://dbpedia.org/resource/Mary_Lloyd,Mary Lloyd,2052
http://dbpedia.org/resource/Modi_Alon,Modi Alon,1852
http://dbpedia.org/resource/Colin_Maud,Colin Maud,2098
http://dbpedia.org/resource/Herbert_Rollwage,Herbert Rollwage,1855
http://dbpedia.org/resource/Anders_Rudolf_du_Rietz,Anders Rudolf du Rietz,1634
http://dbpedia.org/resource/William_Horwood_(police_commissioner),William Horwood (police commissioner),1825
http://dbpedia.org/resource/Robert_F._Worley,Robert F. Worley,1789
http://dbpedia.org/resource/Archibald_Robertson_(physician),Archibald Robertson (physician),2110
http://dbpedia.org/resource/Hannes_Trautloft,Hannes Trautloft,1943
http://dbpedia.org/resource/Eduard_Tratt,Eduard Tratt,1590
http://dbpedia.org/resource/Robert_James_Miller,Robert James Miller,2174
http://dbpedia.org/resource/Carl_Johan_Adlercreutz,Carl Johan Adlercreutz,1551
http://dbpedia.org/resource/D._Brian_Peterman,D. Brian Peterman,2380
http://dbpedia.org/resource/William_Jackson_(VC),William Jackson (VC),2098
http://dbpedia.org/resource/John_R._Perry,John R. Perry,2048
http://dbpedia.org/resource/William_Flynn_(British_Army_soldier),William Flynn (British Army soldier),1752
http://dbpedia.org/resource/Wilhelm_Noller,Wilhelm Noller,1998
http://dbpedia.org/resource/Henry_W._Wessells,Henry W. Wessells,1842
http://dbpedia.org/resource/Tarmo_Kõuts,Tarmo Kõuts,2153
http://dbpedia.org/resource/David_Ben-Besht,David Ben-Besht,2437
http://dbpedia.org/resource/John_F._Laboon,John F. Laboon,1565
http://dbpedia.org/resource/Alexei_Vinogradov,Alexei Vinogradov,1924
http://dbpedia.org/resource/Iván_Castro,Iván Castro,1758
http://dbpedia.org/resource/José_Moscardó_Ituarte,José Moscardó Ituarte,1907
http://dbpedia.org/resource/Herbert_Kaiser,Herbert Kaiser,1605
http://dbpedia.org/resource/Paul_F._Gorman,Paul F. Gorman,2244
http://dbpedia.org/resource/Archibald_Winskill,Archibald Winskill,1986
http://dbpedia.org/resource/Leonard_Lomell,Leonard Lomell,1671
http://dbpedia.org/resource/Afsir_Karim,Afsir Karim,2117
http://dbpedia.org/resource/Charles_C._Campbell_(general),Charles C. Campbell (general),1843
http://dbpedia.org/resource/John_W._Sprague,John W. Sprague,1579
http://dbpedia.org/resource/Richard_Tracey_(Royal_Navy_officer),Richard Tracey (Royal Navy officer),1550
http://dbpedia.org/resource/Hugo_Munthe-Kaas,Hugo Munthe-Kaas,1857
http://dbpedia.org/resource/Bradley_A._Fiske,Bradley A. Fiske,1768
http://dbpedia.org/resource/Richard_K._Sorenson,Richard K. Sorenson,2259
http://dbpedia.org/resource/Dudley_W._Morton,Dudley W. Morton,1763
http://dbpedia.org/resource/George_Ladd_(Medal_of_Honor),George Ladd (Medal of Honor),1828
http://dbpedia.org/resource/Robert_Buffum,Robert Buffum,2237
http://dbpedia.org/resource/John_Washington_(Royal_Navy_officer),John Washington (Royal Navy officer),1789
http://dbpedia.org/resource/Victor_Blue,Victor Blue,1955
http://dbpedia.org/resource/Verner_Lehtimäki,Verner Lehtimäki,1850
http://dbpedia.org/resource/Raymond_H._Wilkins,Raymond H. Wilkins,1649
http://dbpedia.org/resource/Prince_Arisugawa_Taruhito,Prince Arisugawa Taruhito,1528
http://dbpedia.org/resource/Liu_Xiang_(warlord),Liu Xiang (warlord),1749
http://dbpedia.org/resource/Aharon_Doron,Aharon Doron,1905
http://dbpedia.org/resource/Ludwig_Merker,Ludwig Merker,1768
http://dbpedia.org/resource/Anita_L._Lopez,Anita L. Lopez,1687
http://dbpedia.org/resource/Robert_S._Scott,Robert S. Scott,2163
http://dbpedia.org/resource/Vsevolod_Petriv,Vsevolod Petriv,1946
http://dbpedia.org/resource/Jean_Victor_Allard,Jean Victor Allard,1833
http://dbpedia.org/resource/David-Maurice-Joseph_Mathieu_de_La_Redorte,David-Maurice-Joseph Mathieu de La Redorte,1818
http://dbpedia.org/resource/Raoul_Salan,Raoul Salan,1955
http://dbpedia.org/resource/Reg_Saunders,Reg Saunders,1996
http://dbpedia.org/resource/Karl_Weisenberger,Karl Weisenberger,1805
http://dbpedia.org/resource/Walter_Bordellé,Walter Bordellé,2004
http://dbpedia.org/resource/Kanchana_Senerat_Kadigawe,Kanchana Senerat Kadigawe,2289
http://dbpedia.org/resource/Edward_Francis_Winslow,Edward Francis Winslow,1791
http://dbpedia.org/resource/Richard_Waterhouse_(general),Richard Waterhouse (general),2113
http://dbpedia.org/resource/Hans_Rauch,Hans Rauch,1921
http://dbpedia.org/resource/Yevgeni_Ivanovich_Alekseyev,Yevgeni Ivanovich Alekseyev,1653
http://dbpedia.org/resource/Lewis_Armistead,Lewis Armistead,2058
http://dbpedia.org/resource/Louis-Vincent-Joseph_Le_Blond_de_Saint-Hilaire,Louis-Vincent-Joseph Le Blond de Saint-Hilaire,1573
http://dbpedia.org/resource/William_Foster_MacNeece_Foster,William Foster MacNeece Foster,2000
http://dbpedia.org/resource/Seán_Heuston,Seán Heuston,1809
http://dbpedia.org/resource/Hans_Bothmann,Hans Bothmann,1636
http://dbpedia.org/resource/David_F._Sellers,David F. Sellers,1890
http://dbpedia.org/resource/Eliakim_P._Scammon,Eliakim P. Scammon,1835
http://dbpedia.org/resource/Américo_Tomás,Américo Tomás,1932
http://dbpedia.org/resource/William_D._Baumgartner,William D. Baumgartner,1733
http://dbpedia.org/resource/Jacques_Leroy_de_Saint_Arnaud,Jacques Leroy de Saint Arnaud,1883
http://dbpedia.org/resource/Viktor_Dousmanis,Viktor Dousmanis,1737
http://dbpedia.org/resource/Efthymios_Tsimikalis,Efthymios Tsimikalis,2158
http://dbpedia.org/resource/Horst_Stumpff,Horst Stumpff,1773
http://dbpedia.org/resource/Max_Reyter,Max Reyter,2075
http://dbpedia.org/resource/Erich-Otto_Schmidt,Erich-Otto Schmidt,2128
http://dbpedia.org/resource/Heinz_Sieder,Heinz Sieder,1708
http://dbpedia.org/resource/Richard_Parker_(colonel),Richard Parker (colonel),1810
http://dbpedia.org/resource/Hugo_Pearson,Hugo Pearson,1876
http://dbpedia.org/resource/Thomas_R._Morgan,Thomas R. Morgan,1821
http://dbpedia.org/resource/George_Maney,George Maney,1843
http://dbpedia.org/resource/Abdullah_el-Tell,Abdullah el-Tell,2006
http://dbpedia.org/resource/Spurgeon_Neel,Spurgeon Neel,2131
http://dbpedia.org/resource/George_Pyne,George Pyne,1908
http://dbpedia.org/resource/Johannes_Bunzek,Johannes Bunzek,1992
http://dbpedia.org/resource/Watari_Handa,Watari Handa,1610
http://dbpedia.org/resource/Matthew_Arther,Matthew Arther,1967
http://dbpedia.org/resource/Robert_Leckie_(author),Robert Leckie (author),1887
http://dbpedia.org/resource/John_Reeves_Pierce,John Reeves Pierce,1826
http://dbpedia.org/resource/Nils_Olav,Nils Olav,2001
http://dbpedia.org/resource/James_E._Briggs,James E. Briggs,1896
http://dbpedia.org/resource/Jorge_Otero_Barreto,Jorge Otero Barreto,2195
http://dbpedia.org/resource/Patrick_O'Donnell_(Canadian_general),Patrick O'Donnell (Canadian general),2109
http://dbpedia.org/resource/Shannon_Meehan,Shannon Meehan,2137
http://dbpedia.org/resource/Fred_W._Stockham,Fred W. Stockham,2211
http://dbpedia.org/resource/Adrien_L._J._Leps,Adrien L. J. Leps,1982
http://dbpedia.org/resource/Robert_E._Kramek,Robert E. Kramek,1925
http://dbpedia.org/resource/Liam_Pilkington,Liam Pilkington,1756
http://dbpedia.org/resource/Robert_Sherbrooke,Robert Sherbrooke,1870
http://dbpedia.org/resource/John_D._Terry,John D. Terry,1803
http://dbpedia.org/resource/Siegfried_Schnell,Siegfried Schnell,1744
http://dbpedia.org/resource/Heinz-Oskar_Laebe,Heinz-Oskar Laebe,1923
http://dbpedia.org/resource/Norman_Arthur,Norman Arthur,1894
http://dbpedia.org/resource/David_Russell_(Royal_Navy_officer),David Russell (Royal Navy officer),1999
http://dbpedia.org/resource/David_Murray_(RAF_officer),David Murray (RAF officer),2045
http://dbpedia.org/resource/Ruth_A._Lucas,Ruth A. Lucas,2355
http://dbpedia.org/resource/Armando_Torres_III,Armando Torres III,6
http://dbpedia.org/resource/Dieter-Hans_Clemm_von_Hohenberg,Dieter-Hans Clemm von Hohenberg,1703
http://dbpedia.org/resource/Edwin_M._Truell,Edwin M. Truell,2136
http://dbpedia.org/resource/William_Gordon_Cameron,William Gordon Cameron,1994
http://dbpedia.org/resource/Jun_Ushiroku,Jun Ushiroku,1786
http://dbpedia.org/resource/Christopher_Finney,Christopher Finney,2041
http://dbpedia.org/resource/Roy_Benavidez,Roy Benavidez,2037
