http://dbpedia.org/ontology/Bank,Bank,http://dbpedia.org/ontology/foundingYear
http://dbpedia.org/resource/State_Bank_of_Travancore,State Bank of Travancore,1862
http://dbpedia.org/resource/Amegy_Bank_of_Texas,Amegy Bank of Texas,2056
http://dbpedia.org/resource/Bank_of_London_and_South_America,Bank of London and South America,2014
http://dbpedia.org/resource/Mutiara_Bank,Mutiara Bank,2077
http://dbpedia.org/resource/Banco_de_Bogotá,Banco de Bogotá,1862
http://dbpedia.org/resource/LPL_Financial,LPL Financial,1883
http://dbpedia.org/resource/APS_Bank,APS Bank,1944
http://dbpedia.org/resource/Philadelphia_Savings_Fund_Society,Philadelphia Savings Fund Society,1798
http://dbpedia.org/resource/Bank_Respublika,Bank Respublika,2034
http://dbpedia.org/resource/Statewide_Insurance_Company,Statewide Insurance Company,1996
http://dbpedia.org/resource/EFront_Financial_Solutions,EFront Financial Solutions,2016
http://dbpedia.org/resource/GAMCO_Investors,GAMCO Investors,2044
http://dbpedia.org/resource/Jæren_Sparebank,Jæren Sparebank,1857
http://dbpedia.org/resource/The_Mortgage_Banker_Group_Inc.,The Mortgage Banker Group Inc.,2025
http://dbpedia.org/resource/Ambac,Ambac,1996
http://dbpedia.org/resource/Hull_Trading_Company,Hull Trading Company,2021
http://dbpedia.org/resource/Basellandschaftliche_Kantonalbank,Basellandschaftliche Kantonalbank,1905
http://dbpedia.org/resource/Zuger_Kantonalbank,Zuger Kantonalbank,1800
http://dbpedia.org/resource/Banrisul,Banrisul,1899
http://dbpedia.org/resource/Police_Bank,Police Bank,2032
http://dbpedia.org/resource/Mashreq_(Bank),Mashreq (Bank),1877
http://dbpedia.org/resource/J._Safra_Sarasin,J. Safra Sarasin,1882
http://dbpedia.org/resource/SparkBase,SparkBase,1905
http://dbpedia.org/resource/CIT_Group,CIT Group,1858
http://dbpedia.org/resource/Diversified_Global_Graphics_Group,Diversified Global Graphics Group,1920
http://dbpedia.org/resource/ZuluTrade,ZuluTrade,1985
http://dbpedia.org/resource/Wescom_Credit_Union,Wescom Credit Union,1918
http://dbpedia.org/resource/Credexbank,Credexbank,1925
http://dbpedia.org/resource/Philippine_Savings_Bank,Philippine Savings Bank,1976
http://dbpedia.org/resource/Marshall_&_Ilsley,Marshall & Ilsley,1757
http://dbpedia.org/resource/C._Hoare_&_Co,C. Hoare & Co,1594
http://dbpedia.org/resource/BNP_Paribas_CIB,BNP Paribas CIB,1915
http://dbpedia.org/resource/Høland_og_Setskog_Sparebank,Høland og Setskog Sparebank,1794
http://dbpedia.org/resource/US_Assure,US Assure,1943
http://dbpedia.org/resource/Živnostenská_banka,Živnostenská banka,1820
http://dbpedia.org/resource/Independent_Bank,Independent Bank,1808
http://dbpedia.org/resource/Scor_SE,Scor SE,2046
http://dbpedia.org/resource/EBS_Limited,EBS Limited,1954
http://dbpedia.org/resource/Citibank_India,Citibank India,1889
http://dbpedia.org/resource/Summit_Credit_Union,Summit Credit Union,1911
http://dbpedia.org/resource/Straumur_Investment_Bank,Straumur Investment Bank,2067
http://dbpedia.org/resource/Sainsbury's_Bank,Sainsbury's Bank,1947
http://dbpedia.org/resource/Rand_Merchant_Investment_Holdings,Rand Merchant Investment Holdings,2075
http://dbpedia.org/resource/First_Internet_Bancorp,First Internet Bancorp,2059
http://dbpedia.org/resource/Overseas_Trust_Bank,Overseas Trust Bank,1914
http://dbpedia.org/resource/Industrial_Bank_(China),Industrial Bank (China),1952
http://dbpedia.org/resource/Babylon_Bank,Babylon Bank,1991
http://dbpedia.org/resource/FXCM,FXCM,2027
http://dbpedia.org/resource/South_Florida_Educational_Federal_Credit_Union,South Florida Educational Federal Credit Union,1940
http://dbpedia.org/resource/Fideres,Fideres,2059
http://dbpedia.org/resource/Banca_CR_Firenze,Banca CR Firenze,1774
http://dbpedia.org/resource/West_Bengal_State_Coop_Bank,West Bengal State Coop Bank,1932
http://dbpedia.org/resource/Israel_Postal_Company,Israel Postal Company,1897
http://dbpedia.org/resource/Čačanska_banka,Čačanska banka,2008
http://dbpedia.org/resource/Green_Dot_Corporation,Green Dot Corporation,1940
http://dbpedia.org/resource/PHH_Corporation,PHH Corporation,1937
http://dbpedia.org/resource/NMB_Bank_Nepal,NMB Bank Nepal,2017
http://dbpedia.org/resource/National_Bulk_Handling_Corporation,National Bulk Handling Corporation,2040
http://dbpedia.org/resource/KBL_European_Private_Bankers,KBL European Private Bankers,1969
http://dbpedia.org/resource/Shearson,Shearson,1943
http://dbpedia.org/resource/Harbortouch,Harbortouch,2009
http://dbpedia.org/resource/Colonial_National_Bank,Colonial National Bank,1909
http://dbpedia.org/resource/Tinker_Federal_Credit_Union,Tinker Federal Credit Union,1892
http://dbpedia.org/resource/Farmington_Bank,Farmington Bank,1838
http://dbpedia.org/resource/Trade_Bank_of_Iraq,Trade Bank of Iraq,1990
http://dbpedia.org/resource/Bank_Nederlandse_Gemeenten,Bank Nederlandse Gemeenten,1899
http://dbpedia.org/resource/Broadway_Federal_Bank,Broadway Federal Bank,1855
http://dbpedia.org/resource/Flagstar_Bank,Flagstar Bank,1913
http://dbpedia.org/resource/Sanlam,Sanlam,1874
http://dbpedia.org/resource/KCB_Bank_Rwanda_Limited,KCB Bank Rwanda Limited,1947
http://dbpedia.org/resource/Sagent_Advisors,Sagent Advisors,2019
