http://dbpedia.org/ontology/Station,http://dbpedia.org/ontology/areaTotal
Jogindarnagar,350000000.0
Taiamã Ecological Station,115550000.0
Estação Ecológica de Taiamã,115550000.0
Gwaldam,1252600.0
Juami-Japurá Ecological Station,8315240000.0
"Evansville, Indiana",115570000.0
Evansville (Indiana),115570000.0
Evansville (Indiana),115565000.0
Jari Ecological Station,2271260000.0
Kalimpong,1056500000.0
Estación ecológica Río Acre,775000000.0
Evansville (Indiana),115565000.0
Kurseong,5050000.0
埃文斯維爾 (印第安納州),115570000.0
Uruçui-Una Ecological Station,1351200000.0
