http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/areaTotal
ボイオーティア,3211000000.0
Atenas Meridional,69400000.0
Imathia,1701000000.0
أركاديا,4419000000.0
Arcadia,4419000000.0
Maiao,8800000.0
Lemnos (unidade regional),520900000.0
Unidad periférica de Ródope,2543000000.0
Parc national et réserve de parc national de Kluane,22013000000.0
Pompeys Pillar National Monument,206390.0
Jednostka regionalna Ikaria,300600000.0
Ilia (departement),2618000000.0
Atenas Ocidental,66700000.0
Иматия,1701000000.0
Jednostka regionalna Karpatos,374300000.0
Pella (departement),2506000000.0
Ioannina (district régional),4990000000.0
Leucade (unità periferica),359000000.0
Янина (ном),4990000000.0
科林西亞州,2290000000.0
諸島県,897600000.0
Ceos-Cítnos (unidade regional),247400000.0
Cárpatos (unidade regional),374300000.0
干尼亞州,2376000000.0
Trikala (Regionalbezirk),3383480000.0
Jednostka regionalna Kawala,1728000000.0
Milos (regional unit),362500000.0
コリンティア県,2290000000.0
Jednostka regionalna Chania,2376000000.0
Фокида,2120000000.0
Thira (regional unit),314800000.0
Thesprotia,1515000000.0
Atenas Occidental,66700000.0
Arta (unità periferica),1662000000.0
Unidad periférica de El Pireo,50400000.0
維奧蒂亞州,3211000000.0
Rhodes (regional unit),1587200000.0
Jednostka regionalna Arta,1662000000.0
Maiao,8800000.0
Naxos (district régional),622100000.0
Corinzia (unità periferica),2290000000.0
Attique de l'Ouest,1058820000.0
Milos (unidade regional),362500000.0
キルキス県,2519000000.0
Kilkis (regionale eenheid),2519000000.0
Perry Lake (Kansas),45106300.0
Kalymnos (regional unit),399700000.0
Ftiótide,4440000000.0
Drama (unidade regional),3468000000.0
Lake Allatoona,48602700.0
Thessaloniki (regional unit),3683000000.0
Chimney Rock National Historic Site,335889.0
Parque e Reserva Nacional Kluane,22013000000.0
Atenas Central,87400000.0
Эвритания,1868000000.0
Ioannina (departement),4990000000.0
Imathia,1701000000.0
Giannina (unità periferica),4990000000.0
ロドス県,1587200000.0
Retimno (unità periferica),1496000000.0
Nomos Eurytania,1868000000.0
Argolide (unità periferica),2154000000.0
Elis (regional unit),2618000000.0
Preveza (Regionalbezirk),1036000000.0
Chimney Rock,335889.0
Etólia-Acarnânia,5461000000.0
Atenas Septentrional,140700000.0
Preveza (unidade regional),1036000000.0
Etoloakarnania,5461000000.0
Larissa (regional unit),5381000000.0
Arkadia (kraina historyczna),4419000000.0
Drama (Regionalbezirk),3468000000.0
Jednostka regionalna Kiea-Kitnos,247400000.0
Ática Oriental,1513000000.0
Îles (district régional),897600000.0
Drama (departement),3468000000.0
Chimney Rock National Historic Site,335889.0
South Athens (regional unit),69400000.0
Jednostka regionalna Pieria,1516000000.0
イカリア県,300600000.0
Pompeys Pillar National Monument,206390.0
カルパトス県,374300000.0
Maiao,8800000.0
