http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/populationTotal
List of islands of the Faroe Islands,48451
Ilha Rogozen,0
Araara Island,0
Cayo Luis Peña,0
Ha'apai,6616
Mejit Island,300
La Graciosa,681
Ilha de Vassiliev,203058
Mosqueiro,27000
Остров Губернатора,500000
Urup (wyspa),0
パキン環礁,90
ブラチ島,13956
Anticosti Island,240
Kyushu,13231995
キングジョージ島,500
Nanumea-Atoll,544
Dia (wyspa),2
Spinalonga,0
Боа-Вишта (остров),8554
Yonaguni,1684
特瓜島,58
Ustica,1330
Wiencke Island,0
Pentecost Island,16843
ティエラ・デル・フエゴ,135000
Čiovo,5908
Линдисфарн,180
Rennell,1500
ラモトレック環礁,373
Saline Island,0
馬祖列島,12506
Ilhéu das Cabras,0
Rapa (île),515
Herschel Island,0
Ilhas Whitsunday,1570
Nukumanu,730
Мосо,237
Лошинь,9587
Tinian,3136
Сокорро (остров),45
Нанумеа,544
British Columbia Coast,4761
Ilhas Borromeu,208
Îles Ashmore-et-Cartier,0
Huahine,6303
Sulawesi,18455058
Denis Island,80
Isola di Fraser,194
Inisheer,249
Kangaroo Island,4417
Arutua (atoll),680
Cuttyhunk Island,52
Carriacou,8000
Anchor Island,0
Olib,140
Koiluoto,0
Caja de Muertos,0
Isla de Hawái,185079
Lyø,140
Ujelang,0
Réserve écologique des Gannet Islands,0
Grand Turk,3720
Зильт,21000
Prvić (Šibenik),403
Sicilia,5077487
Islas Daitō,2107
Lesbos,86436
Yonaguni,1684
Pampus,2
ムハッラク島,200000
Lanzarote,142132
Bengtskär,1
Tarout Island,77757
Галвестон (остров),48726
北海道,5381711
Isla de Santa Isabel,26158
Sardinien,1656003
Île de Marajó,250000
Dokos,18
Ushi Island,0
Île Sabine,0
Políegos,0
Matsu Islands,12506
Rennell,1500
Móchlos,0
Wyspy Nawietrzne,476425
Niihau,130
Grand Manan (village),2460
Archipel des Comores,984500
Cornwallis Island (Nunavut),229
圣安唐岛,44104
Ventotene,708
Lesbo,86436
Sipora,17557
Bare Island (Nieuw-Zeeland),0
Lombok,3311044
南安達曼島,209602
蘇門答臘,50000000
Carriacou,8000
جزيرة فيكتوريا (كندا),1875
Geography of Mayotte,186452
Baltrum,505
Skorpios,5
Аукена,40
Flores (Indonesien),1831000
Île Clarence (Îles Shetland du Sud),0
Inishmurray,0
Polyegos,0
Солентинаме,1000
Kotlin (wyspa),43005
Hisingen,130000
Great Barrier Island,939
Sylt,21000
サムセー島,3806
Saba (Insel),1991
Giannutri,27
Puka-Puka,166
Isola di Banks,136
Madeira,289000
Tiengemeten,10
竹富島,323
科苏梅尔岛,100000
Drakonera,0
Большой Никобар,8067
Ушишир,0
جزيرة بمبا,406808
Tepoto Nord,61
Isola Mocha,800
Plavnik,0
Kyūshū,13231995
جزيرة أديلايد,100
Île-de-Bréhat,400
Casa Conejo,3249
金華山 (宮城県),6
Isla María,2
Aukena,40
Neuirland,118350
Trinity-Insel,0
Крапань,237
Porto Santo (eiland),5483
Wyspy Morza Koralowego,4
شبه الجزيرة الإيبيرية,53000000
エファテ島,65829
Терсди,2610
ニアス島,788132
卡加多斯-卡拉若斯群岛,63
Ruhnu,97
Хвар,11103
斯波拉泽斯群岛,13798
Røvær,94
Giaros,0
Nakanoshima,167
Ilha Baranof,8532
Fugloy,44
Saipan,48220
Канарские острова,2117519
Makrónisos,0
إيزو أوشيما,8179
Гуадалупе (остров),213
Tairajima,79
Islas Diómedes,0
Schiza,0
ロード・ハウ島,360
Сиеста-Ки (Флорида),6565
Ashmore- en Cartiereilanden,0
Vrgada,249
Samosir,95238
Norderney,5866
Prasonisi (Lefki),0
Naxos (isla),18904
圣文森特岛,100000
Arnaouti,0
Wallis (île),10731
Gaua,2491
Isla Alejandro I,0
Идзуосима,8179
Kvitøya,0
Bora Bora,8880
Plavnik,0
Isole dell'arcipelago delle Fær Øer,48451
Swains Island,17
Haʻapai,6616
御藏島,351
施皮克罗格,825
Anuta,300
Thasos,13770
Broughton Island (Neuseeland),0
Kish (isla),22650
Arquipélago Ártico Canadiano,14000
Mangareva,1239
Leyte,2388518
Hoëdic,117
錫爾群島 (南設得蘭群島),0
Нукуману,730
El Hierro,10162
Luizjady,47000
Lihir,18000
Île des Soeurs,18315
Omey Island,1
Ireland's Eye,0
Saipan,48220
Marettimo,300
Île d'Yeu,5001
蒙巴薩島,146334
Curieuse,7
Анаа,497
Rolas,200
Peng Chau,5000
メジット島,300
Flaherty Island,812
Rimatara,873
Baltrum,505
Hawaii (Insel),185079
Ripapa Island,0
Guadalcanal,109382
Filfla,0
Ko Samui,62500
Roosevelt Island,11661
Pag (eiland),9059
Ilha de Ascensão,880
Rolla (Troms),1078
薩爾島,35000
Ajon (eiland),440
Hestur,25
アンホルト島,145
Isla de Lobos,0
Isla del Giglio,1447
Jemo Island,0
馬卡泰阿島,68
Muskö,261
Ilha Mansel,0
Sveti Grgur,0
Manihiki,500
Formentera,10757
Hopen (Svalbard),4
Île de Batz,574
Fatu Hiva,587
جزيرة فوكلاند الشرقية,2197
瓦什島,15000
Bjarnarey,3
