http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/areaLand
萊克斯維克,380755546
喬治亞州,160408768625
Евнакер,207460618
Montana,395658196918
Stafford County (Kansas),1992127446
Квитесэйд,578974270
Hrabstwo Finney,3662549389
Ringsaker,1071711091
バッファロー郡 (サウスダコタ州),1381135235
Flakstad,179046532
Vestre Toten,215149051
Hrabstwo Amite,1708925554
エドワーズ郡 (カンザス州),1543226570
"Лайон (округ, Кентукки)",553279875
Gjerstad,309221910
Flekkefjord,513889676
Namsos,766913653
"Baraga County, Michigan",2498788929
Маннар (округ),1820670729
Hrabstwo Boundary,3328070622
Gamvik (gemeente),1362004263
Hrabstwo Geary,977039716
Hrabstwo Buchanan (Missouri),965782789
Contea di Bowman,2947498161
ベントン郡 (アーカンソー州),2221349012
Hemsedal (gemeente),618544093
Balestrand,381438602
Vadsø,1300038270
مقاطعة بالدوين (ألاباما),4067170600
Condado de Sheridan (Kansas),2376215445
Ерстад,294281166
Fusa,379087768
Skodje,119012094
Condado de Bexar,3293096576
Hrabstwo Bay (Floryda),2202814057
Condado de Anderson (Texas),2792029035
アダムズ郡 (ペンシルベニア州),1222909842
"Bø, Telemark",241238664
Selbu,1201309766
Согндал,803543146
Boone County (Arkansas),1656259486
Hrabstwo Travis,2753357295
德拉门,115843589
Lund (Norwegen),359776412
"Atlantic County, New Jersey",1636350718
布尤納維斯塔縣,1508078304
Crawford County (Kansas),1397156197
レーロース,1723480992
Kvænangen,1971590174
Condado de Haskell (Kansas),1417663916
Contea di Baker (Florida),1699468291
Condado de Bowie,2009031432
Comté d'Amelia,919530989
比爾縣 (德克薩斯州),2899449547
Condado de Butler (Missouri),1838696290
Contea di Morris (Kansas),1825044615
Aure,590181881
Breckinridge County,1420822498
Aurland,1281214148
Benson County,3457345171
Lesja,2113811743
Фитьяр,134568128
"De Baca County, New Mexico",5692122722
カラショーク,4834275727
Eidsvoll,353759351
Comté de Bond,1015284615
布洛克县 (亚拉巴马州),1568222672
Comté d'Atoka,2319764446
Oklahoma,172884583814
Lurøy,274163008
"Anderson County, Kentucky",530623578
Nordkapp,957337759
Steigen,981296908
Condado de St. Clair (Alabama),1607209230
Hrabstwo Amelia,889998082
ポタワトミー郡 (カンザス州),2136366760
Hrabstwo Rawlins,2803277574
Kristiansund,81691314
ブキャナン郡 (ミズーリ州),1110560061
Comté de Benton (Washington),4994288832
"Benton County, Tennessee",972751596
"Адамс (округ, Айова)",978309869
阿勒根縣,2258675340
Hrabstwo Burleson,1763636435
Tana (Finnmark),3317066149
奧德班縣 (愛阿華州),1128220945
Contea di Berrien (Georgia),1216129402
Colombo (district),663143023
Bibb County (Alabama),1517471490
Contea di Smith (Kansas),2342951797
Malvik,171808570
Vågsøy,160253447
Nordre Land,954725247
"Донифан (округ, Канзас)",1024964949
Ohio,102485775834
Vågå,1217269532
馬瑟于,1028219946
"Команчи (округ, Канзас)",2149418192
مقاطعة بتلر (ألاباما),2232014760
摩麗絲區,33661403743
Østre Toten,510000377
Gol (Norvegia),496478544
Hægebostad,378098120
Hjartdal,693620298
アウドレイン郡,1832380133
阿格德內斯,291927826
"Стаффорд (округ, Канзас)",2237698805
賓厄姆縣 (愛達荷州),5872688453
Mauricie,32046104328
Moss (Norvège),59709221
Alger County,2275227613
Lødingen,547965845
Hrabstwo Wilson (Kansas),1491243446
Condado de Anderson (Kansas),1597376267
Rollag,395288684
カータレット郡 (ノースカロライナ州),1326380716
Delaware,5605676192
Namsos,772176460
Ibestad,215106921
مقاطعة فرانكلين (تينيسي),1460036338
Hof (Norvège),151213098
Contea di Montgomery (Kansas),1785674055
Bergen County,670091500
Маркер (Норвегия),395381856
Dovre,1468039686
Skedsmo,71029664
孫達爾,1666613209
Hrabstwo Addison,1868730229
Kvæfjord (Kommune),497354425
Atlantic County,1516419033
Condado de Brantley,1170589011
Frøya (Sør-Trøndelag),206369559
ساربسبورغ,373979309
Meland,92202271
Georgia (staat),165596853089
Tana (Norvegia),4307811562
Lanaudière,11387312286
布拉福縣 (佛羅里達州),683297445
內瑟比,1467211239
Condado de Boundary,3419091350
Karasjok,4803979382
Løten,408208200
Capitale-Nationale,17744500039
Outaouais,31092922765
سنيلفيورد,480395403
Contea di Angelina,2067833199
Brunswick County (Virginia),1542388943
Agdenes,288670969
Condado de Seward (Kansas),1554884336
Condado de Bergen,567412881
Karasjok (gemeente),4756211374
Distrito de Trincomalee,2600453502
Аскволл,313311508
Hemnes,1317270497
阿斯克沃爾,341252018
博根縣,631472941
Contea di Rooks,2332676508
"Clark County, Kansas",2382900230
エルバート郡 (コロラド州),4816405979
ブルック郡 (ウェストバージニア州),228973003
Condado de Berrien (Geórgia),1070131330
Vågå,1187821325
Vennesla,386734640
特里戈县 (堪萨斯州),2086359220
Nesset,1014396274
Frosta,69115060
Hrabstwo Seward (Kansas),1775191673
ستراند (النرويج),199680820
Condado de Douglas (Kansas),1199316691
بيوغن,357967998
Nordreisa,3266588165
New Jersey,17948033733
Ballard County,624121539
Condado de Benton (Misisipi),1039830882
Hrabstwo Wabaunsee,2254447339
Hrabstwo Butler (Missouri),1792315464
مقاطعة سيلاين (كانساس),1880875249
Verdal,1459866116
Hrabstwo Surry (Karolina Północna),1212331147
Missouri,176885108072
Båtsfjord (gemeente),1425400053
Comté de Bourbon (Kansas),1662564238
Vang,1410755060
Eide,159369153
アラチュア郡 (フロリダ州),2020289541
Condado de Barry (Míchigan),1402130768
Condado de Butler (Kansas),3917172978
Contea di Benton (Tennessee),1046604133
羅拉格,385920260
Meade County (Kansas),2449693557
Торскен,230580923
馬斯菲尤恩,529146410
クラウド郡 (カンザス州),2006465699
Hammerfest,926159862
Tromsø,2284995977
Løten,341712213
Аремарк,246954839
Odda,1301652030
Condado de Amelia,1014025625
バーゲン郡 (ニュージャージー州),600280109
Condado de Brunswick (Carolina do Norte),2072728886
Skånland,511616275
Contea di Butler (Kentucky),1156558862
セル＝ヴァランゲル,3625077627
Værøy,17112971
Comté de Leavenworth,1254012700
Haram (Norwegen),260949339
Hjartdal,787447395
مقاطعة ديكاتور (كانساس),2223668709
لورينسكوغ,62057175
مقاطعة ستافورد (كانساس),2212655138
菲利普斯縣 (堪薩斯州),2028592064
