http://dbpedia.org/ontology/Station,http://dbpedia.org/ontology/areaTotal
Jogindarnagar,337731131
Taiamã Ecological Station,108792119
Estação Ecológica de Taiamã,106664850
Gwaldam,1151421
Juami-Japurá Ecological Station,8893579989
"Evansville, Indiana",106385902
Evansville (Indiana),127509508
Evansville (Indiana),127940334
Jari Ecological Station,2186328056
Kalimpong,1140928496
Estación ecológica Río Acre,679044062
Evansville (Indiana),125127538
Kurseong,4665980
埃文斯維爾 (印第安納州),114672724
Uruçui-Una Ecological Station,1420115860
