http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/areaLand
Ørland,63572201
Decatur County (Kansas),2150027868
ベントン郡 (ミシシッピ州),960904481
Comté de Carteret,1382667758
مقاطعة أرتشوليتا (كولورادو),3208784009
Frosta,68066994
ガンパハ県,1206927745
Boyd County (Nebraska),1380749465
埃爾斯沃思縣 (堪薩斯州),1568296747
Hrabstwo Bacon,515414404
ヴァドソー,1440195278
Adams County (Indiana),899829259
Nebraska,231527753560
Beaver County (Oklahoma),4224891490
Ulstein,107638842
Condado de Bent,4321917351
Comté d'Arkansas,2831705781
"Сент-Клэр (округ, Алабама)",1473143787
ビーバー郡 (ユタ州),6169396818
西爾達爾,1587967655
"Baker County, Georgia",844572937
里訥斯訥斯,329750460
Etne,774512282
Condado de Bartow,1383367473
敘爾達爾,1655430004
Roan,376517879
ニュートン郡 (インディアナ州),1069386930
Alta (Finnmark),3255413935
"Bee County, Texas",2451795720
ウォレス郡 (カンザス州),2480206015
Siljan,223710383
Малвик,143916581
Smøla,231768413
Kvinnherad,984162391
Condado de Boyd (Kentucky),452046954
Cowley County,3370973049
Elbert County (Colorado),4288759954
"Каули (округ, Канзас)",3518682522
Hrabstwo Nassau (Nowy Jork),688227510
"Хеттингер (округ, Северная Дакота)",3009970483
Værøy,19416118
プレイサー郡 (カリフォルニア州),3222418975
Bokn,46300766
"Бейфилд (округ, Висконсин)",4373133508
Kvam,564852745
Drammen,143317345
Tysvær,369335655
Hrabstwo Adams (Idaho),3889859822
バークレー郡 (ウェストバージニア州),770322639
ウタウエ地域,26631851708
Leikanger,174503616
アシュランド郡 (オハイオ州),1234915964
Condado de Berkshire,2987765062
Phillips County (Kansas),2171848655
Narvik,1520991806
Vefsn,1921689837
Volda,619228801
Contea di Montgomery (Kansas),1933261893
Alta (Finnmark),3532516275
Condado de Jewell,2003085781
Довре (коммуна),1506929835
Condado de Marion (Kansas),2649944848
ブリストル郡 (ロードアイランド州),49486845
Муллайтиву (округ),2907020883
Hattfjelldal,2111698788
Skjåk,1939505314
Brantley County,979802202
松 (挪威),92809596
Hrabstwo Bell (Kentucky),1029959406
Contea di Blue Earth,1983578349
阿拉斯加州,1612970695503
Hrabstwo Blaine (Nebraska),2129655355
"Yolo County, California",2112456238
"Marion County, Kansas",2082275671
弗萊克菲尤爾,599902864
Hrabstwo Scott (Indiana),473956766
Нес (Бускеруд),745912922
Contea di Billings,2990536226
Sande (Norwegia),76555493
Hrabstwo Blackford,404601171
"Ассампшен (приход, Луизиана)",769880433
錫利揚,234993886
ベネワ郡 (アイダホ州),1930637347
Ballangen,932002214
Bodø,1402160614
Rana (Norvegia),4367656661
Contea di Nemaha (Kansas),1817061326
Condado de Volusia,2888533010
"Grant County, Kansas",1455160242
Berkeley County (West Virginia),856432780
Ulstein,90790205
Ullensaker,234745573
"Эймит (округ, Миссисипи)",1790774893
Comté de Franklin (Kansas),1702016492
Idaho,216047138961
Comté de Greeley (Kansas),2330445342
"Allamakee County, Iowa",1809708785
Condado de Albany (Wyoming),10812814835
Time (Noorwegen),178805350
مقاطعة ألامانس (كارولاينا الشمالية),1328294096
Contea di Albany (Wyoming),13539421399
Condado de Amite,1831753710
Contea di Ottawa (Kansas),1937021599
凱厄瓦縣 (堪薩斯州),1748244901
Blair County,1335171836
Condado de Bosque,2254846331
Øystre Slidre,713531203
明尼蘇達州,213600778125
アンダーソン郡 (サウスカロライナ州),1768649688
Эйд (Норвегия),470001362
مقاطعة سميث (كانساس),2284822394
Askim (Norvège),62065979
Minnesota,208304209827
Fusa (Norvegia),336827907
Kragerø (gemeente),325291874
Comté de Bond,1034857063
Condado de Carteret,1179685535
"Кейн (округ, Иллинойс)",1237920730
Sokndal,263176198
Albany County (Wyoming),11775461516
Tranøy,545488285
Nesseby,1464099362
Condado de Armstrong (Pensilvania),1379584198
Høyanger,995070079
Condado de Caroline (Maryland),729996616
Намсскуган,1382637557
北奧達爾,439812763
Condado de Adams (Idaho),3638566638
埃茲庫格,593837944
Nesset,988953151
Hrabstwo Kern,19124283667
"Берген (округ, Нью-Джерси)",716422609
Condado de Allegany (Nova Iorque),2242619016
Sør-Fron,649711015
Hrabstwo Pratt,1717129520
Contea di Angelina,1929341550
Bø i Vesterålen,261039999
