http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/numberOfStudents
The Green School,1025
Africa University,1299
Walter Sisulu-universiteit,19855
Annandale High School,2350
Libera Università degli Studi Per l’Innovazione e le Organizzazioni,2214
Central Maine Community College,2344
West Greene School District,856
清泉インターナショナルスクール,670
Litherland High School,864
Shanghai University of International Business and Economics,11364
Universiteit van Malta,11612
"SMK St. Francis Convent (M), Kota Kinabalu",821
Saugus High School (California),2233
Université de Karachi,119049
IE ビジネススクール,1726
Alpena High School (Arkansas),242
College Zarządzania - Studia Akademickie,13278
École des Hautes Études en Sciences Sociales,3456
Universidad de St. Francis,3177
Azerbaijan Medical University,7836
川北医学院,10015
Augustana-Hochschule Neuendettelsau,192
旁遮普大学,41013
جامعة دركسل,24576
Sint-Maartenscollege (Maastricht),1320
Cambria Heights School District,1440
Skaneateles High School,658
Harvard Business School,1890
Cardinal Newman Catholic School and Community College,1045
Georgia Institute of Technology,26729
Präfekturuniversität Hyōgo,5463
Kings Manor Community College,1146
"University of Applied Sciences, Mainz",5765
Narodowy Uniwersytet Uzbekistanu,9317
High School of Fashion Industries,1833
EM Lyon,3199
"Mount Vernon High School (Fortville, Indiana)",1405
University of Malta,11208
Walnut High School,2605
Université Petre Andrei,2527
North Miami High School,2606
Union High School (Oregon),191
Mitchell County High School,456
Universidad Estatal de Arizona,50611
克兰纳特管理学院,3042
College of DuPage,25724
Northeast Metropolitan Regional Vocational High School,1206
Universiteit van Lund,36570
Escuela Preparatoria Sterling (Houston),1100
المدرسة الأمريكية الدولية في أبو ظبي,1502
Abbots Bromley School,162
Uniwersytet Komeńskiego w Bratysławie,29360
South Essex College,9022
Ohio State University,63659
Universidad Purdue,47176
Fort Collins High School,1488
Université d'Évry-Val-d'Essonne,12086
カウナス工科大学,8963
Universidad Federal de Santa María,23819
Blackhawk School District,2336
University Centre in Svalbard,446
Czech Technical University in Prague,23220
Windesheim (onderwijsinstelling),26785
Le Cordon Bleu,20765
Бернский университет,18044
Gadsden City High School,1741
Cabrini High School (Michigan),363
Universidad de Lyon I - Claude Bernard,29330
Waipahu High School,2145
Towers Convent School,317
Tuen Mun Government Secondary School,1115
Шаттак Сент-Мари,514
Xavier School,3925
Universidad de Bulacán,30694
Libera Università Maria Ss. Assunta,9
"Lawrence School (Sagamore Hills, Ohio)",352
Buckeye Local School District (Jefferson County),2013
Instituto Real de Tecnologia,14528
