http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/ontology/squadNumber
Vipers SC,2
Union Royale La Louvière Centre,11
Tipografía Nacional,17
2002–03 Manchester City F.C. season,1
2003–04 Manchester City F.C. season,24
HSG Wetzlar,28
Manchester City Football Club 2004-2005,11
Tipografía Nacional,17
Resovia Rzeszów,13
HSG Wetzlar,17
Handballspielgemeinschaft Wetzlar Handball,25
Vipers SC,5
HSG Wetzlar,1
Vipers SC,8
Manchester City Football Club 2004-2005,23
2013–14 Maccabi Tel Aviv F.C. season,18
Banaadir Telecom FC,28
2003–04 Manchester City F.C. season,12
Tipografía Nacional,3
Benadir SC,4
Hóquei Clube de Braga,4
Toledo BM,12
Hóquei Clube de Braga,7
Shandong Province Youth Football Team,32
Hóquei Clube de Braga,1
Manchester City Football Club 2004-2005,19
Los Angeles Skyhawks,15
Benadir SC,14
2013–14 Maccabi Tel Aviv F.C. season,6
Fortuna Ålesund,6
Meelin GAA,4
2014–15 Viborg FF season,22
HSG Wetzlar,46
Tenaga Nasional Berhad HC,4
2013–14 Maccabi Tel Aviv F.C. season,12
Shandong Province Youth Football Team,26
Vipers Sports Club,20
2004–05 Manchester City F.C. season,12
HSG Wetzlar,25
HSG Wetzlar,23
Vipers SC,5
HSG Wetzlar,21
HSG Wetzlar,45
Toledo BM,5
2015–16 KS Cracovia (football) season,55
HSG Wetzlar,44
Banaadir Telecom FC,26
HSG Wetzlar,3
Fortuna Ålesund,5
CWKS Resovia,2
Los Angeles Skyhawks,1
2002–03 Manchester City F.C. season,21
Manchester City Football Club 2002-2003,19
2002–03 Manchester City F.C. season,40
UR La Louvière Centre,27
Sport Bissau e Benfica,22
Sport Bissau e Benfica,14
Sport Bissau e Benfica,30
Hóquei Clube de Braga,6
HSG Wetzlar,22
Banaadir Sports Club,20
Banaadir Telecom FC,5
Vipers SC,17
2002–03 Manchester City F.C. season,27
HSG Wetzlar,16
HSG Wetzlar,3
Vipers Sports Club,3
Sport Bissau e Benfica,18
UR La Louvière Centre,11
CWKS Resovia,8
Shandong Province Youth Football Team,13
Hóquei Clube de Braga,1
Manchester City Football Club 2004-2005,33
HBL FC,8
CWKS Resovia,8
Sport Bissau e Benfica,4
Toledo Balonmano,27
HSG Wetzlar,28
Meelin GAA,10
HSG Wetzlar,6
2004–05 Manchester City F.C. season,43
Tenaga Nasional Berhad HC,6
Manchester City Football Club 2004-2005,30
Shandong Province Youth Football Team,39
Manchester City Football Club 2003-2004,19
UR La Louvière Centre,87
Toledo Balonmano,5
2002–03 Manchester City F.C. season,8
Tipografía Nacional,24
Manchester City Football Club 2002-2003,7
Vipers SC,8
Manchester City Football Club 2004-2005,38
Habib Bank Limited Football Club,7
Manama Club,10
CWKS Resovia,9
نادي المنامة,10
Sport Bissau e Benfica,2
Manchester City Football Club 2003-2004,18
Sport Bissau e Benfica,12
Tipografía Nacional,17
HSG Wetzlar,25
UR La Louvière Centre,17
Fortuna Ålesund,3
Meelin GAA,10
Hóquei Clube de Braga,2
CWKS Resovia,20
2002–03 Manchester City F.C. season,27
FK Bratstvo Cijevna,6
Banaadir Sports Club,2
Tipografía Nacional,21
Manchester City Football Club 2003-2004,11
HSG Wetzlar,31
Los Angeles Skyhawks,10
CWKS Resovia,17
Benadir SC,5
FK Cetinje,23
Banadir Sports Club,27
Toledo BM,42
Resovia Rzeszów,16
Meelin GAA,13
Chhlam Samuth,1
Habib Bank Limited Football Club,4
Toledo Balonmano,10
Manchester City Football Club 2003-2004,14
UR La Louvière Centre,12
Meelin GAA,28
Toledo Balonmano,6
Sport Bissau e Benfica,7
山东省男子队 (2011年),18
HBL FC,7
山东省男子队 (2011年),27
Tacoma Tides,17
2002–03 Manchester City F.C. season,3
Tipografía Nacional,22
FK Bratstvo Cijevna,5
Benfica de Bissau,6
HSG Wetzlar,12
Tipografía Nacional,12
Benfica de Bissau,2
Union Royale La Louvière Centre,5
Tipografía Nacional,2
2004–05 Manchester City F.C. season,17
Manchester City Football Club 2002-2003,29
CWKS Resovia,23
Tipografía Nacional,19
Toledo BM,21
Vipers SC,21
Vipers SC,26
Vipers Sports Club,28
Sport Bissau e Benfica,13
HSG Wetzlar,5
Sport Bissau e Benfica,5
2002–03 Manchester City F.C. season,47
Meelin GAA,15
FK Bratstvo Cijevna,10
F.C. Cape Town,6
Banadir Sports Club,19
Chhlam Samuth,5
Tacoma Tides,4
Tipografía Nacional,13
Hóquei Clube de Braga,8
FK Cetinje,8
Vipers SC,25
F.C. Cape Town,7
Manchester City Football Club 2002-2003,6
2003–04 Manchester City F.C. season,19
Manchester City Football Club 2002-2003,45
Shandong Province Youth Football Team,25
Vipers SC,27
HBL F.C.,4
山东省男子队 (2011年),29
Banaadir Telecom FC,7
Tipografía Nacional,21
HSG Wetzlar,24
Tenaga Nasional Berhad HC,5
Tenaga Nasional Berhad HC,9
Tipografía Nacional,12
Manchester City Football Club 2002-2003,20
Toledo BM,1
FK Cetinje,12
Sport Bissau e Benfica,11
UR La Louvière Centre,1
2013–14 Maccabi Tel Aviv F.C. season,32
2015–16 KS Cracovia (football) season,3
Tipografía Nacional,6
Tipografía Nacional,15
Tipografía Nacional,8
HSG Wetzlar,8
Benfica de Bissau,9
