http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/ontology/numberOfEpisodes
Safe House (serie de televisión),8
A Chip Off the Old Block,21
Duel (UK game show),12
マペット放送局,21
G.I. Joe: Renegaci,26
Machos,161
Batman (serial animowany 1992),87
Red Alert (game show),14
Братья Доннелли,13
"The Good, the Bad and the Ugly (1979 TV series)",84
Por tu amor,86
Crossbones (série télévisée),9
Two Pints of Lager and a Packet of Crisps,82
Karkú,78
Leo Little's Big Show,14
Partners (1995 TV series),22
Chuck (TV series),91
Банши (телесериал),38
Codice rosso (serie televisiva),12
The Renegades,6
Fridays (TV series),57
فريق البطل: 108,108
Générations (série télévisée),482
"Слава Богу, ты пришёл!",43
Fargo (série télévisée),21
Terminal City (TV series),10
A Favorita,192
Vicini terribili,39
Get Blake!,53
Non smettere di sognare (serie televisiva),8
Alcock and Gander,6
Confessions of a Teen Idol,8
Die Gebrauchtwagen-Profis: Neuer Glanz für alte Kisten,13
Bored to Death,23
El Universo (serie de televisión),87
The RuPaul Show,97
Merhamet,44
Batman: The Brave and the Bold,67
Jonny Quest (TV series),27
Professione fantasma,11
Boo! (TV series),106
The New Woody Woodpecker Show,152
Rio Del Mar (1999 TV series),568
I'm in the Band,40
Revolving Doors of Vengeance,30
ستارغيت يونيفرس (مسلسل),39
"Dude, What Would Happen",36
ワンダーウーマン (テレビドラマ),59
¡Vivan los niños!,151
Mexico's Next Top Model,54
Total Wipeout,55
Ashes to Ashes – Zurück in die 80er,25
The Partners (TV series),21
DIY SOS,212
Paris Hilton's My New BFF (seizoen 2),10
Wallace and Gromit,2
Nowe przygody starej Christine,85
Countdown to the Crown,4
Bracia i siostry,104
RocKwiz,174
The Lineup (serie televisiva),188
Most Evil,39
Cramp Twins,53
Conan the Adventurer (animated series),62
"Billy the Cat, dans la peau d'un chat",52
Empire (serie televisiva 2015),34
Lovers in Paris (2009),55
12/24 Karol Bagh,254
Суперкрошки,80
柯瑞當家,35
Barry Welsh is Coming,58
Love or Bread,12
La storia dell'universo,90
Heartbeat (2016 TV series),10
الحب التائه (مسلسل),144
IShine KNECT,36
Miami Medical,13
Mara Clara,1214
Play Your Cards Right,254
MasterChef (UK TV series),206
48 ore (serie televisiva),12
Dragnet,731
Homewrecker,8
Steps (TV series),21
The New WKRP in Cincinnati,47
The Zimmer Twins,103
火舞黃沙,31
Family Dog (TV series),10
Silk Stalkings,178
The Stranger (Australian TV series),12
Les Belles Histoires des pays d'en haut,502
Space Ghost Coast to Coast,2
Family Matters (Singaporean TV series),21
Murder One (TV series),40
The Courtship of Eddie's Father,76
Lost (reality show),6
I Wanna Be A Model (season 1),13
爱在哈佛,16
Mesa para tres,123
Бундесвидение,11
Class Act (Irish TV series),12
Fly with Me (TV series),24
The Red Riding Trilogy,3
Soy tu dueña,149
Dark Shadows (serial telewizyjny 1966),1259
Polizeibericht (Fernsehserie),725
Falcón (TV series),4
The Brady Bunch,10
Duch Filharmonii,13
The Storyteller (Serie),4
Raffles (TV series),13
Gilmore Girls,150
奥特曼列传,104
"Cristina, l'Europa siamo noi",37
Hasta que la muerte nos separe,77
Victorinos,149
Buttafuori,8
Street Fighter: Assassin's Fist,1
銀河パトロールPJ,27
Sharky et Georges,52
Single Dad in Love,16
The Flaxton Boys,50
I Cesaroni,139
The A-Team,96
Huntik - Secrets & Seekers,51
Banshee (série télévisée),38
Boy Meets Girl (2009 TV series),4
Terapia d'urgenza,18
ハワイ5-0,271
معجب عجيب (برنامج تلفزيوني),1031
Rizzoli & Isles,109
Hollyoaks: In the City,20
Destroyed in Seconds,33
Powers (série télévisée),21
Kidnapped (série télévisée),13
Atashinchi no Danshi,11
Adam's Family Tree,20
Sanctuary (TV series),59
Sons of Tucson,13
The Simpsons,581
Spider-Man and His Amazing Friends,23
Chefs (TV series),6
Raging Planet,18
Mandrake (série télévisée),13
The Glee Project,22
The Ann Sothern Show,91
Otchłań namiętności,155
Emergency unit,31
Nurses,65
Powrót do życia,32
Goodyear Theatre,53
Juana Iris,167
Sonic el Erizo (serie de televisión),25
Whitechapel (Fernsehserie),18
Gates (TV series),5
10 أشياء أكرهها بشأنك (مسلسل),20
ダークエンジェル (テレビドラマ),41
Zone Stad,105
Великая (телесериал),12
The Black Donnellys,13
Bromance (serial telewizyjny),6
幻星神ジャスティライザー,50
Fast Lane Daily,1973
Die Gebrauchtwagen-Profis: Neuer Glanz für alte Kisten,174
宇宙刑事ギャバン,45
وفقا لجيم,181
G.I. Joe: Renegades,25
Das A-Team,95
Baby Jake,52
"Одиссея (телесериал, 1968)",4
Nitro Circus,22
Stranded (TV series),6
胭脂水粉,31
Not Only... But Also,25
Full Force Nature,12
Stargate Atlantis,97
Made (TV series),282
The Brady Bunch,121
For the Love of Ray J (season 1),12
千秋太后 (テレビドラマ),78
Pyaar Kii Ye Ek Kahaani,279
One to One (TV series),41
Wallace y Gromit,1
The Fresh Prince of Bel-Air,151
Richard Bacon's Beer & Pizza Club,19
The Experiment,5
Melrose Place,216
Nissene på låven,24
Level Up (serie de televisión),35
WWE Raw,1270
Час Икс (телепередача),16
Monster Allergy (TV series),54
Quinceañera (telenovela),95
The Courtship of Eddie's Father,70
Jumong (TV series),82
Good Wife,157
Zakochana złośnica (serial telewizyjny),21
Царство животных (телесериал),10
The Super Hero Squad Show,50
Lucy ed io,184
Jayce et les Conquérants de la Lumière,66
BrainSurge,118
"Sheridan, squadra omicidi",5
Piccolo grande Timmy,80
RuPaul’s Drag Race,114
The Kids in the Hall: Death Comes to Town,8
فارغو (مسلسل),21
Verbotene Liebe,4795
Moods of Man,8
This Is Alice,40
It's a Living (1980 TV series),123
The Naughty Kitchen with Chef Blythe Beck,8
Linda Green,20
Виртуозы,46
Space Ghost Coast to Coast,107
項羽と劉邦 King's War,84
Lista de episódios de Bakugan,51
Dopóki śmierć nas nie rozłączy,82
Happy Days (série),254
Amorcito corazón (telenovela),206
False Witness,2
لوسيفر (مسلسل),17
Past Life,7
Psychoville,14
Handyman Superstar Challenge,21
"Чингисхан (телесериал, 2004)",30
Tomie: Another Face,3
The Beast (série de televisão),13
Godzilla (animated series),25
Tomica Hero: Rescue Fire,53
Klutter!,8
ミーアキャットの世界,51
Knight Rider (1982 TV series),86
Duo d'enfer,18
Fight for Life (TV series),6
Bottle Boys,13
精武門 (電視劇),30
Mi pecado,110
بنات غيلمور,148
Bob aggiustatutto,309
赤と黒 (2010年のテレビドラマ),17
A Favorita,205
Better Call Saul,19
Murder Prevention,6
Rescue Robots,15
Шоу Донны Рид,272
Beast Wars,51
Animal Face-Off,12
Секрет острова Мако,66
Bromwell High,13
Geordie Shore,105
The Night Shift,36
E! News,7281
Larry the Lawnmower,197
Parks and Recreation,119
Les Maîtres des sortilèges : Les Terres du seigneur Dragon,27
黑騎士 (動畫),54
The Price Is Right (U.S. game show),8127
عهد (مسلسل),64
Lo zio d'America,12
أروع جواسيس,52
أمير بيل إير الحيوي (مسلسل),144
Brothers & Sisters (2006 TV series),109
Sono toki Heartwa Nusumareta,5
Pan Tau,32
Captain Z-RO,27
Angry Birds Stella (TV series),26
Code Black,20
The Family (2008 TV series),23
Vamp (telenovela),186
Звёздные врата: SG-1,209
Brotherly Love (1999 TV series),6
Justice Sung II,33
"Trauma (série télévisée, 2009)",18
Homefront (série télévisée),42
百變金剛 (影集),52
Wolf Lake,10
その時、ハートは盗まれた,5
Il mammo,65
According to Jim,176
Petticoat Junction,225
Interpol Investigates,12
Trollz,27
A Indomada,200
Capture (reality show),10
Buffy l'ammazzavampiri,148
Psych,126
老友狗狗 (電視劇),20
The Family (telessérie),12
Generations (South African TV series),160
MXC,78
Tere Mere Beach Mein,15
Flash Gordon (2007 TV series),20
Reign,64
Rookie Blue,72
Better with You,21
Шах и мат (телесериал),13
The Crocodile Hunter,63
Sharp 2,52
Thirtysomething,86
Seekers (TV series),2
寶家衛國,20
بافي قاتلة مصاصي الدماء,149
Non smettere di sognare (TV series),8
المواجهة الحيوانية,12
Era Wodnika (serial telewizyjny),27
Расследования авиакатастроф,145
Miami Medical,13
Blokken,4369
The Killing (série de televisão),43
谢天谢地你来啦,41
Mayday: catástrofes aéreas,133
Armas del futuro,29
ثنائي الأعماق,51
Quantum Leap,98
The Real World: Denver,27
Crime Busters x 2,19
一擲千金 (香港),51
Speed (TV series),6
超級製作人,144
Canada's Worst Handyman 3,8
タイムマシーンにお願い,101
Perro amor (telenovela estadounidense),134
Tales of Mystery,28
Junior MasterChef,66
The Plant (film),1
Muchacha de barrio,210
Episodi di Merlin (seconda stagione),13
Strawberry Shortcake,49
Clifford's Puppy Days,38
Clarence (serie animada),80
Muñeca Brava,264
新鲜王子妙事多,147
Go With Noakes,30
Total Wipeout,12
Intervisiesongfestival,5
Iron Chef,300
Storm of the Century,3
Empire (2015 TV series),33
不滅的李舜臣,100
The Winemakers,14
Hikari Sentai Maskman,49
مدرسة الامبراطور الجديدة,53
The True North,11
Jack of All Trades (TV series),23
Zaginiony ląd (serial 1991),25
Secrets and Lies,13
Mrs. Brown's Boys,29
"Ne daj se, Nina",52
McMillan y esposa,41
HeartBeat (1988 TV series),18
The Bellflower Bunnies,52
House of Venus Show,18
愛情合約,21
Fisica o chimica,80
Quinceañera,92
愛情合約〜Love Contract〜,20
Murder Prevention,6
Ponderosa,19
Nuovo Mondo Selvaggio,6
The Paper Chase (TV series),57
Guadalupe (telenovela),216
Świat według Ludwiczka,40
「法」妻,151
Sons of Tucson,13
Un tritone per amico,40
Kami no Shizuku (TV series),9
Viva Piñata (TV series),54
"Land of the Lost (série télévisée, 1974)",42
Char Khooneh,181
Main Teri Parchhain Hoon,226
"World War II Behind Closed Doors: Stalin, the Nazis and the West",6
ゆかいなブレディー家,10
Оружие будущего (телесериал),28
Stargate – Kommando SG-1,208
Impas (serial telewizyjny),18
Happy Valley (TV series),12
Affari a quattro ruote,163
廉政行動2007,5
Soldiers of Fortune (TV series),52
Física o Química,75
Who Wants to Be a Millionaire? (Philippine game show),227
Powracający,16
Mona der Vampir,63
Beauty Queen (TV series),76
Alvin y las ardillas (serie de televisión de 2015),51
リゾーリ&アイルズ ヒロインたちの捜査線,104
والاس وغروميت,6
Jerks of All Trades,1
Krod Mandoon i Gorejąca Klinga Ognia,6
Old Christine,88
Legenda Korry,51
The Sonny & Cher Comedy Hour,64
Qin Wang Li Shimin,42
El búho (miniserie),53
Electric Dreams: The World of Philip K. Dick,3
مئة خطبة وخطبة (مسلسل),15
Wallace & Gromit,2
Contra viento y marea,140
Emergency (Philippine TV program),661
Booker,21
La virgen de las siete calles,15
Napoleon and Love,9
Archie Bunker's Place,93
أصدقاء المدرسة,25
Ang Iibigin Ay Ikaw Pa Rin,97
Xiaolin Showdown,52
"Kobra, übernehmen Sie",166
Captain Star,13
Sanctuary (serie de televisión),8
Silver Spoons,121
Cidade Nua,39
Steptoe and Son,57
Orphan Black,38
大明帝国 朱元璋,44
The Secret Saturdays,35
Empire (miniserie televisiva),6
James May's Toy Stories,6
Sonic the Hedgehog (TV series),25
Mystery and Imagination,23
Ким Пять-с-Плюсом,91
C'mon Midffîld!,31
Ultraman Orb,24
Da Vinci's Demons,28
Into the Badlands (serie de televisión),6
"Machos (série télévisée, 2003)",167
Grandpa in My Pocket,53
Puchaty ogród,77
Once Upon a Time... Life,26
4th and Long,10
Come Dine with Me Australia,76
Martha Bla Bla,92
爆発!デューク,143
Zanzibar (TV series),41
AfterMASH,32
Gli incubi di Dario Argento,9
Farscape: The Peacekeeper Wars,2
Whale Wars,59
Brigade du crime,274
Skazany na śmierć,84
The Amazing Spiez!,52
Fortysomething,6
我要做廚神 澳洲版,87
La figlia di Elisa - Ritorno a Rivombrosa,16
The Secret Saturdays,37
Fist of Fury (TV series),31
Denshi Sentai Denziman,53
Accused (série télévisée),10
Deal or No Deal (Tunisia),16
Conflictos de un médico,20
Zheng He Xia Xiyang (TV series),61
The Adventures of Clint and Mac,15
The Price Is Right (U.S. game show),86
Samson en Gert,772
How'd You Get So Rich?,12
Nos vies secrètes,84
The Project (TV program),1793
Elite World Cops,7
Gino il pollo,26
Chuggington,167
Broń przyszłości,29
Victorious (série télévisée),55
ストリートファイター 暗殺拳,12
Yam Roll,39
Mako Mermaids - Vita da tritone,65
Bob le bricoleur,325
Dobranocny Ogród,104
Saddle Rash,1
The Loop (Australian TV series),243
Pinoy Bingo Night,61
超级无敌掌门狗,2
Naked and Funny,121
Spenser (serie televisiva),4
Felicity,86
Resurrection (serie de televisión),22
The Real World: London,24
Llamas de la vida,245
Stella (U.S. TV series),10
Miami Medical,13
Genie in the House,75
لونلي غيرل 15,574
Jared ‚Coop‘ Cooper – Highschoolanwalt,37
Karkú,77
The Black Donnellys,13
Flashpoint,77
Torrente (telenovela),127
Kids and Company,38
Southland,41
Hotellet,61
Most Evil,38
Triángulo (serie de televisión),27
Climbing Great Buildings,15
The Prince Who Turns into a Frog,29
Mask (série de televisão),20
尸研所,6
Dogg After Dark,7
30 روك,139
ジ・アドヴェンチャー・オブ・トゥイズル,51
T.I.'s Road to Redemption,9
Pointless,129
Tough Love (season 2),11
Crossbones (serie televisiva),9
Power Play (Dutch TV series),19
The Littles,30
Barrera de amor,135
The City (telerrealidad),34
Scooby-Doo! Mystery Incorporated,50
戇夫成龍,21
Catalina y Sebastián,124
皇家反千組,21
Mary Kay and Johnny,315
Let's Go (1976 TV series),211
Общее дело (телесериал),12
Contra viento y marea,130
Moving Up,62
Time Masters (game show),192
"I'm Sorry, I Love You",16
The Bridge: Na granicy,25
Bundesvision Song Contest,11
Who Wants to Be a Millionaire? (Philippine game show),5
16 and Pregnant,58
Banshee (TV series),37
Wonder Pets,42
Twice in a Lifetime (TV series),45
Dark Kingdom: The Dragon King,2
Taxi (Fernsehserie),119
Mitwa Phool Kamal Ke,168
Heroes Reborn (serie de televisión),13
Gorące Hawaje,21
Un commissario a Roma,10
Muppets Tonight,22
Улица Сезам,4361
The Electric Company (2009 TV series),54
Ellen Burstyn Show,13
Couleur Pacifique,10
The ABC Afternoon Playbreak,9
That's Life (1968 TV series),33
Alles was zählt,2596
L'undicesima ora,40
Vilma (Philippine TV Series),470
Doen met 'n Miljoen!,52
I miei due papà,62
Hélène et les Garçons,292
Intervision-Liederwettbewerb,5
A Great Way to Care,24
The Family (Fernsehserie),12
Halt and Catch Fire (série télévisée),30
Chuanqi Huangdi Zhu Yuanzhang,49
洛神 (テレビドラマ),26
Alphas (série télévisée),24
傑瑞米·凱爾秀,2788
Wallace y Gromit,6
The Gates (Fernsehserie),13
Lynch (serie de televisión),13
传奇皇帝朱元璋,52
Aquarius (série télévisée),25
Code Black (série télévisée),22
Kochen mit Luis,20
Black Sash (TV series),8
Sherri,13
Powers (serie televisiva),20
Hero 108,101
Southland (serial telewizyjny),43
Ravenswood (serie televisiva),10
Mission: Impossible,168
Adventure Inc.,22
I Borgia (serie televisiva francese),39
W słońcu Kalifornii,13
Night Court,196
Temptation (série de televisão),21
Summerhill (TV series),4
Biancaneve a Beverly Hills,20
Beacon Hill (web series),12
"Boa Sorte, Charlie!",96
Royal Tramp (TV series),45
Audrina,10
Disaster Masters,18
Animal Show,62
Zane's Sex Chronicles,25
Hergé's Adventures of Tintin,97
Hawaii Five-O,282
Голые и смешные,121
Rêves et Cauchemars (série télévisée),8
Eclipse (telenovela),30
Tutti gli uomini sono uguali,7
ウォレスとグルミット,2
I en annan del av Köping,18
This Is Nightlive,6
Prehistoric Megastorms,7
Chuck (televisieserie),91
"Qua la zampa, Doggie",10
اكبح حماسك,79
لغز المدينة,42
Stargate SG-1,214
Touch (serie de televisión),27
Tutti pazzi per amore,75
30 Rock,143
魂归故里,16
Soccer Aid,13
Sanctuary (serial telewizyjny),61
Уоллес и Громит,30
Erotic Confessions,58
Stargate Universe,38
Line of Fire (2002 TV series),100
Beyond (TV series),51
A Woman Named Jackie,3
The Demon Headmaster (TV series),19
Doc McStuffins,106
Xiaolin Showdown,51
Smash (serial telewizyjny),31
Jayce y los Guerreros Rodantes,64
Smash (Fernsehserie),32
Zeke und Luther,73
Doctor in the House (serial telewizyjny),26
ストリートファイター 暗殺拳,1
The Sitcom Showdown,5
Distretto di Polizia,295
La que no podía amar,154
