http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/numberOfStudents
Universidade de Ciências Aplicadas de Mainz,4788
Universidad de Stavanger,10429
C. E. Byrd High School,2259
国立台中文華高級中学,770
Universidade de Mulheres Ewha,19460
USC Sol Price School of Public Policy,1132
Cerro Coso Community College,4447
"Southwestern High School (Hanover, Indiana)",385
Università degli Studi di Brescia,13890
American University of Armenia,1547
The Charter School,1018
"Pacific High School (North Highlands, California)",2506
Southborough High School,746
坎塔布里亞大學,13790
Princeton-universiteit,8456
San Jose City College,10013
École de l'Air,522
جامعة ديبونيجورو,39441
Andrews High School (South Carolina),564
Lycée Henri-IV,2030
Watts Naval School,333
フェリックス・メンデルスゾーン・バルトルディ音楽演劇大学ライプツィヒ,842
Hampton Park Secondary College,1263
Niles McKinley High School,892
Packer Collegiate Institute,955
Federal Urdu University,13714
Fairfield Area School District,1127
Bloomfield Junior-Senior High School,432
British School in the Netherlands,2388
City of Bath Technical School,479
Monk's Walk School,1362
SeDoMoCha Middle School,707
Carmi-White County High School,395
The Graduate School of Offenburg University of Applied Sciences,4047
Universidad de Cantabria,14864
Kolej Tuanku Ja'afar,615
University of Missouri–Kansas City School of Law,463
Université Démocrite de Thrace,27043
Universität Cagliari,32044
جامعة آيندهوفن للتكنولوجيا,7171
Lincoln High School (Seattle),907
Brody School of Medicine at East Carolina University,489
EU ビジネススクール,3
Father Leo J. Austin Catholic Secondary School,983
Academy of Art University,15357
Pierre Elliott Trudeau Elementary School,369
Hot Springs High School (Arkansas),716
Temuco Catholic University,8956
Westmont Hilltop School District,1586
Dominican College of Tarlac,2889
Universität Primorska,5249
McGavock High School,2355
罗格斯大学肯顿分校法学院,813
جامعة بيير وماري كوري,32489
Justin-Siena High School,663
Halls High School,1175
Brawley Union High School,1833
Eleanor Roosevelt High School (Maryland),2382
Maharishi Vidya Mandir Schools,96625
Armenian Sisters Academy,184
Kryvyi Rih National University,20799
拉西瑞亞大學,2502
Braunton Academy,682
Winston Knoll Collegiate,1081
Universiteit van Napels Federico II,77766
جامعة إرفورت,5354
Санкт-Петербургский горный университет,15799
Buryat State University,11734
Buxton Community School,1286
約翰·霍普金斯大學醫學院,1355
UNSW School of Computer Science and Engineering,1004
La Joya Community High School,1822
圣基里尔麦托迪大学,52326
Kinkora Regional High School,122
淡江大学,26241
The Ellen Wilkinson School for Girls,1478
Tulsa Community College,30826
IE Business School,1851
Dartford Grammar School for Girls,1018
Université de technologie de Papouasie-Nouvelle-Guinée,3103
Universidad Alexandru Ioan Cuza de Iași,25122
Instituto de Tecnologia da Geórgia,24218
Universidad de Cantabria,14689
Collège Ahuntsic,9701
Corbett School,597
Santa Barbara & Ventura Colleges of Law,200
Sulphur High School (Oklahoma),350
Université Roger Williams,4304
Bearden High School (Tennessee),1925
Université Politehnica (Bucarest),25368
弗莱贝格工业大学,4998
Black Forest Academy,295
A.C. Flora High School,1329
Novia University of Applied Sciences,4166
West Greene School District,836
Université des technologies de Brno,24745
里爾第一大學,19789
Charles E. Jordan High School,1754
Universidad de Argel,103532
Université d'État des sciences humaines de Russie,5482
Antonin Scalia Law School,478
Universidad de Ankara,43958
"St. Francis de Sales High School (Toledo, Ohio)",674
Wheeler Independent School District,414
Waynflete School,585
Род-Айлендский университет,17267
"St Ninian's High School, Douglas",1362
Grinnell College,1692
Université de Sfax,47359
Hudson High School (Massachusetts),1139
Lansdowne College,227
Bay de Noc Community College,2435
旧金山大学,10939
Piedmont High School (California),727
John B. Connally High School,2061
"St Joseph's College, Upper Norwood",1108
スカットカトリック高校,545
Tarlac State University – Laboratory School,488
Université d'État de l'Arizona,11357
Silver Grove School (Kentucky),99
Pine Hills Adventist Academy,151
Mansfield Legacy High School,2287
Bellefonte Area School District,2834
Université de technologie de Durban,26794
Saint Dominic Academy,291
福州第三中学,2120
Valparaiso High School,2102
École de l'air,511
"St. Joseph High School (Hilo, Hawaii)",287
Paktia University,4884
Interdenominational Theological Center,259
UWC-USA,45
Floyd County High School,585
Kangwon National University School of Law,124
Diné College,1994
亞利桑那州立大學,11256
College of West Anglia,9711
Indian Institute of Management Rohtak,324
Uniwersytet Alcalá de Henares,22405
Durban University of Technology,26921
Universidad Bolivariana de Venezuela,173932
University Centre in Svalbard,485
Bryn Mawr College,1754
Università statale del Kansas,24107
Rajalakshmi Engineering College,6042
Universidad Academia de Humanismo Cristiano,4
Renton Technical College,4030
Bourne Grammar School,1091
Institut polytechnique des sciences avancées,1429
Instituto de estudos políticos de Lion,1485
Brick Township High School,1789
Kaneland High School,1310
Florida Southern College,2587
جامعة فرايبيرغ التكنولوجية,5027
"Sheffield High School, South Yorkshire",1036
Days Creek Charter School,208
Deer Lakes School District,1975
Cass Business School,4155
Midhurst Rother College,1516
Cape Cod Academy,245
University of Salerno,34524
جامعة يريفان الحكومية,10086
Midland Park High School,484
Fayetteville-Manlius Central School District,4731
Cleary University,891
Universidad Nueva de Lisboa,20405
Real Escuela Galesa de Música y Teatro,670
Hanover Public School District,1815
"École supérieure Aalto d'art, de design et d'architecture d'Helsinki",2052
愛爾蘭皇家外科醫學院,4042
"Cleveland High School (Los Angeles, California)",3748
جامعة ولاية أوهايو,57790
Guangxi Normal University,24803
"Brookwood High School (Snellville, Georgia)",3353
Murray State College,2280
Medical College of Nanchang University,12128
