http://dbpedia.org/ontology/Station,http://dbpedia.org/ontology/populationTotal
ベルナツキー基地,12
Nainital,39652
Stazione di ricerca antartica finlandese Aboa,12
Chirmiri,96691
Kurseong,40462
Aboa (research station),12
Mussoorie,25299
Yercaud,36954
Mount Abu,22971
"Dalhousie, India",7558
Daringbadi,9334
Jogindarnagar,144784
Monte Ābū,22148
Cache Creek (Colombie-Britannique),1054
Kausani,2514
Estação Akademik Vernadsky,12
Panchgani,13187
Массури,26331
Aboa,12
Эвансвилл,119814
帕拉姆普尔,3368
Base antarctique Mirny,167
Mussoorie,27079
Isfjord Radio,0
Mussoorie,25353
Azarshahr Railway Station,16
德奥拉利,49330
Абоа (антарктическая станция),12
Kalimpong,51116
Wernadski-Station,12
