http://dbpedia.org/ontology/Skier,http://dbpedia.org/ontology/weight
Thomas Magnusson (Skilangläufer),80718
Gunnar Larsson (narciarz),68819
Agnieszka Gąsienica-Daniel,58777
Dow Travers,85056
Willi Frommelt,80403
Adeline Baud-Mugnier,57449
Agnieszka Gąsienica-Daniel,60669
Marina Kiehl,62601
Thomas Magnusson,78275
Gino Caviezel,79459
Elis Wiklund,83390
Sebastian Brigović,79090
Gunnar Larsson (fondeur),71231
"Андреев, Владимир Михайлович",73254
"Андерссон, Бьярне",71149
Mauro Caviezel,88466
Martin Huber,94405
Adeline Baud,57955
Marino Cardelli,78034
Bjarne Andersson,69234
Alexandre Mohbat,76608
Nadieżda Patrakiejewa,62953
Maria Bedareva,72058
Mireia Gutiérrez,57139
Bengt-Erik Grahn,65717
Sture Grahn,75608
Barbara Kantorová,62569
Marija Kirkowa,64465
Mats Larsson,72254
Barbara Kantorová,62547
Marino Cardelli,77603
"Фроммельт, Вилли",74974
"Акирилоае, Йоан Валериу",83988
Andreas Žampa,68286
"Гутьеррес, Мирейя",58521
"Саалова, Кристина",73245
Rokas Zaveckas,80171
Frank Wörndl,74445
Kyung Sung-hyun,85565
Dmitry Koshkin,80970
