http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/areaLand
Condado de Box Elder,16290430677
مقاطعة بلدسو (تينيسي),1007564294
切爾松,329876553
Gausdal,1138223530
Condado de Lyon (Kentucky),499327903
Bay County (Michigan),1118704749
米德縣 (堪薩斯州),2329152542
Saltdal,1993565943
オレンジ郡 (カリフォルニア州),2038236757
"Антрим (округ, Мичиган)",1319112303
مقاطعة فريسنو (كاليفورنيا),14852873223
Andrews County,3773795874
Condado de Allegany (Maryland),1054449521
Comté d'Allen (Kansas),1202393961
Hemne,628960678
Sandøy,20940481
"Олбани (округ, Вайоминг)",11739635846
Dovre,1310435607
McPherson County (Kansas),2335101573
فانغ (أوبلاند),1263569989
Лейрфьорд,431487407
"Vang, Oppland",1487457937
Hrabstwo Black Hawk,1585571060
Dakota del Norte,183420001889
"Бентон (округ, Орегон)",1588252911
Dyrøy,264202371
"Amherst County, Virginia",1190269625
Namsskogan,1427767159
Contea di Sherman (Kansas),2480659480
Condado de Bladen,2292143481
Hasvik,514827017
Condado de Elk (Kansas),1592392223
Lindås,458075772
Atoka County,2657685304
Condado de Banks,561270029
Alamosa County,1799922973
Comté de Franklin (Kansas),1586932936
Сконланн,460119711
Condado de Adams (Wisconsin),1796978131
Moskenes,116062997
Nord-Aurdal,883076046
Avon (Colorado),22173051
Spydeberg,132195313
カウトケイノ,8387963041
Råde,99111436
松訥,133973529
Hrabstwo Washington (Kansas),2470167564
Contea di Johnson (Kansas),1354732038
Vågå,1256704646
Bent County,4126408884
アシュランド郡 (オハイオ州),996989252
Placer County,3841223842
Lavangen,293913813
艾倫縣 (俄亥俄州),1066894121
Bremer County,1080674671
"Decatur County, Kansas",2063750111
Sokndal,259369686
Sande på Sunnmøre,82331278
"Elbert County, Colorado",4573935882
Sørreisa (gemeente),328146564
勒姆斯庫格,149456550
Vågå,1217511057
ボックスエルダー郡 (ユタ州),16738539401
Comté d'Anderson (Caroline du Sud),1809599564
Osterøy,259808084
Bayfield County,3495544750
Contea di Anderson (Texas),2778363796
Рёдёй,592851787
Dakota del Sur,198785772695
Condado de Bates,2280903945
Benton County (Missouri),1914960934
"Huron County, Michigan",2054146633
Nannestad,291531308
Колорадо,260861405734
Svelvik,57646536
"Атлантик (округ, Нью-Джерси)",1393712754
Bleckley County,589632021
Contea di Elgin,1726753071
Greenwood County (Kansas),2900162602
Condado de Augusta,2575786370
Boyle County,473326957
Фоллдал,1409874693
Nøtterøy,60318937
Røyrvik,1272989619
Lavangen,301569162
Mitchell County (Kansas),2061897127
Сёмна,173374630
布盧厄斯縣 (明尼蘇達州),2135464364
Vennesla,392574353
"Атенс (округ, Огайо)",1202806907
Sokndal,256886174
ベルトラミー郡 (ミネソタ州),6745497348
مقاطعة ألاموسا (كولورادو),1714977338
Ballangen (gemeente),931112505
"Meade County, Kansas",2672818070
Tinn,1727111226
Hrabstwo Lawrence (Pensylwania),801806159
Songdalen,216994432
Huron County (Ontario),3367220347
Винье,2938390168
ماريلاند,23100069965
Hrabstwo Allen (Kentucky),904289599
Hitra,628017500
Antrim County,1093800269
Comté de Stevens (Kansas),1718504830
霍 (挪威),278082499
Hrabstwo Saline (Kansas),1791981020
阿勒根縣,2305943516
Condado de Avery,623927343
カウリー郡 (カンザス州),3306414584
Condado de Bedford (Tennessee),1274299255
ハーベイ郡 (カンザス州),1537060455
"Бритит (округ, Кентукки)",1332909077
Contea di Belmont,1484949757
Hrabstwo Adair (Kentucky),1010447444
Rennebu,976780690
أيدسبرغ,207503531
Kongsvinger,908569519
Aremark,291895949
史蒂文斯縣 (堪薩斯州),1942315502
Hrabstwo Bates,2046279091
弗隆特納克縣,3426163114
Condado de Harvey,1406398329
ソノマ郡 (カリフォルニア州),3676849138
Wallace County,2227185222
"Osborne County, Kansas",2109331996
托什肯,213338992
مقاطعة بينيواه (أيداهو),2014654235
亞爾發法縣,2182759474
Vavuniya (Distrikt),1840791377
Gmina Time,175568837
Оппегор,33492314
Rissa,539118552
Sarpsborg,328724711
Dakota Północna,159634941587
烏塔韋區,30754404125
Tana (Noruega),4227411513
Lyon County (Kansas),2106014833
إينيباك,216863897
Sømna,202298162
沃爾達,592048290
Ohio,110811650540
Bardu,2480515530
Arendal (gemeente),241390652
مقاطعة أشتابولا (أوهايو),1894609513
Jondal,227203975
Stranda,817087599
سيلبو,1145278786
Rhode Island,2889054263
مقاطعة باث (فيرجينيا),1237231100
比伯县 (佐治亚州),705751827
Comté de Greenwood (Kansas),2606393559
Pulaski County (Kentucky),1632109635
Jackson County (Kansas),1576707933
Hrabstwo Allen (Kansas),1390211925
Мидсунн,97088728
Contea di Brewster,17031537443
Rice County (Kansas),2005936455
Bailey County,2373840347
Etnedal,435965416
مقاطعة إليوتينس إيست بورو (ألاسكا),18376398704
"Anoka County, Minnesota",1000916419
أوركدال,593887882
"Команчи (округ, Канзас)",1872334273
Stokke,116733025
Condado de Adams (Nebraska),1544825125
Kolorado,265268019712
オーグレイズ郡 (オハイオ州),1168479545
Клебу,163099978
Rælingen,59604494
ブレイン郡 (モンタナ州),10451863323
Notodden,952357298
Agdenes,283471303
Haugesund,65341202
كارلسوي,1156004658
فينيه,3051643222
Барнстейбл (округ),1086255006
Bø (Telemark),285209992
Tingvoll,303802636
Jefferson County (Kansas),1402467235
Condado de Logan (Kansas),2828956571
مقاطعة بيغ هورن (مونتانا),13930348832
Jondal,247998075
ジャクソン郡 (カンザス州),1597589220
Archer County,2344257770
مقاطعة آدمز (نبراسكا),1425931061
Laurentides,20696936828
Hrabstwo Alcona,1562050393
"Banks County, Georgia",593489245
Condado de Archuleta,3436081023
Pulaski County (Kentucky),1861958591
Ballangen,921925691
مقاطعة كراوفورد (كانساس),1426059106
Vaksdal,662078822
Contea di Placer,3129832803
オーデュボン郡 (アイオワ州),1062024060
"Мэрион (округ, Канзас)",2377153793
Lindås,463211275
Connecticut,12201650803
Kongsberg,728411227
Åseral,754004408
Hrabstwo Bladen,2136337902
Changdao County,54132624
Vardø,559731606
Gjerstad,322946584
مقاطعة ليون (كانساس),2339549566
Ibestad,225892413
Contea di Bibb (Alabama),1569712231
Sauda,538172190
Barton County (Missouri),1411792092
Drammen,143522915
Hrabstwo Braxton,1498307261
Муллайтиву (округ),2568459773
Condado de Pottawattamie,2712563603
Comté de Beaver (Utah),6820752185
Condado de Antelope,2165213822
Vaksdal,727488055
Hrabstwo Armstrong (Teksas),2662371525
Condado de Ada,2680813759
Boone County (Iowa),1574714033
"Bartholomew County, Indiana",1007422586
Audnedal,226515497
Contea di Baylor,2326175807
Condado de Cloud,1872185216
Stafford County (Kansas),1951379609
Beiarn,1281806326
Сёррейса,342550419
كراغرو,258957925
Flå,619353467
Ringsaker,1189751315
Comté de Garrett,1474153286
Хёугесунн,68164536
Kvitsøy,6683861
Тана (коммуна),3865902887
Condado de Berrien (Georgia),1120725953
Snillfjord,518112277
Bindal,1121976425
考利縣 (堪薩斯州),2623753469
Квинесдал,927335243
Sandøy,19088109
Lenvik,842072616
Ulvik,679229842
Condado de Bourbon (Kentucky),656170426
Løten,323026711
Hrabstwo Bay (Michigan),1101242405
Hrabstwo Baylor,2225217462
厄什塔,732295272
Contea di Newton (Georgia),699654186
مقاطعة آدمز (إنديانا),957292275
Comté de Jasper (Indiana),1528571084
Loppa,760109600
聖華金縣,3217511332
Øygarden,62869151
Nesodden,63156926
Сильян (Норвегия),194996950
Rissa (Noorwegen),583359502
ボンネビル郡 (アイダホ州),5252796940
Nærøy,999774665
勒斯特,9347983
"Breckinridge County, Kentucky",1542847570
Contea di Beckham,2142472930
Contea di Bannock,2667259196
"Бент (округ, Колорадо)",3821184745
Hrabstwo Benton (Missisipi),1005951556
弗于斯克,1246476078
Leksvik,405472989
Røyrvik,1253815572
Samnanger,249977568
مقاطعة بولينغر (ميزوري),1441383154
مقاطعة برادفورد (فلوريدا),766520218
Vefsn,1849318416
