http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/numberOfEmployees
Schneider Kreuznach,623
Howaldtswerke-Deutsche Werft,2244
Bay View Bank,725
Companhia Brasileira de Aluminio,6879
Restaurant Brands,4378
ペガサス航空,3440
Bergenshalvøens Kommunale Kraftselskap,1033
Bestinvest,480
أستيلاس,15467
Axel Springer (entreprise),13968
Bank of Ireland,12140
ICON Aircraft,98
LG顯示,47564
Krones,12865
Frontiers Media,130
Mobexpert,3090
Taito (entreprise),637
Lyon & Lyon,255
Abiomed,701
BAE Systems Inc.,48073
LGT Bank,1921
IGM Financial,4680
جوال (شركة إتصالات),800
Siemens Healthcare,48607
China National Nuclear Corporation,98751
WuXi PharmaTech,6895
Disqus,59
Nutreco,9920
Eidos Montreal,447
Amer Sports,8082
UCoz,112
Nordea,27058
Lumon,778
SEAT,12315
Jawwal,934
Pinsent Masons,2406
BankAtlantic,1160
National Bank of Uzbekistan,9539
テキサス・インスツルメンツ,28808
MRV Engenharia,5411
Spotify,1681
Limagrain,7925
Calumet Photographic,214
Strands,94
Grupo Petrópolis,2556
T-Mobile US,51669
Empire Resorts,339
Sunwing Airlines,1439
Tavant Technologies,1516
Umicore,14216
Mexx,5789
Trex,660
Pacific Data Images,419
Spotify,1612
Daegu-Gyeongbuk Free Economic Zone,139
ヴァンシ,191996
National Mineral Development Corporation,6314
Oyak Renault Otomobil Fabrikaları,6086
Partners Harvard Medical International,49
Luxottica,73409
Marvelous Entertainment,175
Conseil international pour les initiatives écologiques locales,207
Emsa (article ménager),271
Jayco,1989
Jerini,138
Beter Bed,2462
Energy Transfer Partners,5112
HSBC Bank Bermuda,1049
Nude Maker,11
DLF (company),11710
GFI Group,1908
Volkswagen AG,599843
Australia and New Zealand Banking Group,51052
ديجيتال إكوبمينت,136250
Continente (Supermarket),29361
Kao Corporation,36346
إي إف,41700
Sensory Sweep Studios,99
Kaspersky Lab,2722
Coop Norge,2624
Belle International,68430
SouthPeak Games,97
ヌードメーカー,11
Nintendo Entertainment Analysis & Development,767
Dubek,259
加拿大滙豐銀行,6123
P&H Mining,2357
FEXCO,2208
Lionbridge,10537
Procter & Gamble,126134
Bugatti Automobiles SAS,78
ViaSat,2904
Rouses,4744
Julius Meinl,546
バーダル,33
Whirlpool Corporation,100977
KLMオランダ航空,35932
Tamedia,3468
Charles River Ventures,19
Viverso,134
Oxford BioMedica,72
Cumerio,751
Anglo Irish Bank,0
Paz Oil,2172
Wells Fargo,276100
SieMatic,486
カナダ原子力公社,3168
Medical Mutual of Ohio,2434
JTEKT,10528
Zoho Corporation,4354
مجموعة الخرافي,19369
Mizuho Financial Group,56026
MLP AG,1469
Bavaria,1055
