http://dbpedia.org/ontology/SportsTeam,http://dbpedia.org/ontology/squadNumber
VCU Rams men's soccer,7
Plataneros de Corozal,4
Charlotte 49ers men's soccer,8
Akron Zips men's soccer,23
Cincinnati Kids,16
Laguna F.C.,13
Maybank HC,1
Yayasan Negeri Sembilan HC,10
SDCサン・アントニオ,13
Radford Highlanders men's soccer,28
Tulsa Golden Hurricane men's soccer,2
Портланд Сан Антонио,17
Al-Rayan SC Handball Team,21
SDC San Antonio,2
2013 NSCAA Men's Soccer All-Americans,2
Syracuse Orange men's soccer,31
Cincinnati Kids,10
Al-Sadd Sports Club Handball,37
Minija Kretinga,109
Saint Louis Billikens men's soccer,25
Akron Zips men's soccer,2
Maybank HC,4
VCU Rams men's soccer,4
Cincinnati Kids,8
Equipo de fútbol masculino de la Universidad de San Luis,1
Cincinnati Kids,4
Saint Louis Billikens men's soccer,27
Sociedad Deportiva Cultural San Antonio,88
2011 Western New York Flash season,17
Club Balonmano Ciudad Real,2
Laguna F.C.,12
Markaz Balata,5
Yayasan Negeri Sembilan HC,15
Sociedad Deportiva Cultural San Antonio,2
SDC San Antonio,12
Портланд Сан Антонио,11
Maybank HC,19
SDC San Antonio,16
2011 Western New York Flash season,4
Al Sadd Handball Team,15
Charlotte 49ers men's soccer,9
Al Sadd SC (handball),11
UniKL HC,19
FIU Panthers men's soccer,18
Ignition de Détroit,82
2013 NSCAA Men's Soccer All-Americans,6
Shabab Al-Bireh Institute,11
Al-Sadd Sports Club Handball,14
Detroit Ignition,16
Sliema Hotsticks Hockey Club,11
BM Ciudad Real,1
Syracuse Orange men's soccer,2
Sociedad Deportiva Cultural San Antonio,13
Charlotte 49ers men's soccer,14
Al-Rayan SC Handball Team,19
Cincinnati Kids,6
Al Sadd SC (handball),13
Charlotte 49ers men's soccer,10
Radford Highlanders women's soccer,15
Equipo de fútbol masculino de la Universidad de San Luis,26
Club Balonmano Ciudad Real,6
Laguna F.C.,3
UniKL HC,7
Sociedad Deportiva Cultural San Antonio,10
Al Sadd Handball Team,1
Plataneros de Corozal,9
Club Balonmano Ciudad Real,7
Akron Zips men's soccer,19
VCU Rams men's soccer,8
FIU Panthers men's soccer,6
SDC San Antonio,1
SDC San Antonio,5
Laguna Football Club,11
Radford Highlanders men's soccer,15
Sapura HC,3
Markaz Balata,14
SDC San Antonio,3
Sapura HC,8
Club Balonmano Ciudad Real,14
Detroit Ignition,9
2011 Western New York Flash season,8
Radford Highlanders women's soccer,13
Yayasan Negeri Sembilan HC,14
Akron Zips men's soccer,4
Al Sadd SC (handball),87
Radford Highlanders women's soccer,9
Shabab Al-Bireh Institute,13
Saint Louis Billikens men's soccer,19
Cincinnati Kids,22
Tulsa Golden Hurricane men's soccer,18
Syracuse Orange men's soccer,0
2013 NSCAA Men's Soccer All-Americans,11
SDC San Antonio,12
Al-Rayan SC Handball Team,6
FIU Panthers men's soccer,3
VCU Rams men's soccer,10
Laguna F.C.,8
Sapura HC,25
Al Rayyan Handball Team,3
Maybank HC,13
Sliema Hotsticks Hockey Club,17
"Al-Arabi (Saudi Arabia, handball club)",9
Equipo de fútbol masculino de la Universidad de San Luis,9
Plataneros de Corozal,6
Club Balonmano Ciudad Real,6
Sapura HC,5
SDC San Antonio,8
Al-Sadd Sports Club Handball,20
SDCサン・アントニオ,3
Sociedad Deportiva Cultural San Antonio,12
