http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/areaLand
Lyngdal,368203989
Транёй,506302739
Марнардал,371824206
"Bø, Telemark",267058268
Stokke (gemeente),118796336
Гратанген,298911879
Ringebu (gemeente),1194975580
Etne,686377857
Kvinnherad,1009899357
アダムズ郡 (イリノイ州),2299369214
Fjaler,383200905
Ski,155030367
Stordal,232780171
"Antelope County, Nebraska",2174135287
Øksnes,310480327
Buchanan County (Iowa),1418296777
Lebesby,3270750715
Хо (коммуна),243565753
Bodø,1305886223
"Buncombe County, North Carolina",1698948285
نانستاد,331335276
Condado de Reno,3161215272
Contea di Woodson,1289829546
Ås (Noruega),104498757
Hyllestad,236276943
莫斯克內斯,107572685
Marshall County (Kansas),2394212684
Фрёйа,218540789
蒂達爾,1167059797
霍伯爾,135892761
Gampaha (district),1370744475
斯泰恩谢尔,1418169539
Gloppen,973297300
Kansas,210532196996
كلابو,172949710
特勒格斯塔,196974081
Beiarn,1166524999
Fusa,364923656
Lyngen,815399349
مقاطعة براون (كانساس),1508632083
Elko County,46462681789
"Crawford County, Kansas",1563354456
Нур-Эурдал,859384181
Френа,372020081
Songdalen,207000267
Ørland,72613252
Kviteseid,627952042
Bee County,2341494401
Rendalen,2958340859
"Baker County, Oregon",7775869627
مقاطعة بولوك (ألاباما),1539129133
Contea di Harvey,1386744339
Kvæfjord,507477503
Condado de Nassau (Nova Iorque),707452209
"Clark County, Kansas",2532075253
Condado de Sheridan (Kansas),2244801871
Фьелль,142408656
Brown County (Indiana),770195119
Hrabstwo Audrain,1798660793
كفالسوند,1777635397
呂略,253306470
فروغن,82258395
Rindal,581056759
Лёдинген,527124235
Hrabstwo Barron,2136780765
Condado de Jefferson (Kansas),1446775785
Rødøy,696990823
Tysvær,396190667
Bedford County (Pennsylvania),2632109107
Comté de Nassau (New York),769629154
"DuPage County, Illinois",845171612
Selje,223437219
Benton County (Tennessee),970024684
Hrabstwo Anderson (Teksas),2633068676
Steigen,962661571
アルベマール郡 (バージニア州),1860906675
南奧達爾,479048591
Time (Norwegen),177227898
Sandøy,21149318
Tysfjord (Kommune),1416148155
Bindal,1197158736
Contea di Bay (Michigan),1130086150
Lavangen,304799639
安德森縣 (肯塔基州),508926522
Comté de Boone (Indiana),1066458438
Hrabstwo Bent,4064084269
福斯內斯,473470538
Condado de Knox (Ohio),1321737279
مقاطعة شرمان (كانساس),2785362186
拉尔维克,476776903
Lavangen,294104284
Pensilvania,117981513062
布恩縣 (伊利諾伊州),713723594
Эукра,58049852
Bullock County,1671781277
Osen,365765118
安德羅斯科金縣,1196246564
Comté de Bollinger,1564268182
バラガ郡 (ミシガン州),2289067768
مقاطعة بوكس إلدير (يوتا),14659359122
布坎南縣 (愛阿華州),1447217712
Berrien County (Georgia),1155108355
博福特縣 (南卡羅萊納州),1483782368
Sandøy,20402507
Askim,66894173
Vegårshei,317499640
Bas-Saint-Laurent,21831963603
Alabama,128995433742
Sortland (gemeente),713010257
Condado de Pratt,1892590072
"Белмонт (округ, Огайо)",1343020688
"Бернет (округ, Техас)",2649802311
"Атенс (округ, Огайо)",1360946802
Karlsøy,1007460493
أوهايو,104640161292
Karasjok,5053389768
Gulen,603599175
"Bell County, Texas",2731534191
مقاطعة بوني (كانساس),1897791539
"Briscoe County, Texas",2395198369
Fedje,9189103
Sarpsborg,378557382
約爾斯特,624070817
ディキンソン郡 (カンザス州),2149810002
Siljan,198443816
مين,79735022793
