http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/populationTotal
Limbach (Baden),4574
Berndorf (Salzburg),1696
City of Botany Bay,40889
Lány (Vysočina),59
布瓦西莫吉,399
Lagny-le-Sec,1775
"Jazan, Alborz",341
Frymburk,1273
圣西普里安 (卢瓦尔省),2310
Ilhas Menores Distantes dos Estados Unidos,292
Рафах (город),155298
"Milburn Township, Custer County, Nebraska",68
Saix,213
São Cristóvão do Sul,4890
Stambridge,707
Saint-Saturnin (Cantal),222
Frymburk (Boêmia do Sul),1313
Saint-Sauveur-de-Peyre,245
"Municipio de Pleasant Valley (condado de Fayette, Iowa)",1035
"Drage, Nordfriesland",575
"Carignan, Ardennes",3039
La Marne,1318
Saint-Saturnin-de-Lucian,287
Loria,8477
Yungay,16721
Merville (Haute-Garonne),4607
Kuik-e Majid,221
Перт-ле-Бриен,73
Le Plessis-aux-Bois,242
Saint-Brice (Sena y Marne),769
جزيرة بمبا,409137
Municipio de Pleasant (Illinois),758
Rückersdorf (Niederlausitz),1614
L'Épinay-le-Comte,193
"Krishnanagar, Nepal",21484
Saint-Sauveur (Somme),1403
Gaza,502337
"Матаморос (Чиуауа, муниципалитет)",4567
Saint-Sauveur-sur-École,1121
Dźwirzyno,581
L'Hôpital (Moselle),5822
Campana (Francja),24
Montastruc (Tarn i Garonna),215
Viry (Jura),949
Roșiori (Brăila),3082
ベシエール,3257
圣萨蒂尔南德吕西昂 (埃罗省),304
Kněžice (Jihlava District),1453
Powiat Kladno,147242
"Pommiers, Aisne",655
Wieden (Badenia-Wirtembergia),596
Lora de Estepa,847
Salim Chaf,372
"Steinfeld, Mecklenburg-Vorpommern",562
Gmina Terweł,17019
Montastruc (Altos Pirenéus),277
Lichnowy (powiat malborski),949
Ampani,4613
Carnet,471
塞瓦斯托波爾,425115
Adjamé,360581
"Potto, North Yorkshire",327
"Biskupice, Częstochowa County",862
"Angara, Andhra Pradesh",14450
Le Plessis-Grammoire,2054
"Ziyaret, Kozluk",362
Villedieu-le-Château,412
Alto (Piemont),117
Grandfontaine-sur-Creuse,77
Dayu County,290864
Boissy-Lamberville,263
Damery (Marne),1414
Ribera del Fresno,3623
Ongar,6087
زيويه (سقز),307
Sankt Martin im Mühlkreis,3574
Al-Qa'im (distrito),156
特里比恩鎮區 (格里利縣),1229
Oliva de la Frontera,6117
Janów Podlaski (plaats),2808
Dommartin-le-Coq,64
Bousse (Sarthe),419
Königsfeld im Schwarzwald,6312
"Mineral Township, Barry County, Missouri",875
Dommartin (Rodano),2761
Malla (Barcelona),275
Damery (Marna),1534
Talki (województwo warmińsko-mazurskie),216
Сен-Максимен,621
Damery (Somme),209
Grotte di Castro,2887
"Noarlunga Downs, South Australia",3551
Moissy-Moulinot,25
Hamr (Jindřichův Hradec District),347
Dompierre-les-Tilleuls,259
St. Martin im Innkreis,1664
Drage (Steinburg),256
"Armutlu, Kemalpaşa",7128
Śliwin,225
Faraday (Ontario),1398
Biskupice (Svitavy),427
Lumby,769
Libkov (Domažlice District),105
Carville-Pot-de-Fer,104
Porta (Pirenéus Orientais),124
Fara Olivana con Sola,1212
Dźwirzyno,563
Épinay-Champlâtreux,70
Ovacık (Silifke),1040
扎利,10605
莱茵河畔哈姆,2174
Dompierre-sur-Yon,3939
Avot,162
里韦拉德尔夫雷斯诺,3296
Little Massingham,73
"Trient, Switzerland",2041
Oberdorf am Hochegg,731
"Gmina Pleasant (hrabstwo Cass, Iowa)",1335
John o' Groats,286
Barciany (plaats),1101
Podunajské Biskupice,20695
Sind,55506303
Marey-lès-Fussey,69
Province de Yungay,57176
"Moritz, Germany",349
La Vallée,665
Peyrelongue-Abos,132
Грос-Кройц (Хафель),8182
Charmoille (Haute-Saône),439
Traiskirchen,16174
Лига арабских государств,405040298
Aqsu (Almaty),874
Będzino,603
"Köprübaşı, Mengen",348
"Saint-Cyprien-de-Napierville, Quebec",1901
Soisy-Bouy,793
アラブ連盟,425119545
Juan Díaz (Panamá),96757
Pers-Jussy,2846
Dompierre-du-Chemin,539
Shrewton,1920
富尔讷昂韦普,2077
Jussy (Mosella),493
Hagen (Mozela),248
Sainte-Blandine (Isère),951
Neuenkirchen (Rügen),372
"Myra, Texas",224
"Brody, Starachowice County",1699
Bonneuil-Matours,2022
Dommartin (Ain),849
Montastruc-de-Salies,267
Saman Rural District,9083
"Lundby, Vordingborg",810
Boissy-le-Châtel,3116
Kruklanki,1077
"Oldendorf, Schleswig-Holstein",1172
Бланкенхайм (Зангерхаузен),1275
La Celle-sur-Morin,1186
"Agia Varvara, Nicosia",1486
"Akbarabad, Zarrin Dasht",129
Pogórze (województwo pomorskie),1093
Les Anses-d'Arlet,3910
La Campana,5165
Gaza (Stadt),524666
"Janów, Silesian Voivodeship",968
Saint-Saturnin-lès-Apt,2606
Dalmacia,861525
"Akbarabad, Chalus",536
Ramallah,27232
Němčice (Moravia meridionale),434
Municipio de Pleasant Valley (Nebraska),199
Werther (Turíngia),3481
Tonghua,2244304
"Yenice, Gercüş",261
Gornozavodsky District,26670
Saint-Sauveur-de-Flée,258
Mirabello,3556
Cugnasco-Gerra,2022
韦尔米斯山麓圣马丁,891
Sunyer,296
Штайнфельд (Мекленбург),554
Pingnan (Guigang),539224
佩尔勒 (约讷省),301
"Bilaspur, Gautam Buddh Nagar",7214
تشارك (خورموج),768
"Bana, Burkina Faso",2891
Syrie,17235787
Ramallah,26566
Recologne (Alta Saona),35
"The Junction, New South Wales",1483
Hebron (Palestina),211459
Torrente de Cinca,1040
Ahigal de Villarino,39
Sulzbach an der Murr,5371
"Montastruc, Hautes-Pyrénées",291
"Saint-Sauveur, Finistère",781
Biskupice (Wieliczka),849
Szestno,826
Le Mée,258
"Saint-Ignace-de-Stanbridge, Quebec",642
Valle de Matamoros,428
Copenhagen Municipality,600483
Okres Kladno,153257
"Naka, Tokushima",11586
Paint Creek (Texas),322
Seri (Darchula),1766
"La Villedieu, Creuse",47
Galera,1116
圣萨蒂尔南莱阿维尼翁,4627
Pepperell (Massachusetts),11592
Gozdowice,127
Peyrelongue-Abos,130
"Itu, Nigeria",122354
Municipio de Andover (Ohio),2828
Rosta (Turijn),4779
Berka vor dem Hainich,865
Fournes-Cabardès,65
米拉贝洛,3567
La Celle-Saint-Cyr,828
Gampel-Bratsch,2084
Lora del Río,18583
Saint-Saturnin (Cantal),217
奧利瓦鎮,1005
"Pleasant Township (Clark County, Ohio)",3230
Sud - Muntenia (development region),3215087
Andon (Alpes Marítimos),571
布兰 (大西洋卢瓦尔省布兰县),9682
Oberdorf am Hochegg,761
Kampanien,5782886
Лез-Англь (Верхние Пиренеи),131
Barranca (distrito de Datem del Marañón),12412
"Balu, Khuzestan",17
普莱桑克 (热尔省),1416
Montastruc (Hautes-Pyrénées),296
Dingzhou,1140637
Pommiers (Rodano),2373
Berlin-Dahlem,16171
La Villedieu (Lozère),53
Heiligenkreuz (Baixa Áustria),1463
喜界町,7507
Horst (Lauenburg),237
"Waltham Township, LaSalle County, Illinois",438
"Brookside, New Jersey",119
Beauregard-Vendon,1108
Starzyno (Puck),1260
Le Plessis-Placy,274
Cueto (Cuba),33011
Chust,66798
Sankt Martin (Gmünd),1210
Soto y Amío,1004
Němčice (Svitavy District),929
"Świętajno, Szczytno County",1919
"Voll, Rauma",481
La Celle-en-Morvan,457
Lolme,142
La Celle-les-Bordes,899
Maranoa Region,13274
La Celle-sous-Chantemerle,160
维里地区圣帕里兹 (涅夫勒省),160
Floreşti-Stoeneşti,8651
Aappilattoq (Groenland-Méridional),126
Desa (Dolj),4989
Breitscheid (Westerwald),2220
Requena (provincie),66486
"La Celle, Puy-de-Dôme",86
Rašovice (Vyškov District),605
Вольский район,27826
Crépy (Pas-de-Calais),169
"Ituzaingó, Corrientes",20680
"Siget, Novi Kneževac",259
"Spitz, Austria",1806
