http://dbpedia.org/ontology/Island,http://dbpedia.org/ontology/populationTotal
Ilhéu Bombom,15
Thurø,3767
Île de Batz,597
海峡群岛,147152
Ilha Kotelny,1
薩爾島,32268
Kauai,67200
Dalupiri Island,627
Chetwode Islands,0
Toau,18
Rakahanga,143
伊尼什默里島,0
Ross Island (Andaman),9
Sainte Anne (Insel),35
Beall Island,0
Abemama,3514
جزيرة ماكيناك,486
Saint Croix,52279
Sylt,20697
科尔古耶夫岛,266
New Hanover Island,16737
Clarence (eiland),0
Styrsö,1119
Kiusiu,12769526
Seszele,98201
Carriacou,7784
Фараулеп,221
Rockall,0
パンテッレリーア,7054
シュガー島 (ミシガン州),726
Tybee Island,2877
Terre-de-Bas (île des Saintes),1000
Leyte (isola),2474012
Spiekeroog,793
Rochedo Hetty,0
Petalouda,0
Табитеуэа,5088
Terceira,55487
波利艾戈斯島,0
Джаннутри,25
Burhou,0
Baltrum,491
Rabi,5190
Солентинаме,1044
Omø,162
Tybee Island (Georgia),3108
Ko Samui,57925
Бачан,63913
帕爾馬羅拉島,0
Geography of Nauru,9483
セーブル島,5
Kosrae,7335
Agioi Apostoloi,0
Hereheretue,52
Ilha Anticosti,225
Røvær,96
Wielki Andaman,345593
Sumatra,49312114
Ibiza (eiland),127148
White Island (Nunavut),0
Ilhas Pordim,0
厄兰岛,24603
賈盧伊特環礁,1656
ニアス島,742704
Oxeia,0
Honshu,95149227
Камчатка,296711
トスカーナ群島,33699
Dokos,19
Bornholm,34904
Île Victoria (Russie),0
Bjørnsund,0
Île-de-Bréhat,372
Bickerton Island,165
Мили,1040
Islote de Cima,0
エロマンガ島,1888
Puka Rua,225
Ōnohara Islands,0
Ellingsøy,2076
Plavnik,0
Prvić (Šibenik),394
賈普坦島,116
Endelave,193
Kosrae,5890
North Jutlandic Island,265438
Spinalonga,0
Vega Island,0
布倫島,722
Скувой,58
Carriacou,7442
Isla Nikumaroro,0
Хольбош,1119
Islas de la Magdalena,13834
Belcher Islands,753
Andaman du Sud,211097
Tatakoto,286
Geography of the Isle of Man,76762
Isla Melville,0
Ibiza,146097
Knox-Atoll,0
Moorea,17562
Suwanosejima,49
Praslin (Seychelles),7589
Île-de-Bréhat,442
Lítla Dímun,0
Timor,3035706
Isla Awaji,141552
Tanegashima,35384
Babuyan,1260
Раиваваэ,885
Экарма,0
Isla San Lorenzo (Alaska),1254
Géographie de la Barbade,304070
Île Rowett,0
Stóra Dímun,7
Lastovo (wyspa),839
Bramble Cay,0
Ummanz,303
Trindade et Martim Vaz,33
Île Saturna,352
Ziemia Północno-Wschodnia,0
Tromsøya,34143
Осмуссаар,4
Psathoura,0
Anaa (Atolón),443
Rockall,0
Pašman,3007
Galveston Island,45957
Lib (île),113
Thurø,3198
Lidingö,28205
Šolta (gemeente),1793
Vanna (Troms),1058
Острова Тиви,2683
Kvitøya,0
Desecheo Island,0
Ilha Galveston,50322
Læsø,1852
Hawaïaanse eilanden,1513165
Corn Islands,7869
Саба (остров),1939
Gozo (ilha),34297
Hovgaard Ø,0
Nouvelle-Bretagne,501840
斯皮尤姆島,0
جزيرة هرشل,0
Île Bruny,568
奎蒂維島,255
East Island (Andaman & Nicobar Islands),17
"North Island, Seychelles",155
Plavnik,0
Southern Coral Group,280
Isola di Dursey,3
Palmarola,0
Daitō Shotō,2259
Île Aïon,471
Isla Wiencke,0
سولاوسي,19987537
Miyake (Tokyo),2293
Espírito Santo (ilha),40106
Lanzarote,132316
Roque del Oeste,0
Shenick Island,0
Diego Garcia,4622
Geography of Cyprus,842178
Tåsinge,6467
父島,1840
Margarita (île),428656
サバ島,2057
Маракеи,2794
Norderney,5958
Whidbey Island,58458
阿米尼,7564
Mota Lava,1788
Keppel Island,0
エーランド島,27750
Puffin Island,0
燒尻島,244
マライタ島,124865
Aion (Insel),462
Chirinkotan,0
塞尼亞島,7703
乌瑟多姆岛,71518
馬勒庫拉島,25302
Brooks Island,1
Graciosa (Wyspy Kanaryjskie),686
Chiloé Island,157042
Île d’Yeu,4851
Saipan,53449
Бикертон,196
Ilha Kangaroo,3854
バリ島,4401719
Чилоэ,165622
Raikoke,0
Gozo,33376
Geography of Puerto Rico,3982891
Ambrym,7025
Lille Pendulum,0
アイルランド島,5552652
Yonaguni,1570
Ontong Java,1974
ランペドゥーザ島,5525
Eubeia,212380
Islas Malvinas,2851
Zhoushan (Insel),389880
Géographie de Guam,170403
Aldabra,12
Bikar,0
Omø (eiland),182
Isla de Ré,16061
Isla de Jueyes,0
Ash Point,0
フォード島,379
薩納納島,53309
Honshū,110365219
Kuchino-erabu-jima,148
Île d'Yeu,5237
Île Moreton,311
Île de Bréhat,443
Lib (Marshall),126
Lastovo,833
Askø,58
Ebon,673
Maui,148408
Hayling Island,17451
Mafia Island,49536
Timor,3313943
Marettimo,330
Brännö,657
Manitoulin Island,12893
Прочида,10265
Suheli Par,9
布雷顿角岛,127041
朗格拉普環礁,18
ビキニ環礁,5
Isola di Okinawa,1409533
Isola di Anvers,50
Madura (Insel),3721173
Huahine,6564
Île-d'Houat,307
Chathaminseln,613
Nuku Hiva,2689
Остров Броутона,0
Dønna,1502
Hisingen,127881
Archipiélago de las Comoras,856608
Filfla,0
D’Arros,47
Föhr,9078
Isole Auckland,0
Hereheretue,62
Réserve écologique des Gannet Islands,0
Kiska,0
澎湖縣,100219
Gyaros,0
Pakin,84
Chatham (wyspa),577
Isole del Principe Edoardo,0
Little Stirrup Cay,40
Olib,141
Муайен,1
Île de Sheppey,40888
Bubaque,9888
烏卡拉島,14959
Manuae (Îles de la Société),0
فو كوك,102927
Murter,4918
John Murray (wyspa),0
Saba (Insel),1993
羅処和島,0
Maloelap,932
Hiva Oa,2100
"Bird Island, Seychelles",38
Остров Херд и острова Макдональд,0
جزيرة ألكسندر,0
Isla Smith,0
Сигни (остров),5
Île d'Ammassalik,2272
Grímsey,84
Isola di Giannutri,28
弗林德斯岛,711
Саут-Маниту,1
Vrgada,234
Tarawa,61439
Dangerous Reef,0
Pentecost (eiland),16631
Norfolk Island,2163
جزيرة فانكوفر,721005
Java (Insel),132470447
Niutao,540
Koltur,2
Hiddensee,1037
Ilha Guafo,4
Ilhéu de Fora (Selvagens),1
El Hierro,10695
Дия (остров),2
ソコトラ島,43355
Riukiu-eilanden,1471697
Ushishir,0
Isla Shaw,247
Tanegashima,31983
Ilha Mansel,0
Öland,27505
阿什莫尔和卡捷群岛,0
Langkawi,90605
Walton Island,0
ヴァラーム,574
Mikurajima,358
Erromango,1868
Juist (eiland),1894
Pemba Island,398130
尼豪島,131
جزر ليوارد (جزر المجتمع),34400
Isola Awaji,153093
Сокорро (остров),46
ロード島,59440
Skúvoy,46
Ilhas Auckland,0
Wyspa Biała (Svalbard),0
Челбахеб,6
Kolbeinsey,0
Île Robert,0
Саона,334
Lord-Howe-Insel,338
Molokini,0
The Pearl-Qatar,12723
Rhode Island (eiland),58475
貝克爾島,0
Grand Cayman,52427
Sachalin,590267
Ganghwa,67474
Tinos,8270
Nekselø,20
Eddystone Rocks (South Shetland Islands),0
Ramsey Island,2
Soros (Echinades),0
Île-de-Bréhat,380
Terra di Peary,0
جزر أنامباس,41773
Trinket Island,2
Рапа-Ити,572
Mataiva,264
New Providence,232490
Фернанду-ди-Норонья,2443
Мауи,162338
Isla de San Martín (Bangladés),4138
Possession Islands,0
基努島,459
Long Island,7880258
Viðoy,600
知理保以島,0
Ambae,10780
Benten-jima (Wakkanai),0
Tepoto Norte,62
Molène,223
Koufonisi,0
Îles Heard-et-MacDonald,0
جزر القنال الإنجليزي,162518
Islas de Barlovento (de la Sociedad),216453
Whitsunday Islands,1508
卡加多斯-卡拉若斯群岛,55
Ронг,1051
Saint Croix (Islas Vírgenes),53090
Keros,0
Bird Key,910
"Мадлен (острова, Канада)",11488
Upolu,154109
拉肯巴島,2252
Uznam,82466
Šolta,1798
Moorea,17534
Serifopoula,0
Nui,611
Île aux Ours,9
アスンシオン島,0
Серф (остров),103
Côte (Colombie-Britannique),5090
Isola Birkenhauer,0
Tromsøya,34462
Wyspy Kokosowe (Mjanma),906
羅斯島,93
Portsea,148149
Гавдопула,3
Conception (Seszele),0
Sicilië,5233702
大巴里爾島,846
Isla de Arros,44
Île de Ré,19448
Poel,2546
Caher Island,0
Geography of Bermuda,67207
Butaritari,4941
Saint-François-Atoll,0
Majorka,927022
Raroia,222
Lobos (Wyspy Kanaryjskie),0
Isole del Mar dei Coralli,4
ウチリック環礁,376
White Island (Isole Scilly),0
阿德里島,0
Pidgeon Island,0
Osmussaar,4
Вентотене (город),694
Narcondam,17
Coëtivy,240
四国,4418544
Nakanoshima (Kagoshima),159
إسبيريتو سانتو,38649
Lopud,234
Thurø,3386
Ustica,1327
Ujelang Atoll,0
La Digue,2690
Sakao,13
Isole Chatham,598
Апатаки,356
Conception Island (Seychellen),0
ビクトリア島,1860
Isla de Lambay,6
Lamotrek,342
Seychelles,96660
Vis,3475
Alabat (Insel),40731
Beigan,2476
スネアーズ諸島,0
扎金索斯州,41348
Kotielnyj,1
Capraia Isola,414
Borneo,19750843
Heimaey,4589
Хауленд (остров),0
Spitsbergen,2536
Maewo,3399
Tarawa,54321
Grande Caimão,53594
Saona (isola),309
Islas Los Roques,3
Nikumaroro,0
Anatom,952
Leeward Islands (Society Islands),33847
"Grip, Norway",107
Panay,4420198
Wyspa Mackinac,468
Sark,588
Samos,29911
Trindade e Martim Vaz,30
Îles Coco,1007
São Nicolau (Kap Verde),12725
Nonouti,2541
賽厄島,375
Тулаги,1125
