http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/ontology/squadNumber
Tipografía Nacional,5
2013–14 Maccabi Tel Aviv F.C. season,19
Fortuna Ålesund,16
2003–04 Manchester City F.C. season,31
CWKS Resovia,16
Vipers SC,6
Tipografía Nacional,14
2013–14 Maccabi Tel Aviv F.C. season,31
HSG Wetzlar,7
Union Royale La Louvière Centre,88
Benadir SC,11
Los Angeles Skyhawks,13
Banadir Sports Club,5
Manchester City Football Club 2002-2003,15
CWKS Resovia,9
Banaadir Telecom FC,2
CWKS Resovia,17
Manchester City Football Club 2004-2005,38
CWKS Resovia,9
2013–14 Maccabi Tel Aviv F.C. season,29
2014–15 Viborg FF season,15
HSG Wetzlar,27
Shandong Province Youth Football Team,20
Sport Bissau e Benfica,5
Sport Bissau e Benfica,2
CWKS Resovia,3
Manchester City Football Club 2004-2005,27
2003–04 Manchester City F.C. season,34
Manchester City Football Club 2004-2005,38
2003–04 Manchester City F.C. season,25
Manchester City Football Club 2004-2005,3
Banadir Sports Club,26
山东省男子队 (2011年),4
Manchester City Football Club 2002-2003,36
Toledo BM,2
Shandong Province Youth Football Team,30
2003–04 Manchester City F.C. season,27
Manama Club,9
UR La Louvière Centre,8
FK Brskovo,34
Tipografía Nacional,7
HSG Wetzlar,25
HSG Wetzlar,26
Banadir Sports Club,23
2014–15 Viborg FF season,19
HSG Wetzlar,16
Vipers SC,7
Toledo BM,22
山东省男子队 (2011年),26
Tenaga Nasional Berhad HC,19
Shandong Province Youth Football Team,7
Tacoma Tides,1
UR La Louvière Centre,84
Vipers SC,28
HSG Wetzlar,23
Resovia Rzeszów,15
FK Bratstvo Cijevna,15
HBL FC,9
Benfica de Bissau,24
F.C. Cape Town,30
Manchester City Football Club 2004-2005,42
HSG Wetzlar,29
Handballspielgemeinschaft Wetzlar Handball,28
