http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/numberOfStudents
Bauhaus-Universität Weimar,4049
St. John's College High School,1291
Los Angeles Valley College,19195
Derry Township School District,3006
"Pacific High School (North Highlands, California)",2753
Helix High School,2413
Koninklijke Academie van Beeldende Kunsten,867
Università Tecnica di Lisbona,26391
Harvard Graduate School of Design,1003
Université de Deusto,1902
Busan Foreign School,78
Portland Christian Junior/Senior High School,396
Université du Monténégro,19823
Supinfo,7248
Dixie State University,8114
Universiteit van Göteborg,31839
Sullivan East High School,749
North Shore Country Day School,469
Edgewood Academy,321
Alexandru Ioan Cuza University,26047
"Campion School, Mumbai",731
Middletown High School (Maryland),1153
Far Hills Country Day School,386
Neshaminy High School,2477
Universidade de Indiana,105022
Twin Rivers Unified School District,24069
Miami Dade College,155503
Уральский государственный архитектурно-художественный университет,2468
Universität Suceava,9599
Greensward Academy,1574
Universität Petru Maior,4039
Central University of Technology,12991
Walter Sisulu-universiteit,20186
Cypress Falls High School,3706
Universidad de Acadia,4199
Universidad de Montenegro,18311
Greater Latrobe School District,3454
Thunder Mountain High School,625
Université de Paris X,32764
Lindsay Road National School,53
Falls City High School (Oregon),74
Hartsville High School,1251
Tulse Hill School,0
"Riverside High School (Lake County, Ohio)",1359
Jonesboro High School (Arkansas),1035
Burlington High School (Wisconsin),1388
Salem Academy Christian Schools,817
Katimavik Elementary School,704
Minneapolis Community and Technical College,13281
Universität für Finanz- und Wirtschaftswissenschaften Nordostchinas,18247
Lower Merion High School,1259
Fayetteville-Manlius Central School District,1595
Testbourne Community School,936
Agartala Government Medical College,435
Burris Laboratory School,719
Northwest Pennsylvania Collegiate Academy,924
Université de Wakayama,3876
University of Kinshasa,23826
Accra Academy,2245
Università della Slesia,45087
Sullivan County School District,694
Università di Montpellier,51140
Adelante High School,917
Pendekanti Law College,670
Cumnor House School,254
"Bonneville High School (Washington Terrace, Utah)",1346
Nome-Beltz Junior/Senior High School,297
Stanford University,13155
McIntosh High School,1373
National University of San Luis,14258
Universidad de Colombo,9653
Lancaster Girls' Grammar School,983
Central University of Technology,12544
South African College Schools,644
Белорусский государственный университет,47863
Augustana-Hochschule Neuendettelsau,184
Nationale Universität Krywyj Rih,21119
Riverside Beaver County School District,1625
Université de médecine et pharmacie Grigore T. Popa,10363
Thurston High School,1826
Universiteit Luxemburg,4985
Sentinel Secondary School,1051
Montebello High School,2849
Rust College,733
John Taylor High School,1332
Bloomington High School (California),2418
Mountain Brook High School,1106
川北医学院,9593
Monroe High School (Oregon),136
Bezalel Academy of Arts and Design,2024
"Stratford High School (Goose Creek, South Carolina)",2492
Universidad de Concepción,24560
St. Mary's Academy (Cherry Hills Village),588
Университет штата Айова,34535
Little Village Lawndale High School Campus,331
Universidad del Cauca,15390
Whitchurch High School,2157
Union County Academy for Allied Health Sciences,256
Tecumseh High School (Michigan),1013
St. John's High School (Massachusetts),1005
Fayetteville High School (Arkansas),1806
Pittsburgh Creative and Performing Arts School,734
Peninsula High School (San Bruno),205
Pacific Northern Academy,138
Universidade Nova de Lisboa,22773
Jefferson County High School (Georgia),894
Columbia University,1858
Dalhousie University,16078
Charleston Southern University,3863
浸信會呂明才中學,1035
循道中學,731
Bailey's Elementary School for the Arts and Sciences,1668
École de l'Air,550
Derry Township School District,3517
École nationale vétérinaire d'Alfort,699
The Beacon School,1217
Uniwersytet Princeton,8751
Université d'Afrique,1256
"Chaucer School, Sheffield",904
Bellefonte Area School District,2779
Deshler High School (Alabama),413
Parisutham Institute of Technology and Science,1088
Hudson High School (Wisconsin),1388
Университет Восточной Финляндии,15923
Università di Edimburgo,38952
Исламский университет Медины,20233
Medizinische Universität Graz,4041
Harvard Graduate School of Design,160
克兰纳特管理学院,3199
Ralph Thoresby School,1141
Deltona High School,1345
Vinehall School,278
EM Strasbourg Business School,3364
Heywood Community High School,204
Greenwood High School (Mississippi),744
Brandeis International Business School,421
Национальный университет Сан-Антонио Абад,15444
North Augusta High School,1353
Université des Indes occidentales,45384
Florida State College at Jacksonville,83780
"Kasachisches Institut für Management, Wirtschaft und Prognostizierung",3143
Collège Jean de la Mennais,1485
McLean School of Maryland,312
Cambrian School and College,8309
Clarks Summit University,980
Brandon School and Residential Treatment Center,111
Martin Luther King High School (Philadelphia),1206
Chatham Day School,152
Arizona State University,4083
Universidad de Deusto,7658
Gateway High School (Colorado),2414
"Sri Sangamitta Balika National School, Matale",2621
Elyria High School,2089
Stanfield Secondary School,237
Bohunt School,1506
جامعة البنجاب,50909
St Laurence School,1386
Gilbert Junior-Senior High School,362
جامعة أرمينيا الحكومية للهندسة,10683
Cape Cod Academy,214
Northern Michigan University,8118
Universität Perugia,32555
"Diocesan School for Girls, Grahamstown",535
American School Foundation of Monterrey,2593
Katy High School,2503
Lordswood Girls' School,902
Milton High School (Georgia),1990
Rock Falls High School,800
James Madison High School (Dallas),470
Marianas High School,1375
愛知学院大学,0
Institut national des sciences appliquées de Toulouse,2254
Coeur d'Alene Charter Academy,602
La Salle High School Faisalabad,2072
Universidade Baylor,16374
"Ponderosa High School (Parker, Colorado)",1382
Crofton School,1164
東洋大学,26709
Université du Massachusetts,55977
T. H. Williams High School,1208
"Anglo Chinese School, Klang",1112
Coppenhall High School,822
The Gifted Students' School-Iraq,61
Gymnasium 9 (Simferopol),661
Jerudong International School,1461
Wyedean School,1394
Derry Township School District,3257
James Buchanan High School,774
Liberton High School,604
جامعة قابس,26361
École Gabrielle-Roy (Surrey),566
جامعة نيو إنكلاند كلية الطب التقويمي,494
Benguet State University,10865
Marshfield High School (Missouri),810
"St John's College, Johannesburg",1531
Mt. Hood Community College,33128
William Edwards School,1313
Escola Superior de música e arte dramática Felix Mendelssohn Bartholdy,879
University of Maine at Machias,1048
"Coronado High School (Scottsdale, Arizona)",1623
Paine College,638
Morgantown High School,1527
"International College of Management, Sydney",1178
Hanley Castle High School,966
New Valley Continuation High School,169
Institut d'études politiques d'Aix-en-Provence,1944
École secondaire publique Louis-Riel,1116
Frisco High School,1515
Roy High School (Utah),1518
Canton Area School District,976
University of La Serena,8096
Forest Hills Central High School,1272
Drama Studio London,105
"Huntington School, York",1557
Universidad de Cantabria,13921
Universität Banja Luka,15959
"St Michael's Church of England High School, Crosby",887
SMK Mambau,1391
"The Castle School, Taunton",1463
Kaiserslautern University of Technology,13
Cuesta College,9208
Universidad Nacional del Chaco Austral,1699
George Washington University School of Medicine & Health Sciences,630
Macquarie University,43734
Northumberland Regional High School,829
Cumberland High School (Wisconsin),308
Université pour femmes Ewha,16939
Gaston Junior/Senior High School,471
Seattle Country Day School,426
Swami Vivekananda Institute of Technology,2361
Heinrich-von-Gagern-Gymnasium,1111
Rich East High School,1011
Berner Fachhochschule,5407
Reddish Vale High School,1218
Maplebrook School,32
Mountain View College Academy,151
Collins College of Hospitality Management,910
Banovallum School,610
Harvard Graduate School of Design,380
Wayne High School (Indiana),1636
Harvard Graduate School of Design,191
Universiteit van Tallinn,8968
"Apeejay School, Pitampura, Delhi",2213
Omaha Northwest High School,1322
Mid Valley School District,1770
Cypress Lake High School,1556
Università Claude-Bernard Lyon 1,29904
Arts Academy in the Woods,271
Manchester Academy (secondary school),872
Kolej Tuanku Ja'afar,621
"Clark High School (Plano, Texas)",1511
King's Hall School,286
Uniwersytet Talliński,10116
Cotwall End Primary School,353
Dartmouth College,5782
柬埔寨金边皇家大学,17825
St. Vrain Valley School District,28615
Faculte de Theologie Evangelique de Boma,50
Scituate High School (Rhode Island),517
Coastal Christian School,190
Universidad Regiomontana,8148
Mediterranea University of Reggio Calabria,10
Collège Harper,51916
Ressu-Gymnasium,691
Université de Maurice,12994
جامعة ماك إيوان,23785
Azabu High School,1837
Instituto Superior de Engenharia do Porto,7773
Wit-Russische Staatsuniversiteit,39664
Science Park High School (New Jersey),900
Белорусский государственный университет информатики и радиоэлектроники,14261
"York House School, Redheath",259
"Wakefield High School (Arlington County, Virginia)",1558
Institut d’études politiques d’Aix-en-Provence,1704
"Paul Laurence Dunbar High School (Fort Worth, Texas)",856
Hochschule Mainz,4031
Nuova Università di Lisbona,18248
Kings Manor Community College,1330
Yuba City Charter School,153
Kidderminster College,2619
Bishop McNamara High School,880
Rogue River High School,485
Crow Middle/High School,196
Université de Tunis,32499
力学と電気の専門学校,1512
Epic Bible College,294
St Hilda's Church of England High School,940
Universität von Ghana,43976
Crandall University,670
"Denbigh High School, Denbighshire",536
Technische Universität Kielce,9096
The James Young High School,1035
Shenendehowa Central School District,11401
Clear Horizons Early College High School,335
École nationale vétérinaire d’Alfort,680
Sapir Academic College,7990
Texline Independent School District,167
Central Baptist College,854
Heidelberg University (Ohio),1040
Florida Southern College,2495
White Station High School,2370
Université de l'Atlantique,11404
Prout School,662
Zurich University of Applied Sciences,17460
Outwood Academy Danum,1629
Tacoma School of the Arts,549
Tennessee Governor's Academy for Math and Science,24
Langley Fine Arts School,913
Stirling High School,888
"Leland High School (San Jose, California)",1923
West Orange-Cove Consolidated Independent School District,2609
Echo School (Oregon),298
مدرسة طب جامعة ديوك,440
Oakwood Park Grammar School,898
Rappahannock County High School,385
Santa Fe Indian School,677
Purulia Polytechnic,456
Trevor G. Browne High School,3393
University of León,14
Niagara District Secondary School,258
Catholic Memorial School,698
Williamson Senior High School,663
British School in the Netherlands,2200
"St. Xavier's School, Durgapur",999
Penang Free School,1956
"Carlsbad High School (Carlsbad, New Mexico)",2194
Academia de Bellas Artes Nanyang,2137
Chilton Trinity School,918
Erasmus Universiteit Rotterdam,24610
Osborne High School (Georgia),2144
Dulwich College Suzhou,943
Grey High School,804
Bucerius Law School,521
Colchester Sixth Form College,3160
Summer Creek High School,1877
"Coronado High School (El Paso, Texas)",3327
Universidade Carlos III de Madrid,18182
University of Colorado Denver,18621
Universidade Federal da Bahia,27974
Fullerton College,21450
Ndejje University,5923
汉堡大学,38872
Gairloch High School,157
Università del Salento,16041
West Davidson High School,771
Linnaeus University,14265
EM Lyon Business School,3718
Singidunum University,10477
Universidad Politécnica de Filipinas,42229
Laney College,17885
Canarsie High School,2807
Sarah Tucker College,3118
"Government Science College, Matale",499
Archbishop Temple School,747
David Oppenheimer Elementary School,371
基尔马诺克学院,589
Madrid–Waddington Central School,760
Northeastern High School (Indiana),331
Susquenita School District,1481
Sunny Hills High School,2335
Lakeridge High School,1095
斯图加特大学,23982
Madison High School (Idaho),996
Uniwersytet w Maceracie,12751
Glasscock County Independent School District,222
Souderton Area High School,3172
Universität Alexandru Ioan Cuza Iași,21848
Université du Salento,19167
Université de Séoul,9553
Harlington Upper School,1232
Universidad de la Cuenca del Plata,1987
Koninklijke Academie van Beeldende Kunsten,1022
Theodore Roosevelt High School (Gary),631
Université Roi Juan Carlos,40240
Università di Lleida,9654
Université de la Réunion,11107
Allatoona High School,1953
吉林省实验中学,4079
Universiteti i Prishtinës,52
Western Technical-Commercial School,1065
Weir High School,692
Forest Lake Academy,388
Hart County High School,1337
University of Rhode Island,17177
フランクフルト音楽・舞台芸術大学,790
Hamilton High School (Texas),244
卓克索大學,23597
Bishop Johnson School and College,9300
Nordwest-Universität (Südafrika),57206
Associated Hebrew Schools of Toronto,1936
Highlands Ranch High School,1552
Université de médecine de Lublin,6382
The Apprentice School,847
Università Politecnica delle Marche,18349
Cressex Community School,829
Marlin High School (Texas),250
Del Mar College,13962
Lisle High School,659
Alpena Community College,1939
ESME Sudria,1542
"Loreto Secondary School, Navan",1
Pierre Elliott Trudeau High School,1787
Universidad Full Sail,17686
Mohonasen High School,1007
Whitinsville Christian School,630
Crichton Street Public School,561
University of Cauca,13238
Uniwersytet w Sassari,13561
Libera Università Maria SS. Assunta,7
Henley College Coventry,5288
Słowacki Uniwersytet Techniczny w Bratysławie,19487
Universidad Drexel,29367
Université de Teramo,11656
Technische Universiteit Eindhoven,8638
Claysburg-Kimmel School District,990
National Institute of Technology Agartala,2762
Walker-Hackensack-Akeley High School,246
West Somerset College,1261
John Marshall High School (Los Angeles),2728
Ankole Western University,341
Bridgewater School,621
جامعة غرب باريس نانتير لاديفونس,35242
Marian Central Catholic High School,607
Geneva Academy,37
East High School (Des Moines),2232
Wyoming Catholic College,131
جامعة كييتي,30863
光州科学技術院,1833
James Gillespie's High School,1331
Padua Franciscan High School,952
Omaha South High School,1646
马德里理工大学,35869
Crispus Attucks High School,491
Stonesoup School,27
Bangkok University,22369
Mapleton Junior/Senior High School,79
Millsaps College,955
Штутгартская высшая техническая школа,4
Universidad de Tamkang,24207
Mansfield High School (Massachusetts),1394
جامعة برنستون,7190
Хемницкий технический университет,9562
C. S. Lewis Academy,258
Trinity School for Ministry,171
National Law University Odisha,602
Universidad de Finlandia Oriental,15075
Firth Park Academy,1663
St. Vincent's High School,3898
Newark Catholic High School,333
Gymnasium der Technischen Universität Kaunas,296
The Bulmershe School,1114
North Gwinnett High School,2968
University of Monastir,26200
Handsworth Grange Community Sports College,1098
哈佛大学文理研究生院,4043
Thomas Jefferson Arts Academy,987
"Holy Cross School (Salem, India)",3965
Robert F. Hall Catholic Secondary School,1655
Mfantsipim School,2441
The Hill School,48693
Spotsylvania High School,1022
Word of God Christian Academy,192
Morris Catholic High School,383
Universidad de África,1212
王立プノンペン大学,18898
"Southwest High School (Fort Worth, Texas)",1360
SMS Tengku Muhammad Faris Petra,905
American University of Afghanistan,967
Tunis El Manar University,48621
Naval School (Portugal),252
Cambria Heights School District,1537
The Regent's International School Bangkok,588
Abilene Christian University,4220
Uniwersytet Medyczny w Lublinie,6978
Landau Forte College,899
Raman Research Institute,45
Blessed Cardinal Newman Catholic High School,1313
Томский государственный педагогический университет,7195
Chalmers University of Technology,10157
Università di Macquarie,40698
Beachwood City Schools,1254
Weiser High School,525
Broward College,59351
Westmont Hilltop School District,1392
Samuel Robertson Technical Secondary School,878
"Presentation College, Bray",645
Sichuan Agricultural University,40848
American School in Japan,1363
Brno University of Technology,22995
Universidade Nacional do Laos,27046
Delta State University,3465
"Saint Joseph's Academy, Kilmarnock",691
Chopticon High School,1727
Southeastern Greene School District,584
Cypress Bay High School,3499
"Northeast High School (St. Petersburg, Florida)",1896
Carlucci American International School of Lisbon,767
Туркменский государственный институт экономики и управления,3272
FON University,5290
Isidore Newman School,1006
