http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/populationTotal
Thirupuvanam,16642
Komeh,2256
General Roca (Río Negro),79891
Khowai,24912
Rożyszcze,11724
General Alvear (Mendoza),34676
Kaptanganj,10095
Staré Hobzí,569
古拉奥蒂,48756
海法,324559
Starokostiantyniv,36984
Bhawana,59647
Acatic,19195
يونزين (ناغاساكي),48990
Juchitlán,6392
Shergarh (Uttar Pradesh),12154
蟹田町,3267
Baruipur,50437
Vadia,4859
Gurgaon Rural,17430
Maudaha,41337
Udajpur,445222
North Dumdum,230009
Ambaliyasan,6324
Pinjore,36629
帕德马普尔,20201
Taixing,1137302
Гадяч,24260
Tsuchiura,137110
Vikasnagar,13796
Cruz (Ceará),22225
Hashtpar,51225
Graneros,32193
Naushehra,10104
Tanakpur,39902
Deoranian,17314
Taixing,1036173
Hlobyne,8844
Chiknayakanhalli,23463
阿久瓦,15559
Brianka,48341
Malekan,27369
Nakhon Sawan,116625
Leova,10326
Sanmu,63333
Valle de Juárez,5696
Zibashahr,9537
马赫罗尼,7823
Хеврон,268973
Khera Khurd,7412
Ipiales,121037
Mixtlán,3401
Cupcini,9182
Haaren (Aachen),10810
Charata,24682
Okayama (cidade),613514
Rapar,59939
Xianning,3143391
Khamaria,31882
Mahudha,13682
Sangli-Miraj-Kupwad,447330
Honiara,68369
Kondor,5350
Fariha,5971
南丹市,36297
"St. Anthony, Minnesota",9305
Ayagawa,25206
كلاته خيج,6306
"Tachikawa, Tokyo",227778
Tindwari,8068
Naqneh,7648
Gomishan,13545
Patnagarh,25856
فوينتي أوبيخونا (قرطبة),5352
Chibougamau,6913
Vazvan,5752
Mitoyo,63849
Khaliapali,5260
Tangerang do Sul,1193132
Assandh,26265
Prévost (Quebec),11655
Aizuwakamatsu,146001
إميزو (توياما),85873
オッペアーノ,8248
萨拉曼卡,190481
Куч-Бихар,124403
Kothnur,22780
Imizu,89361
"Usuda, Nagano",15718
作手村,2598
Tilpat,5536
Lauthaha,7532
Tabacundo,6566
Kuszk (Isfahan),10938
Imabari (Ehime),168605
Dalkhola,70370
Салехабад (Хамадан),7728
Chakhtarsk,51576
"Nagano, Nagano",420020
ناها (أوكيناوا),295994
حويق,1276
محمديه (قزوين),39047
貝爾加拉 (烏拉圭),4009
Kodigenahalli,14303
Cachi (Salta),2283
卡洛斯帕斯鎮,62263
Sangar,6351
Турсунзаде,30628
Avola,31989
Hebron,207197
فيلنوهيرسك,26300
布德沃爾,101979
Удайпур,555160
Fatehpur Chaurasi,5598
Battambang,148349
Hebron (Palestina),215716
Barhalganj,119618
Acatic,17317
Tumaco,163277
Valle del Zalabí,2336
Kheralu,22891
佩烏莫,14362
奥尔萨拉迪普利亚,3988
Ramallah,24520
Sancoale,14398
ルサカ,2057437
Caivano,34874
"Ranipur, Uttarakhand",37154
Уаско,10811
"Eshqabad, Razavi Khorasan",1194
"Kuroshio, Kōchi",12513
桐生市,101455
Akhnoor,11173
Taixing,896144
Shizuoka,603421
Ghatampur,30164
Garian,206985
كوماغايا (سايتاما),189494
Sefid Dasht,6068
Raipur Rani,7357
Qeydar,34310
Koch Bihar (Stadt),130402
Hōfu,104085
Florestal,6903
Сейдун,6488
Ōsaki,133950
Petare,360987
Maham,17571
Ishigaki,53245
هشجين,5056
Dhahran,132256
Manikpur Sarhat,13163
Tsukubamirai,48290
Runiz,6209
Duyun,540653
Carutapera,21278
Makarba,17146
Chhota Udaipur,30251
Villamanrique de la Condesa,4123
Bajva,9649
Kutiyana,17032
Nai Bazar,12136
Khorramabad (Mazandaran),9677
Kerakat,12960
Curitibanos,33885
صفرو,68193
Taixing,993816
"Shady Cove, Oregon",2794
Farooqnagar,38093
Matsue,188078
Dubai International City,122457
Kela Chay,13031
Bandar-e Genawe,67116
Loudi,3676139
Sundargarh,45706
Qal'eh-ye Tol,10103
Kurgunta,7719
Xinle,389142
"Hagerstown, Maryland",40477
Témara,282805
"Matamoros, Coahuila",58971
Naraingarh,30769
维贾耶普拉,31079
Черноморск (город),55543
Loudi,4248824
蘇菲安,9688
"Bromont, Quebec",7138
Rudrapur,1333385
Rafah,185793
Mahuvar,8760
三豐市,69411
Сигуатепеке,69713
Nowodnistrowsk,11934
Cheeka,43360
Rampur Maniharan,28292
"Florești, Moldova",14081
巴加特迪,33227
Lianyuan,1020007
Kanchrapara,118665
科迪盖纳哈尔利,11423
Shirvan (Iran),97063
Adjohoun,54535
"Tempoal de Sánchez, Veracruz",12178
Umarkhed,47720
Lasht-e Nesha,10104
Буский повят,78617
Acarigua,178481
Forbesganj,52196
科利科,8
Niyodogawa,8156
Santo Domingo (Equador),481698
梅格拉杰,10419
Araioses,40269
"Sirsi, Karnataka",71119
Kanodar,9510
Chornomorsk,65683
霍尼亚拉,51584
立川市,191905
Jingjiang,533618
Paine (Chile),42422
ゴロンタロ,175441
Chanasma,14864
Gohana,74069
San Ramón de la Nueva Orán,82309
Calapor,11514
Harij,16229
Bhawanipatna,83369
"Kotwa, India",12344
Hodal,60593
Мачали,41844
Dingzhou,1293212
Carrión de los Céspedes,2550
Bolechów (miasto),19830
米爾諾格勒,56531
Verjnodniprovsk,17615
香南市,36376
Thaltej,51161
Abdan,5338
Mataundh,6595
恰莫利戈佩斯赫瓦尔,81211
アルコルコン,152985
Huadian,521357
拉迈,3668
Lakarka,7013
Lathikata,6269
Агрестина,24879
Umarkhed,39948
Chamgardan,16173
Керенд-э-Герб,7169
Atotonilco El Alto,56648
Azizpur,9599
Villarrobledo,32398
库马尔加特,14502
Daye,897246
Takaoka,193624
Sefrou,66221
Rohraband,5039
Lauthaha,7456
Al Amarat,61412
Omitama,49744
Ipiales,117152
Jalostotitlán,67556
Gharyan,170632
Ranavav,49917
巴苏德布普尔,206668
Kitahiroshima,60330
Vachkivtsi,4854
Villa Purificación,10159
Ausa (città),250852
Kazlų Rūda (plaats),6348
加劳恩达,26735
Dharoti Khurd,33107
Itaituba,97473
贾夫拉巴德,28318
Tempoal de Sánchez,11782
Tchoust,74328
Guirim,6397
Sasauli,14207
Osaki,172753
Neem-Ka-Thana,79510
Huejuquilla el Alto,8077
قرة آغاج,3935
Barwadih,7099
واكاياما (واكاياما),355792
Daveluyville,815
Khariar,15000
Matamoros (Coahuila),44816
Al-Aghwat,129161
法泰赫普尔乔拉西,6593
迪格维贾伊格拉姆,9709
Makhdumpur,33434
Hagerstown (Maryland),41861
Maharajganj (hoofdstad),21361
"Bhadravati, Maharashtra",69893
Gorontalo (ville),187908
鲁拉,12885
فياروبليدو,26591
Madhogarh,48845
卡內魯將軍鎮 (巴拉那州),14065
Municipio de Tolimán (Jalisco),8364
Dastjerd,6529
Alcaudete,12182
Ajhuwa,17150
"Jainagar, Bihar",29718
Belalcázar (Cordoue),2309
Torban (Khetri Leikai),4472
木曽町,16428
Sualkuchi,13035
نخل (مصر),12823
"Chattahoochee Hills, Georgia",2606
Fuente Obejuna,4661
Ciudad López Mateos,434737
Dharmanagar,44789
大津市,382589
Amvrosiivka,23805
صفي أباد (خراسان),3068
Catió,8283
San Ramón de la Nueva Orán,80312
Suzano,245481
Juchitlán,5736
Andahuaylas,39418
洛塔 (智利),39779
Iwakuni,116486
Khrew,15551
Guadalcázar (Córdoba),1411
كوشك (إصفهان),10330
Chaklasi,33212
جنوب تانغيرانغ,1348281
Ayagawa,26120
Venturosa,19478
Gajraula,65162
Kumagaya,187465
Naha (Okinawa),367133
Anbar Olum,5465
チャラタ,23426
ホニアラ,70307
Bagh-e Bahadoran,8940
Tetyjów,17161
Kirovs'k,30184
Molina (Curicó),41486
Pipiganj,10024
Bagasara,33454
Kawardha,50084
Самбалпур,328967
Powiat de Busko,65968
Nasukarasuyama,32646
نافتش,3681
Petare,357704
Mingora,228859
北卡拉斯,6591
塔爾塔爾,10116
Nayagarh,20726
ورزقان,3451
Chirkunda,49835
Khordha,130217
Ataq,34427
Sewastopol,409832
Abadeh Tashk,5752
Vahdattiyeh,10740
ايواوغلي,3059
Pervomaïsk (oblast de Mykolaïv),54314
رحيم أباد (غيلان),7135
克拉斯諾赫拉德,30539
Eshkenan,7504
Saraidhela,30283
Bangarapet,42985
Gun Carriage Factory Jabalpur,18621
涟源市,917650
Tadpatri,97662
Fossambault-sur-le-Lac,1607
Донгхой,136
Johns Creek,80634
Ranavav,50058
Chanasma,15689
Karachiya,7529
Berestechko,1692
Harand,7219
小美玉市,53908
Shimonoseki,280478
Shizuoka (cidade),711063
Araioses,36724
Dhrol,24795
"Moriguchi, Osaka",125507
古尔加奥恩鲁拉尔,16595
Hola Prystan,16999
Collipulli,20126
奇特巴拉加奥恩,18400
Rampur Maniharan,27311
Bhikhi,19625
Songadh,37623
Ganj Dundawara,50031
فيلا ديل ريو (قرطبة),7841
Camaçari,285646
Sufian,8000
Хорасган,101810
Rapar,52486
تشامغردان,19989
达斯纳,20150
比克拉姆加恩杰,117335
Sarāb (Stadt),40147
Juschnoukrajinsk,44108
Babrala,16898
Korehi,2954
كوليبيولي (تشيلي),22354
斯哈赫科特,28541
科亞卡科,297253
Ahualulco de Mercado,24376
道雷赫拉,17724
Tapalpa,15222
Gariadhar,29442
Szirwan (Iran),68748
Umbergaon,26748
Вильямартин,13631
Samthar,19258
Surendranagar Dudhrej,140593
Dasna,18998
تازه أباد (كرمانشاه),7292
Beauceville,6769
Mitoyo,83180
Salaya,34055
Gohand,7295
Fatehganj Purvi,7112
普拉恩蒂杰,20462
El Harrach,48055
Zarasai,8571
Mosty (miasto),16456
Sarsawa,19122
Shiggaon,24772
Касгандж,92428
Khairabad (Sitapur),47153
"Nili, Afghanistan",16811
宇部市,178459
Catió,9227
Tonaya,5237
Tanda (Rampur),43302
Municipio Tomatlán (Jalisco),37496
Porompat,4936
贾卡尔马恩迪,8041
Titron,9279
Банджарбару,193623
Rustamnagar Sahaspur,13449
洛斯帕拉西奥西维利亚夫兰卡,34569
Nasrabad (Esfahan),6283
Ratia (India),33292
Kheralu,24757
巴瓦尔,26621
Kichha,27471
Dezab,10307
Dharaan,153728
巴利亚里,13055
Santiponce,7414
诺沃斯赫赫拉,8358
阿巴代赫塔什克,7453
Barika,121786
Pratapsasan,11276
卡特拉斯,45001
Baraut,104615
阿維爾,41081
Koratty,16399
Ивакуни,165030
Villamartín,11490
Gandevi,14668
Tuljapur,29850
Araioses,31536
Moriguchi,129735
Yatsushiro,157210
Mainaguri,29449
前橋市,347587
Venturosa,17761
Katras,55371
Kotwa,12307
Uchana,40913
纳尔卡恩达,2975
Malin (obwód żytomierski),26906
"Kōge, Fukuoka",7741
Khedbrahma,23042
赤壁市,547760
拉希马特普尔,16504
Shōdoshima,18410
Rewari (Rural),4502
Gawan,8279
Mahudha,13523
قلعة تل,9256
الخليل,243252
Honiara,58662
Morella,2613
塞塔尼亚,34342
Jewar,29556
هاجرستاون,31543
Chaboksar,6641
Iwakuni,114579
Chacabuco,38856
Dataganj,18972
"Kiryū, Gunma",126989
Radha Kunda,5473
"Gol Tappeh, Hamadan",1901
Davorlim,10330
Лозовая,68605
Titron,9811
Achalpur,689701
