http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/areaTotal
Paro (unità periferica),243998314
Karpathos (district régional),362486882
Unidad periférica de Piería,1459451742
Elide (unità periferica),2583637800
Jednostka regionalna Wyspy,932802821
Jednostka regionalna Kozani,3510020756
Milos (unidade regional),365611399
Pieria (unità periferica),1527004395
Unidad periférica de Eubea,4002002432
Etolia-Acarnania,5723806240
Rodopi (Regionalbezirk),2581479224
Béotie,3332690615
Kilkis (regionale eenheid),2600044456
Corinthia,2342283137
Jednostka regionalna Pella,2396652541
Thesprotia,1550718902
西雅典,66806388
Jednostka regionalna Korfu,648792007
干尼亞州,2406346115
Heraclião (unidade regional),2651112854
Jednostka regionalna Rodos,1554942297
Atenas Septentrional,139932846
Jednostka regionalna Heraklion,2636214955
Unidad periférica de Islas,871447188
Kilkis (unità periferica),2603154847
Салоники (ном),3839201852
Imathia,1623968293
