http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/populationTotal
Puch bei Weiz,2144
Liebenau (Alta Áustria),1802
Saint-Luc (Valais),2008
"Iskra, Kuyavian-Pomeranian Voivodeship",108
Wilkowo Nowowiejskie,173
"Municipio de Pleasant Valley (condado de Fayette, Iowa)",1002
Dompierre-sur-Nièvre,152
Río Segundo (cidade),23000
Coin-lès-Cuvry,667
Torrente de Cinca,1002
Němčice nad Hanou,2026
"Zano, Bam",917
Langeneß,127
Saint-Sauveur (Finistère),756
贝恩多夫 (莱茵兰-普法尔茨州),539
Le Plessis-Hébert,418
Perreux (Loire),2167
Крепи (Эна),1946
"Tila, Chiapas",71432
Mée,192
Kirchdorf an der Krems,4070
Sankt Martin am Wöllmißberg,873
Ahillones,1064
Taufkirchen an der Trattnach,2054
Dommartin-le-Saint-Père,279
"Waltham Township, LaSalle County, Illinois",446
Le Plessis-Pâté,3951
Nandgaon (Uttar Pradesh),9956
Soisy-sur-École,1390
Neuenkirchen (Landhagen),2373
Tales,902
Montagny-près-Louhans,449
Bevern (Holstein),587
Boissy-lès-Perche,516
"Siget, Novi Kneževac",247
Ист (остров),182
"Brzeziny, Biłgoraj County",168
Aappilattoq (Qaasuitsup),180
Trou-Bonbon,6754
Padma (Hazaribagh),43411
Vigneux-de-Bretagne,5165
伦塔,968
Saint-Sauveur (Gironde),1259
Morašice (district de Znojmo),236
Gournay-en-Bray,6320
Tusk-e Sofla,698
Suri (Birbhum),67864
Gmund am Tegernsee,6069
Сен-Сатюрнен-де-Лен,359
Königsfeld im Schwarzwald,6116
Mahou (Mali),16212
"Pleasant Valley Township, Dodge County, Nebraska",200
Lolme,141
Marsac (Creuse),707
Úmbria,889001
"Bryn Mawr, California",213
"Municipio de Cedar (condado de Nance, Nebraska)",106
"Mesta, Bulgaria",248
Biskupice (Pobiedziska),1100
Strombeek-Bever,11500
"La Forge, Vosges",584
Gans,186
Barzan,455
Ahigal de Villarino,41
"Municipio de Braceville (condado de Grundy, Illinois)",6467
"Carnet, Manche",465
Pommiers (Loira),374
Luzino,6985
Marey-lès-Fussey,69
El Alia,27075
"Offham, Kent",755
La Celle (Allier),422
"Municipio de Genoa (condado de Nance, Nebraska)",225
Montagny-près-Louhans,449
"Bartow, West Virginia",111
"Akbarabad, East Azerbaijan",88
Fara Novarese,2085
Ar-Rastan,39834
Gans,186
Boissy-Mauvoisin,643
Curon Venosta,2447
زعفران عليا (مقاطعة إسلام آباد غرب),634
吉梅莱卡斯卡代,704
"Grasshopper Township, Atchison County, Kansas",567
Saint-Saturnin (Charente),1307
Němčice (Prachatice District),187
忠県,751400
Saint-Sauveur-de-Meilhan,245
Lavardin (Sarthe),788
Sosa (Eibenstock),2069
Aizumisato,21177
Saint-Sauveur-de-Peyre,251
Mikulovice (Morávia do Sul),622
Celle (Var),1319
Le Plessis-Placy,270
Dompierre-sur-Charente,460
Saint-Sauveur (Haute-Saône),2177
Carbonate,2757
Lignerolles (Allier),760
Sunyer,307
Dommartin-lès-Cuiseaux,731
Montagny-Sainte-Félicité,405
Villedieu-la-Blouère,2248
ロスタ,4685
Fors (Deux-Sèvres),1609
Hamr (Jindřichův Hradec),344
Fara Gera d'Adda,7396
Ongar,6069
Boissy-Maugis,386
Jelen Do,167
La Celle (Varo),1319
Grunwald (Grunwald),800
特劳恩河畔魏斯基兴,2982
Gaza,515556
Berlin-Blankenburg,6550
Schloßberg (Steiermark),1160
"Condorcet, Drôme",474
Le Tremblay-Omonville,287
كورفيرا دي تورانزو,2202
Spitz (Austria),1759
"Reti, Pakistan",20000
North Lakes,15046
Bute (Australië),268
Département de Río Segundo,95803
Белло (Мёрт и Мозель),797
Pepperell (Massachusetts),11497
Lor (Syunik),365
Olmedo,3041
Monforte d'Alba,1976
Akhmeta (municipalité),41641
Saint-Sauveur-la-Vallée,39
Везенберг (Гольштейн),1152
グァンタナモ州,510863
Rewal,893
"Dompierre, Oise",231
Pers-Jussy,2807
São Cristóvão do Sul,5093
Suri,67864
Saint-Parize-en-Viry,162
Dommartin-lès-Vallois,58
"Agios Dimitrios, Cyprus",56
Campana (Panamá),2067
Marsac-en-Livradois,1427
ザムトゲマインデ・ベーヴェルン,6528
Kopp (Allemagne),192
Dommartin (Ain),872
Ormesson,245
Pigna (Italia),933
Selva di Progno,985
Olmedo (Espanha),3897
Carville-Pot-de-Fer,105
Bartow (Niemcy),580
Бартов (Мекленбург),580
Biskupice Radłowskie,1100
Dobromilice,873
Saint-Cyprien (Lot),309
Trient VS,2002
"Charmoille, Haute-Saône",429
"Pleasant Township, Wabash County, Indiana",2412
غرادسكو (فيليس),2219
Martell,884
"Fowlerville, Livingston County, New York",227
洛弗附近圣马丁,1152
Vol'skij rajon,27457
"Samandar, Iran",162
Лимбах (Фогтланд),1579
Beauregard (Lot),244
Коп (город в Германии),192
北区 (浦項市),267523
Aappilattoq (Kujalleq),132
Le Plessis-l'Évêque,240
Leménil-Mitry,3
Blain,9284
Паска (Тюрингия),126
Kruklanki,1100
Wieden (Badenia-Wirtembergia),583
鬱南県,388727
"Arauco, Chile",34902
"Eel Township, Cass County, Indiana",18767
لاور دين,109
Gmina Grand Meadow (hrabstwo Cherokee),210
Piombino Dese,8963
Tlacolula de Matamoros,16510
Hamry nad Sázavou,1355
Wide Bay-Burnett,273276
"Matanga, Madagascar",21000
涅夫尔河畔拉塞尔,168
Strongyli (Crete),0
Recologne-lès-Rioz,205
Stare Biskupice (województwo lubuskie),100
"Kula, Bulgaria",3287
利亚诺德奥尔梅多,82
Ribera de Urgellet,963
"Brody, Zielona Góra County",750
Boissy-le-Châtel,3062
Le Plessis-Dorin,189
Loria,8749
Gant (Piecki),60889
"Marada, Libya",2229
Coin-lès-Cuvry,667
غراندفونتين,390
濱海布洛涅 (布宜諾斯艾利斯省),73496
Miloslavskij rajon,13455
Rope (Cheshire),2034
海利根克罗伊茨,1422
Bokeo,145263
圣西普里安 (卢瓦尔省),2385
Saint-Sauveur-des-Landes,1397
诺伊恩基尔兴,1042
Limbach (Baden),4397
Castelvecchio di Rocca Barbena,180
"Stawno, Kamień County",145
Mées,1612
Сен-Сиприен (Коррез),331
三陸町,8322
Saint-Saturnin-du-Limet,546
Saint-Brice (Charente),1095
Selva di Progno,985
Martín García Island,150
La Villedieu-du-Clain,1437
Akbarabad-e Sardasht,227
Saint-Perreux,1041
"Saint-Brice, Mayenne",487
Saint-Sauveur (Vienne),1073
"Saka, Morocco",21048
Tremblay-sur-Mauldre,1141
Morašice (Chrudim District),680
ノイエンキルヒェン (アルテス・ラント),820
Dompierre (Oise),231
Sowjetskyj,10324
Breitscheid (Westerwald),2295
Campana (Corsica),23
Saint-Brice-de-Landelles,616
Blankenburg (Berlin),6550
Liebenau (Austria),1802
Libkov (Domažlice District),109
Rixton-with-Glazebrook,1884
Karsin (plaats),2200
Abbéville-lès-Conflans,233
Saman District,12938
"Matamoros, Coahuila",48511
弗赖纳河畔多马尔坦,332
チャンパーサック県,607333
"Mala, Nepal",2704
Muri (India),11999
Kuła,3287
卡巴纳,4357
Gournay-sur-Aronde,596
Мединилья (Авила),156
Saint-Sauveur (Altos-Alpes),442
Oberdorf-Spachbach,351
普莱桑瑟,155
Puch bei Weiz,2144
Saint-Martin-des-Champs (Cher),345
Newcastle Township (Ohio),475
"Alga, Burkina Faso",1328
Promina,1136
Kulina (Aleksinac),731
Montastruc (Tarn-et-Garonne),217
Saint-Saturnin-lès-Avignon,4632
埃文鎮區 (堪薩斯州科菲縣),183
Dźwirzyno,580
Galera,1106
Bokeo,145263
马尔茨,1974
Saint-Gratien-Savigny,130
Pogrodzie,660
Oliva de la Frontera,5881
Tertry,188
وخان دي كويو (مدينة),104470
Вири-Нурёй,1879
Промина,1136
Enskede-Årsta-Vantör,96916
"Tejada, Province of Burgos",35
"Banica, Gmina Uście Gorlickie",260
Anville,195
"Cedar Township, Floyd County, Iowa",305
Ashington,27769
特里安,138
Dolní Hořice,804
La Celle-sur-Loire,798
Saint-Sauveur-en-Rue,1105
Saint-Sauveur (Somme),1427
District de Gaoping,600000
Aragon (Aude),426
Marsac-sur-Don,1327
Jolo,447700
Biskupice (Olomouc),258
Abos,487
Le Plessis-Hébert,418
Brusque (miasto w Brazylii),119719
Dompierre-sous-Sanvignes,76
"Pleasant Valley Township, Fayette County, Iowa",1002
Charmoille (Doubs),318
ウスチ＝マヤ地区,8629
Брайтшайд (Хунсрюк),151
Velle-sur-Moselle,269
"Juda, Wisconsin",357
Boissy-en-Drouais,243
加加林區,136010
"Breitenstein, Saxony-Anhalt",507
Blain (Loire-Atlantique),9284
Rozogi,1418
Jiangning District,760000
"Pepperell (condado de Middlesex, Massachusetts)",2504
Хорка (коммуна в Германии),1984
テルヴェル (都市),6667
Belleau (Meurthe e Mosella),797
拉塞勒圣西,798
Sono (Burkina Faso),7276
Gampel-Bratsch,2007
坎纳,828
Akbarabad-e Qushchi,52
Coin-sur-Seille,278
巴尔托,580
Dragomireşti (Dâmboviţa),8867
Тямпасак (провинция),607333
Requena de Campos,41
Gmund am Tegernsee,6069
Brzeziny (Biłgoraj),168
Distrito de Samán,12938
"Naik, Iran",20
Amancio (Cuba),41523
Raz (Iran),4735
Podmokly nad Berounkou,272
Kingscote (Gloucestershire),273
Guerville (Yvelines),2004
Campello (Tessino),58
La Celle-sous-Chantemerle,154
パーン郡,128143
Oberdorf am Hochegg,745
Neuenkirchen (Rügen),391
Gmund am Tegernsee,6069
Grandfontaine (Bas-Rhin),390
Boissy-le-Châtel,3062
حفر الباطن,271642
"Kirovsk, Luhansk Oblast",28529
Belleau (Aisne),127
Dipartimento di Minas (Neuquén),7072
Heiligenkreuz am Waasen,1806
"Municipio de Pleasant (condado de Steuben, Indiana)",13704
Saint-Perreux,1041
"Belleau, Aisne",127
Góralice,540
"Orang, Nepal",1771
"Enoggera Reservoir, Queensland",24
Villedieu-le-Château,420
Bana (Komárom-Esztergom),1752
Arnouville-lès-Mantes,743
Henshaw,762
Marey-sur-Tille,326
Caballero (Coclé),3501
"Janów, Brzeziny County",60
Montagny (Savoia),591
Oberdorf-Spachbach,351
圣马丹代尚普 (谢尔省),345
Seri (Darchula),1683
"Barani, Sistan and Baluchestan",346
Saint-Brice (Orne),158
Suba (Palestyna),620
Cressy,281
"Municipio de Nevada (condado de Livingston, Illinois)",1335
Alausí Parish,9000
Limbach (Westerwaldkreis),417
Luzino,6985
Dompierre-sous-Sanvignes,76
Kikai,7657
Saint-Sauveur-des-Landes,1397
布瓦西弗雷斯努瓦,896
"Saint-Sauveur, Gironde",1259
Nessa (Teuchern),911
Шпиталь-ам-Пихрн,2222
Champlin (Ardenas),75
Saint-Brice (Mayenne),487
Montastruc-la-Conseillère,3069
