http://dbpedia.org/ontology/Station,http://dbpedia.org/ontology/populationTotal
ベルナツキー基地,12
Nainital,41377
Stazione di ricerca antartica finlandese Aboa,12
Chirmiri,100800
Kurseong,42446
Aboa (research station),12
Mussoorie,26069
Yercaud,36863
Mount Abu,22943
"Dalhousie, India",7601
Daringbadi,9000
Jogindarnagar,142984
Monte Ābū,22943
Cache Creek (Colombie-Britannique),1040
Kausani,2408
Estação Akademik Vernadsky,12
Panchgani,13280
Массури,26069
Aboa,12
Эвансвилл,117429
帕拉姆普尔,3543
Base antarctique Mirny,169
Mussoorie,26069
Isfjord Radio,0
Mussoorie,26069
Azarshahr Railway Station,16
德奥拉利,50617
Абоа (антарктическая станция),12
Kalimpong,49403
Wernadski-Station,12
