http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/numberOfEpisodes
Choudenshi Bioman,53
Burning Flame III,30
Latin Lover,65
Chōdenshi Bioman,48
Great Productions,36
Engine Sentai Go-onger,54
Dekaranger,52
Ohio Valley Wrestling,909
Tokusou Sentai Dekaranger,47
Friends and Crocodiles,1
Tensou Sentai Goseiger,49
猪仔馆人家,28
Engine Sentai Go-onger,50
Kaizoku Sentai Gokaiger,51
Prince of Lan Ling,45
天裝戰隊護星者,46
Chōdenshi Bioman,52
Zyuden Sentai Kyoryuger,45
上流俗女,13
Mahou Sentai Magiranger,51
Juken Sentai Gekiranger,49
魔法戰隊魔法連者,45
Ring Ka King,27
Juken Sentai Gekiranger,50
