http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/ontology/capacity
Сет (футбольный клуб),8011
نادي زاناكو,9473
AS SONABEL,4437
Diagoras F.C.,4103
CD Ronda,2096
CD Plaza Amador,6493
CP Olivenza,4842
Club Social Deportivo León de Huánuco,19110
Кастриоти (футбольный клуб),10130
Inter Moengotapoe,5048
Maccabi Herzliya,7831
FC Bassin d'Arcachon,1090
Club Irapuato,28646
Хорн (футбольный клуб),3623
Hellenic Athletic,4833
Sporting Clube da Praia,8466
Sekondi Hasaacas,20043
Anagennisi Karditsa,5901
SD Atlético Albericia,1089
Tauro Fútbol Club,29564
Mora CF,622
Millwall Lionesses Ladies Football Club,19003
Deportivo Pereira,27837
Klubi Futbollistik Hajvalia,1054
"Скала (футбольный клуб, Скала)",2102
Universidad Católica de Murcia Club de Fútbol,6539
Action 21 Charleroi,2801
C.R.D. Libolo,10872
Локарно (футбольный клуб),9689
Deportivo Educación,9255
Yeedzin FC,27423
Surat Thani Futsal Club,4721
Al Ahli Ad-Dauha,19504
FC Dinamo Kírov,1991
Baltimore Comets,45682
Akademik Sofia,10944
Жуазейренсе,7817
TSF Ditzingen,3574
Club Deportivo Ferroviarios,235
Roan United,7577
Савойя (футбольный клуб),9475
Club Sportivo Italiano,7208
Águia de Marabá Futebol Clube,4039
Club Deportiu Tortosa,6523
Killymoon Rangers F.C.,675
Ballingarry A.F.C.,919
Olympique Club de Safi,14683
Tractor Sazi Tabriz Football Club,64953
FC Vitebsk,8566
نادي ترنتشين,3510
Sportivo Italiano Buenos Aires,8203
AS Maya,1779
Unión Deportiva Melilla,11627
Association sportive Moulins Football 03 Auvergne,3631
FC TVMK Tallinn,4884
Southern Oregon Fuego,1548
Deportes Santa Cruz,4842
TJ Sokol Tasovice,1103
GKS Bełchatów,4880
Futebol Clube de Felgueiras,8084
Real Estelí Fútbol Club,4860
Urawa Red Diamonds Ladies,18877
نادي ريكرياتيفو ديسبورتيفو دو ليبولو,10516
Дахук (футбольный клуб),28994
US Sainte-Marienne,1405
Vallecas Club de Fútbol,2494
Manchester City F.C. Reserves and Academy,6539
SC Erebuni Dilijan,2161
Ла-Шо-де-Фон (футбольный клуб),13251
دفاع تاجنانت,10268
TSV Vestenbergsgreuth,5363
Tacuarembó Fútbol Club,11063
UMF Víkingur,1138
US Rumelange,2828
União São João Esporte Clube,20188
FC Tekstilshchik Kamyshin,10604
Corporación Club Deportes Tolima,32862
León de Huánuco,18260
Skála ÍF,2034
FK Fakel Woronesch,29373
FC KooTeePee,4849
ACS Ksar,9586
NK Iskra Bugojno,12297
Club Atlético Douglas Haig,13930
Beijing Guoan,73970
SC Kriens,5244
横浜フリューゲルス,15037
Institución Deportiva Colegio Nacional de Iquitos,24124
CD Lagun Onak,1457
Spartak Płowdiw,3533
PSIM Jogjakarta,23316
Esporte Clube Guarani,3649
Saint-Pryvé Saint-Hilaire FC,1862
FK Fakel Voronej,31908
Corporación Social Deportiva y Cultural de Pereira,27550
