http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/numberOfStudents
Jefferson County High School (Georgia),1096
Technische Universität Bergakademie Freiberg,5285
Penn State Greater Allegheny,777
Angelo State University College of Sciences,1177
Maret School,575
Université de Salerne,27637
Walter Sisulu University,20638
哈尔滨师范大学,29259
South African College Schools,630
Institut Supérieur de Logistique Industrielle,103
Université KIMEP,3062
Country Christian School,275
Western Pennsylvania School for the Deaf,186
St Benedict's Catholic College,883
University of Manila,9375
Burrell School District,1904
Valentines High School,1550
テキサス海事大学,2251
Carlisle Area School District,4020
Marianas High School,1371
"St. Lawrence High School, Kolkata",2959
Community College of Baltimore County,74464
ライス大学,5500
Duale Hochschule Baden-Württemberg,36660
广东科学技术职业学院,20212
جامعة صفاقس,36769
Landwirtschaftliche und Veterinärmedizinische Universität Iași,3955
諾爾蘭大學,5173
Kahili Adventist School,24
"Wayland Academy, Wisconsin",73
"Unity High School (Tolono, Illinois)",483
East Lycoming School District,1962
Belle Vernon Area School District,2548
Universität Suhar,6995
Highland Park High School (New Jersey),361
Warrior Run School District,1370
Trevor G. Browne High School,3110
Florida International University College of Law,437
威廉米特大学法学院,319
Ballou High School,1276
Hylton Red House School,1251
Columbia Borough School District,1140
Uniwersytet Pavla Jozefa Šafárika w Koszycach,5560
أكاديمية بوخارست للدراسات الاقتصادية,19436
Uniwersytet w Lund,40024
Hosanna Christian School,371
Yangon International School,650
Université du Rosaire,11749
Winter Springs High School,1984
"South High School (Torrance, California)",2018
Louise-Schroeder-Gymnasium,1039
Universidad de Niza Sophia Antipolis,24254
Université des sciences appliquées de Lahti,4439
Университет Перуджи,30602
Montgomery High School (New Jersey),2001
Bukidnon State University,15247
National Yunlin University of Science and Technology,9522
"Lincoln School (Providence, Rhode Island)",337
Arkansas Baptist College,1034
Livingston High School (New Jersey),1629
Universidade de Aveiro,10019
Woodhaven-Brownstown School District,5982
جامعة البوليتكنيك في ميلانو,45344
Freeport Area School District,1832
Collège Saint-Joseph (Darjeeling),1020
Augusta High School (Wisconsin),164
Fourah Bay College,3583
Università di Tecnologia e di Economia di Budapest,17352
Gainesville Independent School District,2456
Tarleton Academy,559
Blessed Cardinal Newman Catholic High School,1540
Quarrydale Academy,1080
Universidad de las Ryūkyūs,7476
Barnwell School,1510
جامعة كييتي,30198
Episcopal Academy,1161
Крагуевацкий университет,11119
West Somerset College,989
Edward Sheerien School,815
中林高中,3135
Università di León,13
Strathcona-Tweedsmuir School,777
Notre Dame College Prep,921
台中美國學校,163
أكاديمية كونمينغ الدولية,60
"Southwestern High School (Hanover, Indiana)",332
High School for the Gifted,2008
Technische Universität in Liberec,8641
جامعة مدينة نيويورك,480639
Avondale School District,3486
United College (Hong Kong),3336
Valparaiso University School of Law,553
Methuen High School,2153
Université centrale de Caroline du Nord,9892
Pennsylvania State System of Higher Education,104992
Seven Lakes High School,3369
"Government Colleges Hostel, Mumbai",253
ENSAIT,11738
Renton Technical College,3737
大葉大學,9743
Universidad de Colombo,11613
Barry College,8797
Eastwick College and the HoHoKus Schools,2955
CCC Heep Woh College,1133
斯旺西都會大學,5631
Libera Università Internazionale degli Studi Sociali,7286
Westview Centennial Secondary School,1285
Universidad EARTH,455
Universität Luxemburg,6119
Rye College,749
Fairport High School,1461
Universidade de Hamburgo,43430
Owen Valley Community High School,662
University of the Republic (Uruguay),103149
Illinois College of Optometry,655
"Pontificia università ""San Tommaso d'Aquino""",967
