http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/ontology/populationTotal
Guiné,8143162
Capo Verde,453097
India,1508876563
Turkménistan,4144616
Saint-Vincent-et-les-Grenadines,106608
巴林,1302811
Isole Marshall,68242
Albania,2467016
吉布提,782864
Kira (miasto),296949
セントビンセント・グレナディーン,118179
Chile,16934975
Panama (land),4220609
马达加斯加,21451809
Колумбия,55823798
Belize,410313
Malta,432500
Малави,13954320
Laos,7429940
التشيك,12098092
Granada (país),117655
エジプト,74199
Tadschikistan,9331294
Senegal,10834745
Papua New Guinea,7876020
印度,1318018838
Kaapverdië,548890
Бутан,629686
Somalia,13024919
Mozambique,26849621
Guinée équatoriale,1180768
Albanien,2953657
Cameroun,23221261
Saint Vincent and the Grenadines,98085
斐濟,1008965
لوكسمبورغ,546107
Burundi,9947981
Bolívia,12617993
刚果共和国,4707857
Niue,1419
中央アフリカ共和国,5027393
巴布亚新几内亚,6493207
Cambodja,15158221
チュニジア,10447328
莱索托,2055972
Oman,4543011
Qatar,2556610
キラ (ウガンダ),327731
Zuid-Soedan,14316908
Repubblica Ceca,11178032
喀麦隆,24700825
Burundi,11408289
瑞典,9225252
أنتيغوا وباربودا,94480
Vietnam,93610696
Dominika,65370
Cape Verde,422190
Tunisia,10658798
Катар,2767280
Того,6634286
Panama,3897768
Kenia,50434111
أذربيجان,7798352
Paragwaj,6820533
République démocratique du Congo,76679389
جزر المالديف,415308
卢森堡,548045
Paquistão,171870533
Switzerland,7989916
جزر سليمان,565153
Bahama's,403199
Saint Kitts e Nevis,57167
Wybrzeże Kości Słoniowej,23039820
Saint Kitts and Nevis,54678
باكستان,211223822
الهند,1410469060
Emiratos Árabes Unidos,5166380
بوليفيا,12759360
佛得角,467418
Malawi,15844356
Maldivas,452489
Моравия,2385279
Svizzera,7399866
Maldives,383531
Мальдивы,373931
Ямайка,2500859
Tanzania,59159735
Portugal,8967340
Trinité-et-Tobago,1095599
Zentralafrikanische Republik,4303076
Omã,4698209
Kazakhstan,15297029
Sudan Południowy,13844847
Senegal,11945755
أروبا,91109
Гватемала,17554349
زامبيا,14173328
Йемен,20196688
Polen,37671419
Griechenland,9156188
Noord-Korea,21601701
ジャマイカ,3522464
Bolivien,10545502
Panamá,4237085
Kazajistán,15844498
جامايكا,3173118
Cambogia,17227352
Tunezja,10862813
Malawi,15453753
قيرغيزستان,5917492
Vietnã,81456579
Люксембург,608534
Словакия,6012897
Katar,2157603
Malawi,15638900
キプロス,1285339
Figi,711367
Burkina Faso,19469738
باراغواي,6379288
