http://dbpedia.org/ontology/SiteOfSpecialScientificInterest,http://dbpedia.org/ontology/areaTotal
Bingletts Wood,158600.0
Eastern Isles,838000.0
Allt y Gaer,35000.0
Littledean Hall,200.0
Dallington Forest,162000.0
"Badgeworth SSSI, Gloucestershire",30800.0
Rodborough Common,1160000.0
"Ellenborough Park, Weston-super-Mare",18000.0
Cloford Quarry,399200.0
Southerham Works Pit,8300.0
Asham Quarry,25800.0
"Hobbs Quarry SSSI, Shepton Mallet",5000.0
"Eartham Pit, Boxgrove",98300.0
Wilmington Downs,2082000.0
Dee Estuary,136739000.0
Wildmoorway Meadows,126000.0
Pulborough Brooks,1588300.0
"Arkle Beck Meadows, Whaw",84000.0
Gwernydd Penbre,492000.0
Longleat Woods,2499000.0
Aire Point to Carrick Du SSSI,7048100.0
Allt y wern,60000.0
Dunster Park and Heathlands,4666000.0
Minchinhampton Common,1827000.0
Glenthorne,133000.0
Chanctonbury Hill,786000.0
"Pennsylvania Fields, Sedbury",270300.0
Ланди,4450000.0
Arcot Hall Grasslands and Ponds,680800.0
Milton Gate Marsh,186000.0
Allerthorpe Common,91459.0
Newton St Loe SSSI,22600.0
