http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/areaWater
"Catherine, Alabama",0.0
Атланта,2200000.0
Lincoln (Nebraska),3496480.0
ريل تاون,72519.7
"Sand Ridge Township, Jackson County, Illinois",2408690.0
デラウェア州,1387000000.0
Gillette (Wyoming),80000.0
"Orthel Township, Hancock County, Iowa",170000.0
"Municipio de Cedar (condado de Benton, Iowa)",1113690.0
Onalaska (Wisconsin),1553990.0
Gmina Colony (hrabstwo Delaware),20000.0
New Baltimore (Ohio),0.0
"Belmont Township, Kingman County, Kansas",50000.0
サンタクラリタ,155000.0
"Lancaster Township, Huntington County, Indiana",699297.0
Belleplain,29000.0
"Municipio de Jefferson (condado de Pike, Indiana)",1631690.0
"Cochranville, Pennsylvania",0.0
Pingtan County,6064000000.0
"Municipio de St. Charles (condado de Cuming, Nebraska)",1761190.0
"Municipio de Bentinck (condado de Bottineau, Dakota del Norte)",647497.0
"Municipio de Gilboa (condado de Benton, Indiana)",0.0
قرية فورت أن (نيويورك),0.0
"Taberg, New York",492098.0
ماركيت (ميشيغان),20875300.0
チェリーヒル (ニュージャージー州),382000.0
ヒューストン,72300000.0
"Pembine (condado de Marinette, Wisconsin)",2589.99
"Calhoun Township, Cheyenne County, Kansas",1620000.0
Contea di Boyd (Kentucky),5697970.0
"Municipio de Calhoun (condado de Calhoun, Iowa)",25899.9
Беркли (Калифорния),18715300.0
"Menifee, California",365000.0
"Lyon County, Kentucky",111369000.0
West Goshen,0.0
Ellensburg (Washington),129499.0
Хейгерстаун (Мэриленд),25899.9
"Municipio de Buck (condado de Hardin, Ohio)",258999.0
"Greer Township, Warrick County, Indiana",958296.0
Municipio de Bois Brule,8000000.0
White Haven (Montana),0.0
Palm Springs,2224800.0
Magangué,525000000.0
Ann Arbor,2250000.0
"Washington Township, Hendricks County, Indiana",77699.6
Delaware,1387000000.0
"Coldiron, Kentucky",59569.7
Grizzly Flat,0.0
Onalaska (Wisconsin),1553990.0
Barshi,500000.0
Cherry Valley Township (Ohio),200000.0
"Hooper Township, Dodge County, Nebraska",1680000.0
"Municipio de Shell Rock (condado de Greenwood, Kansas)",1191390.0
"Washington Township, Hamilton County, Indiana",776996.0
マセナ郡区 (アイオワ州カス郡),150000.0
Austin,17870900.0
"Cedar Township, Benton County, Iowa",1113690.0
"Kniest Township, Carroll County, Iowa",10000.0
"Wayne Township, Kosciusko County, Indiana",6034670.0
Cambridge (Massachusetts),1810000.0
"Star Township, Coffey County, Kansas",1050000.0
"Sutherlin, Oregon",520000.0
Alabama,4338000000.0
Amsterdam,53560000.0
"Municipio de Sidney (condado de Fremont, Iowa)",430000.0
"Hiouchi, California",0.0
Lyles (Tennessee),0.0
"Stockett, Montana",0.0
Dhubri,1400000.0
Singida (região),95000000.0
"Kiowa Township, Barber County, Kansas",388498.0
"South Santa Clara Valley, California",1603200.0
ベネゼット郡区 (アイオワ州バトラー郡),0.0
"Municipio de Broken Bow (condado de Custer, Nebraska)",129499.0
"Spearville Township, Ford County, Kansas",150000.0
Los Altos (California),0.0
"Alexandria, Indiana",0.0
Wiscasset,7850000.0
"Lookout Mountain, Alabama",36259.8
フォートウェイン,543898.0
"Municipio de High Lake (condado de Emmet, Iowa)",6034670.0
Bingham (Maine),1061900.0
Ciudad López Mateos,310000.0
"Blanchard Township, Hancock County, Ohio",0.0
"Bear Creek Township, Hancock County, Illinois",155399.0
"Municipio de Glidden (condado de Carroll, Iowa)",100000.0
伊利诺伊州,5981000000.0
Maryland,6819000000.0
"Dogtown, San Joaquin County, California",56979.7
Vandiver (Alabama),1406360.0
埃文鎮區 (堪薩斯州科菲縣),320000.0
Eureka (Missouri),260000.0
"Municipio de Jackson (condado de Fayette, Indiana)",0.0
Tonyville (Californie),0.0
