http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/populationDensity
Bas-Saint-Laurent,9.0
مقاطعة أبفيل (كارولاينا الجنوبية),20.0773
Prefektura Saitama,1893.82
Ringebu,4.0
Eidskog,11.0
Kongsberg,31.2
Gjerstad,8.0
Rygge,197.0
"Донифан (округ, Канзас)",7.72204
托什肯,3.8
Rana (Nordland),6.1
Marnardal,6.0
ガレット郡 (メリーランド州),17.3746
Gbarpolu County,8.6
كاراشوك,0.49
Eidsvoll,48.0
Avoyelles Parish,19.6912
Hrabstwo Beaufort (Karolina Południowa),108.881
加羅林縣 (馬里蘭州),38.2241
Etobicoke,2728.3
Condado de Gray (Kansas),2.6641
Comté de Greeley (Kansas),0.617763
特朗厄達爾,4.0
Hrabstwo Anderson (Kansas),5.40543
"Adams County, Wisconsin",12.3553
Malvik,77.5
مقاطعة باري (ميزوري),17.7607
里瑟爾,38.5
Marker (Noruega),9.0
Bong,37.5
"San Mateo County, California",653.671
كاناغاوا (محافظة),3770.0
Jefferson Parish,564.867
Kviteseid (gemeente),4.0
神奈川縣,3770.0
Hrabstwo Graham (Kansas),1.1197
卡特縣 (田納西州),64.8652
Bremer County,21.6217
Contea di Knox (Ohio),44.7879
Contea di Bingham,8.49425
Notodden,14.0
Berkeley County (West Virginia),132.819
Comté de Big Horn (Wyoming),1.42858
Osterøy,32.0
Meråker,2.1
尼瑟達爾,2.0
Traill County,3.62936
曼达尔,66.0
Baker County (Florida),17.7607
Contea di Lane (Kansas),0.926645
Bollinger County,7.72204
道格拉斯縣 (堪薩斯州),93.8228
Rennesøy,73.9
克莱县 (堪萨斯州),5.01933
阿斯克尔,585.0
因德勒于,14.7
Contea di Armstrong (Pennsylvania),39.7685
Karlsøy,2.3
韋島 (挪威),40.5
アデール郡 (アイオワ州),5.01933
Vestvågøy,26.7
Станге,29.0
"Leavenworth County, Kansas",63.7069
Barbour County (Alabama),11.9
Dønna,7.7
Кристиансунн,279.7
Bardu,1.5
Вевельстад,1.0
Gaspésie–Îles-de-la-Madeleine,4.6
Condado de Berkeley (Carolina del Sur),62.5485
مقاطعة ادمز (واشنطن),3.86102
Akita (prefektura),88.0
Saltdal,2.25
Vikna,13.3
Гёулар,5.4
"Atascosa County, Texas",14.2858
克勞德縣 (堪薩斯州),5.01933
Акита (префектура),88.0
Condado de Banks,30.5021
Comté d'Augusta,29.7299
Comté d'Anoka,301.932
Condado de Braxton,10.8109
درامن,421.0
Contea di Saline (Kansas),29.7299
本頓縣 (阿肯色州),100.773
Archuleta County,3.43631
バクスター郡 (アーカンソー州),28.9577
"Gama, Federal District",4.6
Contea di Jackson (Kansas),8.10815
波林格縣 (密蘇里州),7.72204
Beadle County,5.40543
"Guysborough County, Nova Scotia",2.0
Fedje,62.1
羅林斯縣 (堪薩斯州),0.926645
"Куинс (графство, Новая Шотландия)",4.6
Evje og Hornnes,6.5
特拉訥于,3.1
Songdalen,27.0
Hrabstwo River Cess,12.8
Nittedal,108.0
"Alpena County, Michigan",25.4827
Nesna,10.0
Condado de Wilson (Kansas),6.17763
莫爾塞爾夫,2.0
مقاطعة بلاين (أوكلاهوما),5.01933
Nordreisa,1.4
مقاطعة بربور (ألاباما),11.9
"Anderson County, Texas",21.2356
Huron County (Michigan),15.4441
Bamble,50.0
Bladen County,15.4441
Нур-Эурдал,8.0
斯特蘭達,5.5
Førde,22.7
Județ de Covasna,60.0
奧德雷恩縣 (密蘇里州),14.2858
Hrabstwo Ashley,9.11201
Boone County (Indiana),51.72
Lindesnes,15.0
布恩縣 (印地安納州),51.7377
Эустрхейм,49.9
ボイル郡 (ケンタッキー州),61.0041
Berkeley County (South Carolina),62.5485
"Ski, Norway",164.0
Adams County (Indiana),38.9963
Sørfold,1.4
Siljan,12.0
Hrabstwo Allegany (Nowy Jork),18.5329
Lanaudière,38.0
Condado de Saline (Kansas),29.7299
Hrabstwo Autauga,35.0
Prefectura de Tottori,163.0
Vik i Sogn,3.4
Averøy,32.6
Melhus,22.7
薩里縣 (北卡羅萊納州),53.2821
Stranda,5.5
Эвье-ог-Хорннес,6.5
Tynset,3.0
Condado de Grant (Kansas),5.40543
Bexar County,533.979
"Франклин (округ, Канзас)",17.3746
مقاطعة بوكس بوتي (نبراسكا),4.24712
Condado de Bibb (Georgia),240.542
Bartow County,84.1703
"DuPage County, Illinois",1081.09
Ringsaker,28.0
Allegany County (Maryland),65.2513
內索登,265.0
Condado de Amite,6.94984
Hrabstwo Bradford (Floryda),35.1353
Condado de Adams (Illinois),30.116
Comté de Barron,20.4634
Ørland,69.7
Hrabstwo Brooks (Teksas),2.97299
مقاطعة بريتهيت (كنتاكي),10.8109
Hasvik,1.9
Rollag,3.0
Blaine County (Montana),0.579153
"Лабет (округ, Канзас)",12.7414
مقاطعة موريس (كانساس),3.28187
Bibb County (Alabama),14.2858
"Браун (округ, Индиана)",18.85
ハーパー郡 (カンザス州),2.89577
مقاطعة أتكينسون (جورجيا),9.65255
Condado de Mitchell (Kansas),3.51353
أورلاند,69.7
ブザウ県,81.0
波尔格堂区 (路易斯安那州),11.9692
Condado de Morris (Kansas),3.28187
"Аллегейни (округ, Пенсильвания)",650.968
"Ролинс (округ, Канзас)",0.926645
Borough de Bristol Bay,0.772204
Østre Toten,30.0
ボナー郡 (アイダホ州),9.26645
Condado de Pottawatomie (Kansas),10.0387
Condado de Beaufort (Carolina do Sul),108.881
アルスタハウグ,39.2
Porsgrunn,213.0
Adams County (Mississippi),27.0272
ビードル郡 (サウスダコタ州),5.40543
オーロラ郡,1.46719
Condado de Autauga,35.3283
مالفيك,77.5
Selje,12.7
مقاطعة آدمز (أيداهو),1.1197
Granvin,4.4
"Breathitt County, Kentucky",10.8109
賽于達,9.4
Flakstad,8.2
Contea di Harvey,24.7105
Comté de Barton (Kansas),11.9692
Condado de Pulaski (Kentucky),37.0658
Rælingen,261.0
Comté d'Apache,2.47105
Sherman County (Kansas),2.20078
Hrabstwo Republic,2.77994
Hof (Vestfold),20.0
Condado de Chautauqua (Kansas),2.20078
Okręg Dolj,89.0
Eigersund,38.6
McPherson County (Kansas),12.3553
ميلدال,6.6
Hrabstwo Brown (Indiana),18.85
Aleutians East Borough,0.154441
Gaular,5.4
Hornindal,6.9
Hrabstwo Adams (Ohio),18.919
Эльверум,17.1
バーソロミュー郡 (インディアナ州),72.88
Brown County (Indiana),18.85
Beaver County (Utah),1.00387
Giurgiu County,75.92
Namsos,17.2
ボウイ郡 (テキサス州),40.5407
مقاطعة أدامز (آيوا),3.86102
Brăila (distrito),64.0
Vardø (gemeente),3.53
Лейрфьорд,4.8
Ål,4.0
Volda,16.8
Dolj,89.0
バランゲン,3.0
康斯坦察縣,96.0
Kautokeino,0.3
Lanaudière,38.0
Condado de Benzie,21.2356
Prefectura de Kanagawa,3770.0
Agdenes,5.8
Sør-Varanger,2.54
Surry County (North Carolina),53.2821
Levanger,30.7
Sogndal,10.2
アシュランド郡 (ウィスコンシン州),5.79153
Condado de Adair (Missouri),17.3746
Condado de Kane (Illinois),382.627
Comté de Rawlins,0.926645
"Бледсо (округ, Теннесси)",12.3553
