http://dbpedia.org/ontology/Train,http://dbpedia.org/ontology/weight
MF 2000,125700000.0
British Rail Class 458,164300000.0
Metrowagonmasch 81-740/741,47000000.0
ICE 1,53600000.0
NSW TrainLink H set,47000000.0
川崎重工業C151電力動車組,217000000.0
Renfe série S-120,225000000.0
PKP class ED72,182000000.0
ICE 3,409000000.0
スロベニア鉄道310系電車,171000000.0
Corail (train),42000000.0
3000 class railcar,48000000.0
港鐵CRH380A型電力動車組,408000000.0
Shinkansen-Baureihe E5,453500000.0
SJ X2,73000000.0
M-497,51300000.0
KTX-山川,403000000.0
Superliner,67132800.0
AnsaldoBreda V250,423000000.0
Toei 9000 series,18500000.0
British Rail Class 395,265000000.0
NSB BM 72,60600000.0
NSB Class 92,58300000.0
Škoda 10 T,28800000.0
ロンドン地下鉄D78形電車,27460000.0
MGB BDSeh 4/8,69000000.0
CFL Class 2200,193000000.0
FNM Socimi coaches,37000000.0
TGV Sud-Est,385000000.0
Bombardier Movia & CNR Changchun C951,38300000.0
ACMU,51710400.0
Comet (train),800137.0
R160 (New York City Subway car),38646700.0
Stadler KISS,296000000.0
Dover Harbor (Pullman car),552476.0
Frecciarossa 1000,500000000.0
R188 (New York City Subway car),33263400.0
NSB Class 72,60600000.0
Electric multiple unit (Queensland Rail),117800000.0
SJ X50,120000000.0
Shinkansen série E7,540000000.0
British Rail Class 312,156600000.0
新幹線N700系電聯車,715000000.0
马来亚铁路82型电力动车组,130000000.0
コライユ (鉄道車両),42000000.0
JR東海キハ11形気動車,27800000.0
TS Class 6,15000000.0
Škoda 03 T,24200000.0
Schienenzeppelin,20300000.0
إم أف 01,125700000.0
京急1000形電車 (初代),35000000.0
Regina (鉄道車両),120000000.0
SJ X9,103000000.0
British Rail Class 158,37800000.0
Budd SPV-2000,57607200.0
Baureihe 611,116000000.0
Dieselmaterieel '90,95200000.0
British Rail Class 377,173600000.0
British Rail Class 153,41200000.0
Schienenzeppelin,20300000.0
JKOY Class Sm5,132000000.0
TMK 101,14900000.0
CRH3,447000000.0
SL X60,206000000.0
Škoda 16 T,37400000.0
Keystone (train),41631400.0
德国铁路611型柴油动车组,116000000.0
R28 (New York City Subway car),31752000.0
Siemens Inspiro,150000000.0
R14 (New York City Subway car),33158200.0
Kawasaki Heavy Industries C151,217000000.0
Class 455,135950000.0
