http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/numberOfEmployees
Joy Global,11704
Emtec Magnetics,149
Ökologierechtszentrum Bellona,17
Drew & Napier,491
MIPS Technologies,152
Euskaltel,358
Neato Robotics,63
Unique Development Studios,31
TOSE,959
T-Mobile (États-Unis),52279
Anritsu,3988
Energizer Holdings,5657
Xerox Corporation,141617
Conestoga-Rovers & Associates,3084
CMA CGM,20383
Rovi Corporation,1758
OTP Group,36091
Facebook,14465
Chess Communication,51
Wikispaces,10
51 Minds Entertainment,206
Yves Rocher (koncern),13192
SCEベンドスタジオ,101
マズバズ,101
Bomis (website),10
Juicy Couture,158
هاريس التفاعلي,750
Time Inc.,6850
Fielmann,17271
Aston Martin,1284
STX Europe,15000
PrivatBank,0
Realogy,11065
Coleco,558
Patheon,7778
トランスメタ,25
TV3 Group,239
BancorpSouth,3472
K-Electric,11309
Netflix,3419
Pinnacle Entertainment,14562
Webhelp,21064
Pennon Group,4314
デビアス,19848
Groupon,9643
Disqus,62
Honda,199633
Banca Monte dei Paschi di Siena,26282
Ascom,1681
Piedmont Airlines (1993),5153
SMW-AUTOBLOK,472
Bigpoint,805
Telefónica,117539
Gadiv Petrochemical Industries,93
Lifestyle Lift,99
Wyndham Worldwide,33346
Iron Mountain Incorporated,18750
Ports 1961,4802
Mobility Carsharing,189
إيه أو إل,5353
香港中華ガス,2283
OCZ,568
TreeHouse Foods,988
HSBC Bank (Brazil),29198
شيرينغ أيه جي,24927
Honda,205203
Bwin,1590
Tidewater,8352
Milestone (Unternehmen),16
Hutchison Whampoa,263423
Robinson Helicopter,1264
Baldor Electric Company,7578
Arrium,9707
CTL Logistics,2560
Deneys Reitz Inc,506
Média-Participations,913
Keimfarben,438
Bomis,10
Groupon,10376
BKW FMB Energie,2487
Banco de Venezuela,3907
Salsa Tabasco,191
The Mosaic Company,8397
Open Cascade,126
ニュースキン,5186
Graco,3179
Steve Jackson Games,42
Mainichi Broadcasting System,640
Venchi,52
Plenty Of Fish,74
Digital Realty,933
Tod's,2971
Dacia,13228
Ingredion,9721
شوغاكوكان,799
VTB,95
ディーン・マークレイ,20
Dean Markley USA,21
ALOE Systems,104
Rado (watchmaker),467
Kamensk-Uralsky Metallurgical Works,3931
Acushnet Company,2970
Haba (Spielwarenhersteller),1883
KLM Royal Dutch Airlines,32884
AVG Technologies,1889
أودي,83658
Centennial Communications,3559
Liberté Inc.,678
有斐閣,102
Macerich,2928
Pizza Hut,163873
Motorola,41173
中国南方工業集団,178676
九鬼 (アダルトビデオ),95
Douglas Holding,18136
Pöyry,4772
ダイムラー (自動車メーカー),285844
Dillinger Hütte,5557
NOS (Portuguese media company),1827
Rising Production,51
أوبن دي إن إس,204
BTicino,3024
American Book Company (1996),25
Nintendo,5068
Saizeriya,1482
Bloomberg News,2233
Баттельский мемориальный институт,22118
A. Lange & Söhne,504
Хиндави (издательство),436
Community Bank (Oregon),146
Nintendo Integrated Research & Development,283
InterMapper,192
General Motors,218739
Yves Rocher (entreprise),14132
Jayco,2073
LIN Media,2501
Wattpad,95
迅達集團,55854
奧馳亞,9264
Yarrow Shipbuilders,3122
Gedeon Richter,11423
بك (شركة),10403
RioCan Real Estate Investment Trust,591
Nintendo Entertainment Analysis and Development,694
MIPS科技公司,143
Saras,1795
戴姆勒,270202
جروبون,10359
Holden (automerk),2763
Western Union,7212
Argon ST,1049
Williams Lea,11776
テレコム・ニュージーランド,5003
Companhia Paranaense de Energia,8639
Norddeutsche Landesbank,6135
Gulf Organization for Industrial Consulting,105
1st Source,1386
Raidió Teilifís Éireann,1884
皇朝傢俬控股,3722
DeMoulas Market Basket,24029
荷蘭皇家航空,34016
Macromedia,1421
ASRock,316
قروب إيروسبيس,258
KRG Capital,39
富士通テン,3939
Rhön-Klinikum,37898
Maplin Electronics,2074
Bombardier,67794
The Travelers Companies,29259
Canyon Bicycles,611
ARC Resources,601
Taito (entreprise),626
Lumison,200
Surrey Satellite Technology,429
Sanpaolo IMI,45933
Marfin Investment Group,12584
Bigpoint,774
Valor Security Services,8091
Fronius International GmbH,3732
Allied Irish Banks,10488
CBS Films,18
Banco Occidental de Descuento,7190
ロッキード・マーティン,121922
Pinnacle Foods,4053
BBC,21887
スイスポスト,63
Arrium,9538
Capcom,2570
Asia Pacific Airlines (PNG),41
7-Eleven,44984
Ares Management,838
Fantastic Furniture,838
Beltelecom,24627
Conrad Electronic,3761
Fraport,21239
Mitre 10,16538
Acumatica,127
Iggesund Paperboard,1511
Shōgakukan,762
Renren,4518
"Lilpop, Rau i Loewenstein",1241
Pacnet,1429
ロビンソン・ヘリコプター,1334
Wikidot,4
Raidió Teilifís Éireann,1798
Volksbank,162354
Venan Entertainment,19
Lotte,4991
Deutsche Investitions- und Entwicklungsgesellschaft,474
Qantas,29446
Nintendo Software Planning and Development,68
Graubündner Kantonalbank,790
Bashneft,7908
Xero (software),1473
Key Energy Services,7375
並木精密宝石,541
Asia Commercial Bank,9942
Maruti Suzuki,12935
Bernina Nähmaschinenfabrik,1067
Cadbury plc,1920
Streamline Studios,99
Rolls-Royce (motoryzacja),1302
Sun Microsystems,38762
Industrial Technology Research Institute,6107
Goldilocks Bakeshop,2017
Azienda di trasporto metropolitano di Seul,6527
Днепроэнерго,9806
Škoda Auto,25441
斯特姆，儒格,2064
Bank Zachodni WBK,9049
Cascades (company),13535
Idexx Laboratories,5406
